"a" "b"
"114" 2949.70939 15.246
"263" 3760.73678 15.182
"52" 2544.78189 14.997
"264" 3762.61403 15.11
"274" 3804.5217 15.018
"242" 3695.7037 15.102
"139" 3016.63192 15.237
"89" 2679.62715 15.237
"153" 3047.53721 15.247
"279" 3973.89608 15.008
"130" 2997.61741 15.038
"98" 2879.88692 15.147
"226" 3621.90969 15.049
"176" 3108.4947 15.075
"58" 2580.78936 15.061
"74" 2644.62703 15.112
"222" 3569.93535 15.123
"238" 3683.75364 15.068
"106" 2915.79024 15.202
"173" 3098.50472 15.179
"143" 3024.67223 15.126
"105" 2910.78625 15.059
"108" 2924.88184 15.242
"327" 4379.76898 15.005
"180" 3230.86803 15.191
"354" 4487.67071 15.197
"229" 3639.7659 15.052
"48" 2403.49805 15.246
"66" 2624.79708 15.018
"165" 3072.51304 15.205
"96" 2711.53997 15.1
"141" 3020.65818 15.228
"151" 3042.57652 15.135
"42" 2325.56394 15.213
"19" 2249.66771 15.232
"61" 2599.7357 15.229
"150" 3040.58842 15.194
"30" 2283.71411 15.012
"313" 4125.70192 15.036
"231" 3646.82083 15.157
"118" 2960.71528 15.255
"339" 4435.71667 15.052
"158" 3057.53145 15.007
"290" 4030.82827 15.252
"44" 2337.52448 15.011
"99" 2884.83281 15.243
"119" 2963.702 15.02
"17" 2242.74868 15.253
"223" 3592.88759 15.035
"128" 2990.80812 15.014
"249" 3716.70656 15.262
"67" 2626.61023 15.197
"178" 3123.4956 15.266
"157" 3055.53158 15.034
"318" 4176.50884 15.047
"62" 2607.69992 15.098
"38" 2302.64418 15.195
"214" 3406.54287 15.244
"359" 4507.58083 15.167
"341" 4441.81476 15.05
"191" 3300.8278 15.046
"335" 4420.82382 15.195
"345" 4456.6584 15.243
"254" 3736.6307 15.252
"251" 3724.70957 15.112
"192" 3303.7351 15.211
"315" 4144.55517 15.241
"311" 4121.61377 15.117
"51" 2540.86174 15.12
"230" 3641.75977 15.021
"107" 2921.79211 15.022
"211" 3398.61914 15.018
"78" 2656.73003 15.107
"117" 2957.69433 15.103
"31" 2288.69965 15.057
"284" 4008.71623 15.258
"300" 4068.64512 15.239
"262" 3758.60194 15.213
"346" 4458.64282 15.19
"93" 2694.5404 15.078
"326" 4376.76328 15.224
"86" 2673.60284 15.12
"160" 3060.52311 15.159
"146" 3030.68201 15.006
"8" 2216.85619 15.012
"182" 3261.90442 15.248
"25" 2269.72106 15.239
"364" 4525.52491 15.197
"256" 3742.65594 15.135
"163" 3067.53431 15.226
"100" 2888.86554 15.16
"298" 4057.67292 15.26
"166" 3075.51827 15.016
"273" 3796.58593 15.226
"216" 3415.5423 15.261
"131" 2999.63702 15.007
"329" 4391.87443 15.204
"172" 3092.50765 15.236
"240" 3689.71661 15.246
"185" 3280.88251 15.074
"212" 3400.60465 15.07
"221" 3450.52549 15.118
"260" 3752.5855 15.188
"154" 3049.54271 15.202
"215" 3410.56635 15.152
"76" 2651.69929 14.999
"255" 3739.60532 15.037
"84" 2669.66747 15.013
"133" 3003.64393 15.089
"325" 4371.744 15.207
"32" 2290.73751 15.03
"241" 3692.63824 15.082
"219" 3434.55192 15.02
"184" 3275.88296 15.024
"97" 2731.49408 15.149
"363" 4523.55273 15.235
"270" 3781.60416 15.19
"334" 4416.71131 15.241
"239" 3686.79971 15.106
"144" 3026.64133 15.045
"195" 3310.78567 15.259
"362" 4520.52916 15.061
