"a" "b"
"199" 3321.67127 15.28
"115" 2955.81028 15.195
"259" 3746.59657 15.168
"321" 4153.57801 15.169
"251" 3725.71891 15.343
"263" 3754.65136 15.182
"66" 2620.70297 15.236
"181" 3229.9114 15.191
"223" 3585.9136 15.368
"168" 3081.64025 15.272
"294" 4040.76642 15.305
"311" 4092.79494 15.163
"69" 2628.82291 15.142
"83" 2665.74343 15.183
"347" 4450.7238 15.177
"123" 2977.78325 15.139
"201" 3329.76766 15.376
"26" 2271.63797 15.158
"71" 2634.64428 15.383
"205" 3352.65952 15.192
"230" 3641.80432 15.357
"304" 4067.641 15.222
"306" 4072.66625 15.382
"301" 4057.71574 15.378
"170" 3087.51212 15.14
"50" 2535.91117 15.232
"185" 3268.81348 15.226
"72" 2637.6705 15.164
"158" 3054.53002 15.356
"178" 3114.48269 15.385
"213" 3396.59234 15.4
"335" 4388.75664 15.305
"352" 4467.65772 15.126
"138" 3010.66175 15.292
"145" 3026.68507 15.296
"193" 3298.81567 15.194
"78" 2655.63884 15.367
"248" 3715.63599 15.325
"167" 3077.64896 15.352
"65" 2617.7636 15.217
"38" 2299.67779 15.184
"37" 2297.68502 15.229
"153" 3044.54015 15.157
"183" 3254.91729 15.298
"276" 3818.51446 15.37
"351" 4464.64739 15.382
"216" 3404.55627 15.254
"330" 4370.7672 15.137
"143" 3022.76773 15.149
"334" 4383.81694 15.138
"319" 4131.54544 15.182
"148" 3033.64801 15.15
"197" 3310.82923 15.328
"365" 4520.58969 15.395
"9" 2223.76274 15.222
"139" 3012.75717 15.281
"222" 3452.49699 15.395
"136" 3004.64139 15.392
"280" 3974.8322 15.18
"30" 2279.74338 15.228
"286" 4007.73647 15.332
"39" 2301.64719 15.156
"340" 4416.85003 15.315
"368" 4533.53829 15.384
"254" 3734.68654 15.377
"47" 2366.50717 15.193
"239" 3686.8451 15.305
"75" 2644.67935 15.323
"273" 3790.58896 15.383
"56" 2563.80943 15.263
"11" 2228.78152 15.222
"262" 3752.61322 15.153
"62" 2599.79124 15.398
"142" 3020.70729 15.14
"364" 4509.61553 15.367
"169" 3084.54844 15.405
"113" 2949.75274 15.14
"277" 3937.91698 15.133
"121" 2975.76934 15.172
"175" 3105.53504 15.322
"100" 2888.88401 15.296
"252" 3728.6224 15.268
"146" 3028.72091 15.358
"45" 2337.57203 15.358
"64" 2613.67299 15.163
"52" 2544.82628 15.141
"278" 3961.87585 15.167
"291" 4028.7998 15.208
"176" 3108.51341 15.275
"247" 3712.8183 15.354
"117" 2961.72064 15.405
"86" 2673.65148 15.255
"82" 2663.70438 15.206
"27" 2273.791 15.159
"156" 3050.53429 15.225
"186" 3273.77253 15.393
"102" 2899.81995 15.215
"125" 2981.81624 15.161
"320" 4149.63729 15.27
"346" 4448.71344 15.21
"155" 3048.53312 15.186
"207" 3359.68593 15.356
"87" 2675.67576 15.315
"258" 3743.59534 15.315
"236" 3671.75935 15.312
"147" 3030.72592 15.396
"299" 4053.78705 15.26
"317" 4124.62284 15.358
"22" 2256.70395 15.195
"34" 2291.69143 15.355
"174" 3102.49623 15.14
"101" 2894.81907 15.393
"367" 4530.51655 15.205
"55" 2559.73809 15.182
"209" 3377.67227 15.275
"25" 2265.66153 15.285
"331" 4373.76713 15.339
"303" 4065.70254 15.282
"160" 3057.57567 15.178
"118" 2963.77969 15.4
"285" 4004.80388 15.138
"309" 4084.71221 15.172
"96" 2712.52221 15.206
"84" 2667.7583 15.165
"12" 2230.69451 15.162
"283" 3995.78251 15.207
"90" 2681.6933 15.4
"61" 2594.74983 15.193
"238" 3683.79742 15.135
"162" 3060.54193 15.372
"151" 3040.66304 15.266
"307" 4077.69853 15.171
"77" 2652.6441 15.144
"202" 3334.66297 15.259
"235" 3665.79341 15.383
"5" 2191.83319 15.141
"194" 3303.78652 15.366
"245" 3705.73871 15.183
"112" 2946.76907 15.393
"243" 3700.74423 15.209
"249" 3718.66859 15.185
"224" 3590.93461 15.221
"19" 2249.71285 15.181
"323" 4177.54397 15.245
"332" 4376.80625 15.221
"366" 4523.52108 15.144
"81" 2661.77338 15.278
"182" 3247.8449 15.375
"220" 3434.6031 15.227
"324" 4345.87215 15.349
"111" 2942.74862 15.269
"218" 3414.53079 15.169
"92" 2690.59371 15.374
"242" 3698.70963 15.175
"63" 2607.74841 15.218
"203" 3338.71564 15.353
"24" 2261.6116 15.354
"274" 3797.56922 15.251
"108" 2929.81783 15.283
"246" 3707.71479 15.142
"7" 2211.81589 15.295
"114" 2952.74593 15.32
"79" 2657.70125 15.338
"44" 2331.55324 15.174
"211" 3389.66732 15.299
"272" 3785.62025 15.238
"250" 3722.62201 15.141
"290" 4026.66389 15.215
"192" 3296.78505 15.211
"16" 2240.78791 15.306
"219" 3418.62349 15.264
"266" 3761.72289 15.175
"261" 3750.59792 15.132
"67" 2623.67757 15.403
"354" 4474.70068 15.246
"287" 4009.89459 15.313
"23" 2258.81933 15.2
"109" 2933.76466 15.401
"326" 4355.85421 15.149
"106" 2921.83743 15.16
"275" 3804.56529 15.137
"355" 4478.71437 15.175
"217" 3409.53545 15.399
"225" 3592.90651 15.315
"188" 3281.76827 15.225
"214" 3399.62977 15.138
"59" 2580.83073 15.349
"93" 2695.53147 15.148
"341" 4425.70661 15.379
"310" 4087.73912 15.39
"210" 3381.77781 15.376
"36" 2295.68689 15.259
"144" 3024.71596 15.211
