"a" "b"
"301" 4069.63251 16.478
"116" 2961.72419 16.45
"1" 2165.88307 16.356
"159" 3058.52579 16.381
"269" 3781.68602 16.217
"236" 3686.84871 16.34
"285" 4016.85108 15.986
"92" 2695.53506 16.486
"291" 4042.78538 16.095
"187" 3289.78538 16.218
"132" 2998.64063 16.481
"122" 2977.76078 16.5
"191" 3303.79109 15.928
"262" 3758.68025 15.895
"161" 3067.58212 16.38
"4" 2184.86575 16.157
"156" 3054.5336 16.321
"342" 4448.71699 16.498
"318" 4164.56015 16.446
"125" 2983.72041 16.388
"348" 4467.66129 16.416
"44" 2331.55692 16.106
"304" 4080.68587 16.448
"166" 3081.64386 16.179
"38" 2299.68109 16.301
"283" 4004.80749 16.426
"27" 2273.79432 16.271
"240" 3698.71322 16.5
"142" 3024.71955 16.102
"60" 2589.73419 16.175
"154" 3050.53785 16.026
"144" 3028.72444 16.325
"316" 4149.64089 16.322
"211" 3399.63333 16.31
"193" 3308.80043 15.999
"230" 3656.86165 16.48
"259" 3752.61683 16.188
"43" 2326.52638 15.939
"300" 4067.64451 16.411
"115" 2957.74149 16.32
"20" 2251.811 16.466
"56" 2563.81307 16.112
"357" 4499.59325 16.291
"66" 2623.68112 16.237
"205" 3369.68942 16.514
"173" 3105.53866 15.955
"208" 3389.67085 16.153
"229" 3653.8058 15.896
"110" 2942.75219 16.054
"157" 3056.53289 16.441
"129" 2992.68676 16.005
"299" 4065.7061 16.295
"45" 2337.57569 16.384
"341" 4442.75828 16.081
"209" 3394.71647 16.262
"340" 4439.69068 16.179
"204" 3359.68949 16.433
"319" 4178.51343 16.232
"73" 2642.68456 15.991
"37" 2297.68833 16.127
"241" 3700.74783 15.996
"79" 2659.72898 16.436
"113" 2952.74949 16.245
"136" 3006.69447 16.502
"206" 3377.67582 16.5
"317" 4153.58164 16.499
"194" 3310.83278 16.269
"250" 3728.62599 16.295
"260" 3754.65496 16.379
"72" 2640.71467 16.493
"363" 4530.52017 16.382
"104" 2915.83862 16.329
"78" 2657.70454 16.303
"120" 2973.83737 16.311
"81" 2663.70769 16.054
"352" 4481.74708 16.236
"266" 3772.66992 16.46
"99" 2888.88764 16.454
"217" 3434.60665 15.994
"355" 4491.69755 16.356
"337" 4425.71016 16.402
"8" 2211.81922 16.21
"261" 3756.75498 16.501
"70" 2634.64758 16.014
"140" 3018.67695 16.135
"29" 2277.73574 16.492
"52" 2544.82994 16.313
"364" 4533.54188 16.336
"39" 2301.6505 16.415
"163" 3072.61411 16.398
"298" 4060.65857 16.183
"336" 4416.85356 15.998
"270" 3785.62388 16.467
"222" 3592.91011 16.168
"13" 2232.71835 16.444
"85" 2673.65478 16.219
"175" 3111.49499 16.449
"200" 3338.71917 16.427
"226" 3638.7695 16.459
"169" 3089.57396 16.091
"167" 3084.55204 15.919
"308" 4100.8549 16.102
"210" 3396.59587 16.388
"185" 3281.77183 16.251
"215" 3414.53433 16.427
"225" 3633.81595 16.419
"232" 3665.79705 16.311
"192" 3306.78373 16.484
"49" 2520.8836 16.397
"220" 3585.91722 16.451
"339" 4435.82493 16.492
"41" 2317.57107 16.36
"195" 3314.75997 16.479
"324" 4364.80302 16.485
"292" 4046.66017 16.382
"17" 2242.79309 16.072
"288" 4028.80335 16.361
"24" 2261.6149 16.487
"77" 2655.64214 16.034
"201" 3349.69632 16.339
"59" 2580.83402 16.472
"286" 4023.7544 16.262
"347" 4464.65092 16.469
"23" 2258.82263 15.997
"100" 2894.82269 16.312
"331" 4388.76021 16.432
"276" 3961.87947 15.899
"323" 4361.81859 15.955
"362" 4523.52465 16.175
"174" 3108.51702 16.409
"268" 3778.64026 16.303
"139" 3016.67953 15.98
"212" 3402.63169 16.195
"256" 3743.59895 16.436
"62" 2599.79487 16.369
"216" 3418.62706 16.119
"83" 2667.76686 16.426
"25" 2265.66482 16.25
"326" 4370.77077 16.375
"349" 4471.65005 15.96
"148" 3038.64128 16.398
"223" 3617.85829 16.463
"361" 4520.59327 16.331
"188" 3294.78296 16.315
"183" 3273.77614 16.282
"224" 3629.76872 15.99
"307" 4092.79849 16.119
"58" 2577.80488 16.496
"26" 2271.64127 15.909
"359" 4507.62491 16.284
"313" 4124.66289 16.317
"356" 4494.64825 16.244
"114" 2955.81384 16.162
"108" 2933.76825 16.396
"366" 4540.56133 16.48
"239" 3695.7663 15.903
"94" 2705.56117 15.959
"126" 2986.70303 16.298
"133" 3000.65739 15.911
"338" 4431.76849 16.257
"177" 3125.48359 16.325
"325" 4366.82545 15.976
"279" 3981.75537 16.26
"294" 4051.73926 16.47
"293" 4048.74868 16.501
"74" 2644.68291 16.245
"40" 2303.64735 16.468
"310" 4107.73143 16.328
"162" 3069.56723 16.468
"289" 4037.77421 15.947
"22" 2256.71479 16.484
"322" 4355.85785 16.184
"329" 4379.81544 16.041
"306" 4087.74266 15.934
"265" 3769.70186 16.49
"330" 4383.82052 16.41
"242" 3702.83546 16.293
"93" 2699.58738 16.264
"351" 4478.71793 16.336
"227" 3641.80787 16.389
"178" 3134.484 15.898
"280" 3987.87932 16.05
"160" 3060.54552 16.093
"196" 3321.67483 15.967
"16" 2240.7912 16.423
"112" 2949.75627 16.357
"88" 2679.70813 15.929
"344" 4453.70388 16.207
"54" 2555.85405 16.172
"297" 4057.71926 16.329
"274" 3818.51809 16.024
"48" 2397.50605 15.954
"321" 4350.88642 16.128
"315" 4131.549 16.139
"235" 3683.801 16.414
"327" 4373.77073 16.277
"234" 3675.77798 16.416
"207" 3381.78133 16.264
"102" 2905.81286 16.156
"7" 2200.84347 16.05
"18" 2244.84381 16.315
"111" 2946.77262 16.424
"170" 3092.55928 15.916
"353" 4484.66065 16.062
"61" 2594.75341 16.286
"312" 4122.65126 16.477
"63" 2613.67654 16.011
"203" 3355.68434 16.077
"2" 2171.90436 16.112
"346" 4459.65277 16.409
"128" 2990.74641 16.466
"150" 3042.60165 15.912
"172" 3102.49984 16.11
"55" 2559.74171 16.45
"118" 2966.72263 15.891
"231" 3660.74753 16.204
"53" 2551.82999 16.462
"35" 2293.67066 16.453
"343" 4450.72732 16.012
"107" 2929.8214 16.035
"21" 2253.70751 16.388
"80" 2661.77671 16.357
"295" 4053.7906 15.909
"149" 3040.66662 16.485
"358" 4502.62537 16.193
"47" 2366.51086 16.484
"42" 2322.61702 16.449
"95" 2712.5258 16.295
"328" 4376.80983 16.194
"69" 2631.62701 16.17
"131" 2996.65775 16.407
"15" 2238.66284 16.407
"89" 2681.69688 16.197
"182" 3268.81707 16.226
"11" 2226.7412 16.122
"82" 2665.74672 16.305
"333" 4397.79578 16.207
"309" 4104.75871 16.409
"253" 3736.67815 16.281
"287" 4026.66748 16.09
"64" 2617.76718 16.418
"152" 3046.55951 16.369
"146" 3033.65156 16.367
"281" 3995.78614 15.905
"290" 4040.76999 16.388
"255" 3740.60161 16.488
"153" 3048.53668 16.454
"186" 3283.87163 16.427
"68" 2628.8262 16.351
"123" 2977.78679 16.501
"145" 3030.72948 16.451
"275" 3937.92069 16.079
"137" 3008.65369 15.914
"354" 4487.72342 15.902
"365" 4537.53757 16.342
"197" 3325.7366 16.403
"3" 2183.86379 16.416
"86" 2675.68293 16.401
