"a" "b"
"81" 2677.62088 15.5
"8" 2228.76111 15.616
"164" 3089.54747 15.67
"357" 4502.65395 15.425
"188" 3303.75691 15.392
"322" 4369.76969 15.493
"165" 3092.53149 15.63
"19" 2256.6834 15.678
"354" 4493.64736 15.671
"73" 2659.75358 15.378
"298" 4067.61707 15.598
"11" 2234.68769 15.551
"256" 3754.56348 15.548
"325" 4379.79026 15.441
"107" 2952.72204 15.38
"210" 3406.62357 15.444
"329" 4397.76866 15.603
"255" 3751.70169 15.663
"277" 4001.81178 15.669
"167" 3101.49759 15.499
"17" 2251.83806 15.667
"168" 3103.49438 15.396
"86" 2694.56252 15.399
"40" 2345.50978 15.512
"324" 4376.78469 15.412
"2" 2171.87872 15.596
"355" 4498.60434 15.679
"271" 3960.89298 15.435
"112" 2966.69088 15.63
"219" 3608.91685 15.557
"187" 3300.84966 15.515
"15" 2244.81997 15.623
"43" 2519.90501 15.656
"184" 3294.76423 15.657
"356" 4500.72736 15.401
"182" 3283.84617 15.383
"97" 2910.80797 15.673
"306" 4117.63435 15.673
"113" 2972.84205 15.452
"308" 4123.70607 15.518
"18" 2253.6783 15.572
"212" 3415.61037 15.656
"360" 4515.56553 15.433
"13" 2240.76734 15.372
"90" 2732.4943 15.378
"71" 2654.7293 15.37
"106" 2949.73098 15.471
"321" 4365.77419 15.621
"132" 3012.73525 15.493
"203" 3377.65021 15.678
"276" 3994.90389 15.64
"57" 2620.67881 15.625
"80" 2675.62297 15.671
"119" 2986.67718 15.649
"82" 2679.6841 15.397
"78" 2671.62252 15.478
"342" 4453.67716 15.643
"38" 2331.52744 15.539
"195" 3329.74366 15.652
"141" 3033.6246 15.497
"340" 4444.6788 15.397
"335" 4425.84138 15.647
"27" 2288.72424 15.393
"67" 2644.65446 15.398
"157" 3069.54183 15.655
"267" 3797.54692 15.504
"243" 3715.84494 15.456
"162" 3084.52366 15.669
"174" 3230.89011 15.39
"145" 3043.56831 15.482
"314" 4176.53911 15.435
"156" 3067.5569 15.583
"123" 2994.75638 15.605
"315" 4192.51005 15.576
"244" 3718.64663 15.673
"183" 3289.75969 15.665
"226" 3653.78046 15.617
"108" 2955.7836 15.513
"36" 2322.58454 15.605
"170" 3109.4965 15.67
"240" 3705.71685 15.607
"48" 2563.7861 15.404
"363" 4525.58169 15.408
"125" 2998.61387 15.667
"317" 4345.85751 15.603
"286" 4030.85213 15.455
"283" 4021.85777 15.667
"198" 3349.67067 15.645
"121" 2990.77552 15.387
"217" 3570.93107 15.61
"199" 3352.83136 15.694
"30" 2294.70147 15.659
"273" 3973.91831 15.618
"331" 4406.79634 15.49
"133" 3016.65389 15.669
"227" 3656.83284 15.521
"293" 4053.7657 15.385
"58" 2622.82527 15.614
"228" 3661.76825 15.507
"296" 4060.63344 15.434
"101" 2929.78755 15.444
"221" 3628.91072 15.59
"128" 3004.61954 15.56
"278" 4004.7825 15.614
"46" 2544.80431 15.66
"279" 4007.71507 15.473
"332" 4409.86884 15.395
"122" 2992.65919 15.43
"20" 2262.68056 15.501
"206" 3390.76971 15.682
"31" 2296.72308 15.575
"211" 3410.58807 15.655
"173" 3133.49104 15.486
"223" 3638.81265 15.586
"231" 3674.85963 15.454
"290" 4045.86198 15.504
"204" 3379.76593 15.419
"138" 3026.6633 15.677
"193" 3321.64925 15.543
"232" 3683.77546 15.665
"305" 4100.82744 15.612
"260" 3764.67815 15.602
"310" 4129.69592 15.501
"169" 3106.49987 15.475
"270" 3935.9439 15.525
"316" 4316.93996 15.42
"127" 3002.61672 15.429
"269" 3817.51022 15.547
"348" 4473.60247 15.666
"178" 3262.86816 15.555
"246" 3725.69699 15.503
"347" 4469.64786 15.472
"191" 3310.80746 15.536
"202" 3366.69366 15.38
"365" 4538.59211 15.549
"87" 2699.55726 15.397
"258" 3758.65373 15.637
"14" 2242.76918 15.468
"135" 3020.6803 15.4
"334" 4420.84527 15.658
"215" 3444.51373 15.39
"62" 2631.60292 15.4
"65" 2640.66581 15.647
"205" 3386.66049 15.394
"41" 2350.5119 15.529
"61" 2628.60426 15.5
"109" 2957.71625 15.377
"176" 3246.90549 15.67
"333" 4416.8236 15.514
"234" 3689.73831 15.45
"245" 3721.62982 15.61
"209" 3406.56995 15.423
"100" 2925.75888 15.665
"34" 2304.68306 15.67
"179" 3268.79142 15.458
"74" 2661.75283 15.514
"263" 3775.61557 15.389
"140" 3030.70416 15.416
"98" 2915.81331 15.665
"288" 4040.74416 15.432
"352" 4486.66987 15.63
"116" 2979.78679 15.574
"353" 4489.68778 15.545
"349" 4477.68954 15.376
"339" 4441.84253 15.589
"213" 3429.5879 15.382
"358" 4507.60117 15.408
"251" 3741.67093 15.651
"75" 2663.67972 15.603
"134" 3018.6393 15.57
"361" 4520.55764 15.431
"130" 3008.61964 15.624
"241" 3707.69186 15.396
"53" 2594.72677 15.605
"126" 3000.63201 15.425
"311" 4147.57227 15.677
"291" 4048.72375 15.417
"154" 3061.54608 15.663
"284" 4025.86815 15.453
"6" 2206.75472 15.627
"181" 3281.74633 15.653
"309" 4126.60707 15.391
"287" 4037.7492 15.555
"146" 3045.60743 15.424
"190" 3308.7751 15.39
"216" 3450.54758 15.678
"338" 4439.76215 15.42
"300" 4072.6447 15.611
"104" 2942.72684 15.4
"235" 3692.66137 15.458
"336" 4431.71858 15.525
"29" 2292.73386 15.589
"12" 2238.63227 15.658
"144" 3041.53886 15.68
"37" 2325.59098 15.487
"85" 2690.57165 15.672
"91" 2872.86716 15.61
"274" 3979.90413 15.602
"151" 3055.55404 15.408
"92" 2883.88061 15.612
"175" 3238.87368 15.555
"33" 2302.66705 15.594
"102" 2932.86976 15.378
"114" 2975.66399 15.49
"3" 2183.83809 15.67
"77" 2667.64953 15.521
"159" 3075.54066 15.474
"248" 3731.6717 15.642
"303" 4084.69068 15.673
"275" 3987.84887 15.467
"5" 2200.81856 15.472
"294" 4055.71549 15.473
"318" 4350.81078 15.602
"313" 4164.53341 15.437
"136" 3022.74593 15.541
"52" 2588.8493 15.48
"118" 2983.69493 15.673
"197" 3338.6933 15.416
"155" 3064.56904 15.657
"252" 3745.6017 15.472
"265" 3785.59847 15.388
"281" 4014.81366 15.645
"131" 3010.63987 15.385
"84" 2685.61802 15.666
"239" 3702.81005 15.397
"222" 3633.7834 15.576
"295" 4057.69435 15.596
"200" 3355.71057 15.601
"268" 3804.5434 15.634
"343" 4456.67997 15.567
"351" 4483.67106 15.668
"103" 2939.74865 15.451
"249" 3736.65256 15.641
"7" 2226.7174 15.645
"229" 3665.77147 15.681
"280" 4009.78827 15.642
"257" 3756.72961 15.675
"292" 4051.66656 15.652
"142" 3035.63234 15.398
"45" 2541.87753 15.466
"111" 2963.72396 15.671
"66" 2642.658 15.642
"152" 3057.55328 15.556
"208" 3403.63609 15.581
"185" 3296.71362 15.601
"266" 3790.56721 15.379
"171" 3113.48456 15.42
"129" 3006.66858 15.668
"289" 4042.76041 15.587
"302" 4080.66108 15.513
"124" 2996.63234 15.646
"350" 4479.67097 15.494
"60" 2625.80028 15.634
"1" 2165.85632 15.63
"32" 2298.67916 15.381
"242" 3712.84711 15.408
"366" 4540.53609 15.391
"189" 3306.75837 15.541
"312" 4153.55112 15.527
"22" 2273.63686 15.484
"327" 4388.73521 15.561
"337" 4435.74573 15.667
"272" 3968.83715 15.674
"163" 3086.56163 15.52
"362" 4523.57622 15.629
"147" 3047.56187 15.545
"50" 2577.78119 15.65
"83" 2681.67099 15.526
"23" 2277.70845 15.546
"63" 2634.58165 15.502
"49" 2571.84268 15.4
"24" 2279.71783 15.658
"301" 4077.67683 15.631
"307" 4121.63539 15.394
"192" 3314.72875 15.666
"105" 2946.74736 15.601
"259" 3761.70106 15.662
"328" 4392.73169 15.65
"320" 4362.76162 15.679
"68" 2646.64253 15.429
"297" 4065.65154 15.458
"44" 2526.88328 15.561
"201" 3359.63175 15.628
"72" 2657.68041 15.562
"233" 3686.82337 15.594
"253" 3747.71481 15.456
"64" 2637.61982 15.66
"236" 3695.72539 15.648
"158" 3072.54011 15.584
"115" 2977.73471 15.41
"237" 3698.68309 15.667
"250" 3739.65595 15.546
"160" 3077.62537 15.622
"89" 2711.56216 15.553
"26" 2283.73569 15.403
"54" 2599.75796 15.532
"345" 4463.67697 15.664
"341" 4450.69455 15.645
"69" 2650.60924 15.639
"4" 2184.83761 15.484
"254" 3749.59754 15.54
"93" 2892.84581 15.527
"139" 3028.66882 15.492
"326" 4383.79533 15.565
"99" 2921.81554 15.563
"143" 3038.61586 15.473
"172" 3123.51745 15.45
"196" 3334.63986 15.67
"161" 3081.61684 15.515
"10" 2232.69462 15.412
"166" 3098.5296 15.4
"346" 4466.66668 15.592
"149" 3051.55903 15.674
"94" 2896.8203 15.501
"230" 3671.7375 15.524
"180" 3276.83313 15.631
"42" 2365.52911 15.561
"28" 2290.75902 15.473
"16" 2249.69232 15.593
"323" 4373.74517 15.516
"261" 3769.67659 15.611
"247" 3727.64135 15.386
"330" 4402.84617 15.524
"282" 4016.82601 15.664
"110" 2960.83846 15.439
"359" 4509.59426 15.549
"25" 2281.70991 15.637
"285" 4028.77796 15.448
"21" 2269.74173 15.632
"39" 2337.55 15.618
"96" 2905.89747 15.662
"364" 4531.54346 15.66
"153" 3059.55187 15.649
"59" 2624.81905 15.388
"55" 2607.72242 15.657
"35" 2316.54728 15.61
"304" 4092.77208 15.668
"299" 4069.60677 15.665
"79" 2673.62991 15.614
"9" 2230.67285 15.431
"344" 4458.66463 15.656
"319" 4355.83276 15.615
"225" 3646.84706 15.5
"262" 3772.64442 15.479
"224" 3641.78272 15.462
"56" 2617.71414 15.667
"264" 3778.61481 15.548
"88" 2705.5355 15.643
"207" 3400.62658 15.665
"214" 3434.57726 15.379
"117" 2981.79419 15.659
"194" 3325.71101 15.515
"148" 3049.56679 15.649
"218" 3591.9244 15.382
"76" 2665.72297 15.665
"137" 3024.69426 15.635
