"a" "b"
"79" 2661.74293 14.965
"257" 3758.64317 15.181
"351" 4479.66054 14.952
"198" 3349.66011 14.951
"235" 3692.65085 14.94
"352" 4483.66066 14.944
"218" 3450.53688 14.935
"78" 2659.74368 14.985
"334" 4420.83488 15.215
"326" 4379.7798 15.131
"319" 4350.8002 15.004
"331" 4406.7859 14.911
"130" 3000.62144 15.105
"162" 3075.52993 15
"135" 3010.62926 14.922
"102" 2921.80485 14.932
"17" 2242.75932 14.679
"282" 4016.81554 15.165
"19" 2249.67831 15.221
"208" 3400.61593 14.606
"301" 4080.65071 15.045
"29" 2281.70003 15.199
"348" 4469.63746 15.105
"338" 4435.72785 15.025
"203" 3377.63961 14.885
"90" 2694.55181 14.631
"39" 2316.53255 14.956
"184" 3283.83548 14.639
"72" 2644.63786 15.141
"129" 2998.60332 14.958
"153" 3053.54466 14.607
"179" 3262.85747 15.174
"146" 3038.60261 14.881
"214" 3422.52556 14.979
"265" 3785.58786 14.956
"165" 3084.51239 15.147
"288" 4040.73381 15.119
"144" 3030.69349 14.911
"304" 4100.81708 15.033
"315" 4176.51991 14.85
"128" 2996.6212 15.066
"358" 4502.63912 14.657
"217" 3444.50304 15.145
"181" 3272.89534 14.93
"225" 3641.7721 15.213
"342" 4450.6828 14.784
"121" 2981.78355 14.808
"252" 3745.59115 15.019
"260" 3769.66596 14.993
"321" 4362.75108 14.969
"191" 3310.79684 15.196
"137" 3016.64326 15.172
"266" 3790.55661 15.121
"207" 3398.63626 15.031
"231" 3674.8491 14.742
"55" 2571.83278 15.147
"237" 3698.67259 15.185
"281" 4014.75249 14.758
"11" 2228.75121 15.13
"296" 4065.64118 15.207
"209" 3403.62542 15.198
"215" 3429.57731 14.761
"111" 2955.773 15.209
"107" 2942.71618 15.066
"65" 2624.80845 15.211
"278" 4004.77199 15.181
"285" 4028.76755 15.139
"4" 2184.82668 15.196
"31" 2288.71435 15.034
"61" 2607.71167 15.059
"270" 3935.93307 15.137
"216" 3434.56661 14.97
"159" 3067.54612 15.014
"357" 4500.70194 15.111
"9" 2223.73192 14.955
"293" 4055.70511 14.893
"340" 4441.83217 14.612
"298" 4069.59646 15.215
"300" 4077.66647 15.202
"187" 3298.78306 15.203
"314" 4164.52032 14.878
"361" 4515.55137 14.851
"255" 3754.55296 15.18
"332" 4409.85844 14.662
"134" 3008.60906 15.168
"310" 4126.59668 15.109
"356" 4498.59451 14.645
"309" 4123.69568 14.766
"328" 4392.72125 15.209
"205" 3386.64988 15.056
"58" 2588.83847 15.192
"77" 2657.66244 15.022
"166" 3086.55082 14.764
"200" 3355.69997 15.155
"250" 3739.64543 14.604
"192" 3314.71817 15.189
"199" 3352.80121 14.726
"20" 2251.8282 14.926
"155" 3057.54256 14.609
"84" 2673.61571 15.192
"53" 2558.88741 14.983
"272" 3967.93013 15.093
"346" 4463.66663 14.983
"70" 2640.65595 15.169
"68" 2631.59307 15.006
"95" 2872.85629 14.805
"213" 3415.59978 15.178
"66" 2625.78967 14.609
"324" 4373.73468 14.711
"311" 4129.68549 15.165
"226" 3646.83182 14.608
"344" 4456.66957 15.159
"59" 2594.71598 14.891
"35" 2296.71315 15.018
"44" 2345.49884 15.083
"229" 3665.76092 15.173
"194" 3325.70041 14.986
"33" 2292.72393 15.019
"182" 3275.89413 14.667
"303" 4092.76173 15.044
"341" 4444.66842 15.18
"73" 2646.63264 14.755
"173" 3113.47368 15.182
"69" 2634.57176 14.77
"15" 2238.6224 14.655
"302" 4084.68035 15.035
"94" 2731.50571 14.792
"195" 3329.73307 14.984
"22" 2256.67352 15.067
"1" 2165.84535 14.618
"299" 4072.63433 15.046
"47" 2519.89401 15.21
"52" 2554.88577 14.996
"23" 2259.66544 14.871
"119" 2977.72413 14.794
"8" 2216.87219 15.154
"261" 3772.63385 14.774
"99" 2905.88672 14.985
"149" 3045.59677 14.613
"5" 2191.79759 15.025
"46" 2365.51759 15.072
"89" 2690.56095 14.644
"244" 3718.63613 15.215
"224" 3638.80203 14.607
"343" 4453.6668 14.889
"116" 2968.84409 14.587
"18" 2244.8101 15.101
"318" 4345.84693 14.8
"241" 3707.68136 14.675
"109" 2949.72034 14.854
"3" 2183.82721 15.044
"245" 3721.61935 15.06
"97" 2892.83501 14.756
"93" 2711.55135 14.843
"275" 3987.83832 15.045
"254" 3751.69114 14.609
"75" 2652.61111 15.148
"37" 2302.65714 14.825
"306" 4107.65843 14.787
"211" 3406.61292 15.027
"85" 2675.61302 14.936
"286" 4030.84171 14.749
"283" 4021.8473 14.885
"126" 2992.64399 15.013
"112" 2957.70564 14.833
"103" 2925.74812 14.916
"316" 4192.49946 14.804
"234" 3689.72778 15.138
"202" 3366.68307 15.099
"136" 3012.72464 15.112
"177" 3238.86281 14.953
"287" 4037.73878 15.152
"246" 3725.68651 15.068
"247" 3727.63086 14.61
"167" 3089.53664 14.959
"104" 2929.77611 14.908
"115" 2966.68028 15.021
"297" 4067.60671 14.86
"323" 4369.75919 14.722
"45" 2350.50089 15.229
"183" 3280.89368 14.912
"86" 2677.61094 15.198
"148" 3043.55761 15.066
"34" 2294.69156 14.668
"284" 4025.85772 14.918
"233" 3686.81284 14.987
"210" 3406.55928 15.02
"154" 3055.54337 15.039
"305" 4104.72233 15.023
"13" 2232.68471 15.114
"355" 4493.63689 15.221
"360" 4509.5844 15.211
"96" 2883.86981 14.724
"7" 2206.74478 14.762
"317" 4316.92988 14.627
"132" 3004.60896 15.134
"26" 2273.62699 15.203
"10" 2226.70751 14.699
"98" 2896.80948 14.743
"147" 3041.52822 14.616
"123" 2986.66661 14.985
"264" 3781.61755 14.976
"347" 4466.6563 14.732
"106" 2939.73797 15.213
"100" 2910.79723 15.13
"42" 2331.51651 14.686
"291" 4051.6562 14.905
"204" 3379.74683 15.213
"174" 3123.50655 14.923
"108" 2946.73674 15.061
"28" 2279.70793 14.831
"131" 3002.60609 14.947
"354" 4489.67732 15.19
"308" 4121.62498 15.152
"219" 3591.91367 14.958
"320" 4355.82218 15.164
"258" 3761.6905 15.026
"88" 2685.60726 15.21
"330" 4402.83574 14.918
"180" 3268.78068 14.915
"313" 4153.54061 15.086
"227" 3656.82223 15.019
"125" 2990.76211 14.988
"142" 3026.65266 14.906
"268" 3804.53272 14.663
"267" 3797.53627 14.927
"175" 3133.48014 15.22
"133" 3006.658 14.951
"290" 4048.71339 15.11
"81" 2665.71305 15.062
"110" 2952.7114 14.601
"185" 3289.74897 15.055
"232" 3683.76496 14.737
"251" 3741.66039 15.051
"152" 3051.54836 15.042
"40" 2322.57362 15.139
"366" 4534.50401 14.711
"63" 2620.66819 15.195
"345" 4458.65426 14.752
"6" 2200.80862 15.185
"236" 3695.71486 14.71
"248" 3731.66118 14.606
"333" 4416.81318 15.207
"176" 3230.87924 14.821
"325" 4376.77417 15.138
"339" 4438.85924 14.854
"74" 2650.59865 14.741
"228" 3661.75767 15.172
"25" 2269.73187 15.21
"158" 3064.55829 15.197
"365" 4531.53299 14.809
"263" 3778.60419 15.151
"336" 4428.85426 15.212
"271" 3960.88235 15.206
"24" 2262.6707 14.61
"161" 3072.52932 15.167
"253" 3749.58703 15.022
"243" 3715.83442 14.684
"113" 2960.82783 14.622
"201" 3359.62031 15.2
"101" 2915.80263 15.158
"38" 2304.66056 14.99
"189" 3306.74772 15.186
"170" 3101.48671 15.127
"157" 3061.53538 14.625
"80" 2663.66978 14.957
"196" 3334.62925 15.148
"363" 4523.56451 14.846
"54" 2563.77522 15.142
"197" 3338.68269 15.129
"14" 2234.67781 14.674
"178" 3246.89468 15.017
"36" 2298.66926 14.753
"12" 2230.66296 14.673
"222" 3628.90007 15.104
"62" 2617.70003 14.604
"168" 3092.52071 15.16
"364" 4525.56474 15.202
"57" 2580.80003 15.18
"349" 4473.59208 15.163
"60" 2599.7472 15.077
"150" 3047.55118 15.054
"122" 2983.68431 15.168
"223" 3633.77276 15.203
"277" 4001.80123 14.683
"322" 4365.76265 14.736
"230" 3671.72696 14.758
"163" 3077.61459 14.684
"48" 2526.8723 15.035
"240" 3705.70635 15.113
"292" 4053.75532 15.208
"221" 3615.89989 14.919
"206" 3390.75906 15.087
"2" 2171.86775 15.065
"172" 3109.48565 15.164
"118" 2975.65341 15.171
"21" 2253.66843 15.214
"151" 3049.55575 14.602
"156" 3059.54116 15.027
"289" 4045.85162 15.144
"140" 3022.73529 14.94
"307" 4117.62394 15.158
"83" 2671.6119 14.946
"145" 3035.62172 15.083
"312" 4146.53807 15.218
"138" 3018.62865 14.921
"141" 3024.68364 15.193
"280" 4009.77779 14.824
"279" 4007.70461 14.985
"50" 2544.79335 14.844
"120" 2979.77618 15.187
"114" 2963.71338 15.2
"259" 3764.66763 14.788
"87" 2681.66031 15.191
"327" 4383.78488 15.123
"92" 2705.52467 15.209
"220" 3608.90615 15.129
"242" 3712.83663 14.938
"367" 4540.52557 15.003
"56" 2577.7713 14.692
"256" 3756.7191 14.812
"124" 2988.63237 14.98
"188" 3303.7463 14.6
"143" 3028.65817 15.206
"249" 3736.64207 14.845
"139" 3020.66972 15.191
"127" 2994.74579 14.991
"294" 4057.684 15.213
"105" 2932.85911 14.671
"273" 3973.90773 14.631
"32" 2290.7491 14.622
"160" 3069.53108 14.697
"239" 3702.79953 15.152
"262" 3775.60499 14.967
"49" 2541.8666 14.803
"67" 2628.59362 15.178
"212" 3410.57752 15.008
"91" 2699.51791 14.88
"171" 3103.48354 14.946
"71" 2642.64812 14.761
"117" 2972.67995 14.674
"238" 3700.71198 14.934
"359" 4507.59132 14.877
"335" 4424.86171 15.227
"269" 3817.4995 14.884
"353" 4486.65946 14.686
"43" 2337.53905 15.115
"64" 2622.81474 14.869
"276" 3994.89336 14.833
"329" 4397.75825 14.66
"82" 2667.63585 14.953
"41" 2325.57752 15.127
"190" 3308.76448 14.825
"164" 3081.60607 14.743
"51" 2551.79334 15.176
"76" 2654.71532 14.756
"362" 4520.54718 15.033
"27" 2277.68138 15.202
"295" 4060.62308 15.061
"30" 2283.72578 14.817
