"a" "b"
"173" 2905.81286 13.982
"542" 4065.7061 14.111
"639" 4464.65092 14.212
"471" 3769.67659 13.804
"335" 3308.7751 13.739
"303" 3113.48456 13.909
"582" 4316.93996 13.742
"106" 2620.70651 13.786
"258" 3038.64128 14.009
"174" 2905.89747 14.004
"168" 2892.84581 13.78
"200" 2960.83846 14.205
"528" 4046.66017 13.999
"129" 2657.68041 13.947
"25" 2234.71152 14.077
"454" 3745.6017 13.968
"319" 3281.77183 13.829
"474" 3772.66992 14.002
"16" 2223.76604 13.823
"239" 3006.69447 14.125
"568" 4124.66289 13.776
"196" 2955.7836 13.792
"187" 2939.74865 13.757
"569" 4126.60707 14.024
"215" 2981.79419 13.745
"116" 2637.6738 13.803
"512" 4016.82601 13.765
"193" 2949.75627 13.976
"46" 2265.66482 13.742
"183" 2929.78755 13.778
"48" 2271.64127 14.219
"284" 3075.56912 14.156
"351" 3349.67067 14.154
"137" 2665.72297 13.791
"655" 4491.69755 14.22
"218" 2986.67718 14.102
"484" 3797.54692 13.78
"353" 3352.66307 13.786
"409" 3671.76294 13.75
"117" 2640.66581 14.01
"434" 3715.63956 13.732
"206" 2969.67143 14.183
"49" 2273.63686 13.825
"656" 4493.64736 13.752
"607" 4392.78531 14.104
"317" 3276.83313 13.949
"14" 2211.81922 13.798
"588" 4355.85785 13.979
"486" 3804.5434 13.771
"8" 2184.86575 13.939
"80" 2535.91485 14.152
"635" 4457.67347 13.937
"67" 2302.66705 13.747
"385" 3591.9244 13.744
"401" 3653.8058 13.734
"501" 3987.87932 14.179
"266" 3047.56187 13.986
"614" 4410.8301 14.145
"144" 2673.65478 13.796
"578" 4164.56015 14.203
"69" 2317.57107 13.922
"244" 3012.73525 14.055
"386" 3592.91011 13.792
"467" 3761.70106 13.772
"479" 3781.68602 14.014
"455" 3746.60019 14.041
"344" 3325.7366 13.913
"338" 3310.83278 13.778
"375" 3418.62706 13.994
"377" 3434.60665 13.791
"415" 3686.84871 14.212
"62" 2293.67066 13.769
"634" 4456.67997 14.186
"418" 3692.66137 13.995
"201" 2961.72419 14.224
"11" 2200.81856 14.222
"132" 2659.75358 14.144
"71" 2326.52638 13.879
"553" 4084.69068 14.231
"604" 4388.73521 13.811
"564" 4117.65952 14.016
"212" 2977.76078 14.094
"480" 3785.59847 13.93
"232" 3000.63201 13.798
"40" 2256.6834 13.749
"120" 2642.68456 14.197
"405" 3661.76825 13.933
"546" 4069.63251 13.743
"488" 3817.51022 14.068
"241" 3008.65369 13.774
"209" 2975.66399 13.869
"314" 3268.81707 14.016
"661" 4502.62537 13.742
"329" 3298.81925 14.038
"507" 4004.80749 14.211
"406" 3665.77147 13.93
"222" 2990.74641 13.753
"177" 2915.81331 14.103
"339" 3314.72875 14.215
"308" 3230.89011 13.783
"368" 3403.63609 14.196
"61" 2291.69473 13.74
"128" 2655.64214 13.806
"342" 3321.67483 14.011
"490" 3935.9439 13.924
"523" 4040.74416 14.227
"636" 4458.66463 13.745
"178" 2915.83862 14.091
"532" 4051.73926 13.741
"544" 4067.64451 14.17
"388" 3615.91062 14.223
"89" 2563.7861 14.217
"17" 2226.7174 14.177
"343" 3325.71101 13.921
"6" 2183.86379 14.176
"251" 3024.71955 14.03
"365" 3396.59587 13.887
"516" 4025.86815 13.79
"300" 3108.51702 13.901
"26" 2238.63227 13.752
"198" 2957.71625 13.812
"53" 2277.73574 13.981
"355" 3355.68434 13.813
"374" 3414.53433 13.819
"357" 3359.63175 14.228
"226" 2994.75638 14.007
"291" 3089.57396 13.774
"460" 3752.61683 13.788
"366" 3399.63333 13.794
"229" 2996.65775 14.203
"537" 4057.69435 14.219
"677" 4538.59211 13.759
"95" 2580.83402 14.206
"126" 2652.62098 14.157
"104" 2617.76718 14.075
"260" 3041.53886 14.197
"39" 2253.70751 14.205
"297" 3103.49438 14.185
"220" 2988.64222 14.18
"18" 2226.7412 14.174
"333" 3306.75837 14.22
"395" 3638.81265 13.838
"647" 4478.71793 13.801
"272" 3053.55538 13.774
"320" 3283.84617 13.801
"536" 4055.74034 14.024
"2" 2165.88307 14.207
"305" 3125.48359 13.792
"302" 3111.49499 14.219
"510" 4009.78827 13.778
"78" 2520.8836 13.966
"431" 3707.71837 13.804
"560" 4104.75871 13.737
"327" 3296.78863 14.172
"411" 3675.77798 14.031
"29" 2240.7912 13.778
"427" 3702.83546 14.074
"316" 3276.82173 13.96
"352" 3349.69632 14.145
"149" 2679.6841 14.076
"299" 3106.49987 13.794
"561" 4107.66879 13.874
"125" 2650.66648 14.113
"359" 3369.68942 14.022
"448" 3736.67815 13.952
"42" 2258.82263 13.77
"653" 4487.72342 13.825
"567" 4123.70607 13.807
"563" 4117.63435 14.013
"440" 3725.69699 13.809
"592" 4365.77419 14.062
"334" 3306.78373 14.2
"360" 3377.65021 14.178
"533" 4053.7657 13.783
"154" 2690.5973 13.796
"675" 4533.54188 14.028
"140" 2667.76686 14.045
"594" 4369.76969 13.761
"192" 2949.73098 13.967
"477" 3778.61481 13.801
"103" 2617.71414 14.098
"363" 3389.67085 13.803
"325" 3294.78296 13.989
"86" 2551.82999 13.98
"606" 4392.73169 14.107
"649" 4481.74708 14.169
"580" 4178.51343 13.886
"459" 3751.70169 13.778
"511" 4014.81366 14.125
"76" 2397.50605 13.802
"249" 3020.6803 13.964
"262" 3043.56831 13.704
"660" 4500.72736 14.198
"410" 3674.85963 13.972
"380" 3450.54758 13.712
"674" 4531.54346 13.78
"60" 2289.68592 14.208
"347" 3334.63986 13.902
"438" 3721.62982 14.202
"432" 3712.82188 14.206
"146" 2675.68293 13.986
"519" 4028.80335 13.98
"139" 2667.64953 14.042
"118" 2640.71467 14.019
"256" 3033.65156 13.991
"676" 4537.53757 13.839
"603" 4383.82052 14.097
"150" 2679.70813 14.066
"473" 3772.64442 14.002
"82" 2542.78564 13.964
"502" 3994.90389 14.116
"175" 2910.80797 13.732
"294" 3098.5614 13.773
"358" 3359.68949 14.22
"667" 4515.56553 14.026
"22" 2232.69462 13.844
"133" 2661.75283 14.122
"182" 2925.78433 14.208
"540" 4060.65857 13.732
"331" 3303.75691 13.988
"159" 2711.56216 13.996
"462" 3754.65496 13.98
"306" 3134.484 13.807
"394" 3638.7695 13.826
"646" 4477.68954 13.796
"310" 3247.8485 13.799
"112" 2628.8262 13.8
"176" 2910.84275 13.738
"609" 4397.79578 13.816
"50" 2273.79432 13.776
"157" 2705.5355 14.16
"341" 3321.64925 14.01
"292" 3092.53149 14.09
"162" 2733.49583 13.817
"148" 2677.68573 14.168
"296" 3102.49984 14.192
"412" 3683.77546 13.976
"108" 2623.68112 14.063
"234" 3002.61672 13.957
"171" 2899.82353 14.213
"247" 3018.6393 13.782
"348" 3334.66651 13.892
"37" 2251.83806 14.012
"203" 2963.78324 13.746
"100" 2599.75796 14.155
"362" 3381.78133 13.78
"414" 3686.82337 14.216
"492" 3960.89298 14.233
"466" 3758.68025 14.05
"263" 3044.54374 13.804
"538" 4057.71926 14.218
"92" 2577.78119 13.873
"541" 4065.65154 14.116
"224" 2992.65919 13.758
"640" 4466.66668 13.873
"499" 3981.75537 13.782
"164" 2872.86716 14.199
"399" 3646.88713 13.776
"372" 3409.53898 13.988
"254" 3028.72444 13.858
"321" 3283.87163 13.8
"12" 2200.84347 14.22
"94" 2580.80994 14.208
"255" 3030.72948 14.089
"281" 3067.58212 14.216
"493" 3961.87947 14.118
"259" 3040.66662 14.208
"404" 3660.74753 14.181
"605" 4388.76021 13.814
"590" 4362.76162 13.792
"181" 2925.75888 14.188
"585" 4350.81078 14.149
"550" 4077.70208 13.824
"468" 3761.7265 13.765
"549" 4077.67683 13.838
"216" 2983.69493 13.773
"521" 4037.7492 13.992
"195" 2952.74949 14.218
"624" 4439.69068 14.037
"160" 2712.5258 14.109
"326" 3296.71362 14.171
"558" 4100.82744 14.094
"97" 2589.73419 14.208
"163" 2870.90702 14.017
"24" 2234.68769 14.087
"47" 2269.74173 14.048
"672" 4525.58169 14.13
"668" 4520.55764 13.739
"665" 4509.59426 14.205
"398" 3646.84706 13.78
"337" 3310.80746 13.774
"243" 3010.66531 13.799
"478" 3778.64026 13.804
"36" 2251.811 14.023
"505" 4001.81178 13.944
"261" 3042.60165 13.967
"539" 4060.63344 13.747
"437" 3718.67218 13.895
"252" 3026.6633 13.754
"509" 4007.74004 13.745
"286" 3081.64386 13.832
"476" 3775.64121 14.183
"571" 4129.69592 14.15
"41" 2256.71479 13.742
"119" 2642.658 14.208
"616" 4416.85356 13.812
"601" 4379.81544 13.805
"369" 3404.55984 14.136
"589" 4361.81859 13.778
"87" 2555.85405 14.079
"442" 3727.64135 13.935
"156" 2699.58738 13.8
"526" 4042.78538 13.743
"659" 4499.59325 14.18
"361" 3377.67582 14.193
"13" 2206.75472 13.97
"581" 4192.51005 13.882
"545" 4069.60677 13.752
"58" 2283.76216 13.792
"530" 4048.74868 14.192
"158" 2705.56117 14.182
"450" 3739.65595 14.238
"250" 3022.77127 14.173
"287" 3084.52366 14.159
"593" 4366.82545 14.169
"417" 3689.76654 13.78
"35" 2249.71613 13.773
"289" 3087.51573 13.751
"439" 3722.62561 14.186
"457" 3748.62852 14.222
"280" 3067.5569 14.213
"508" 4007.71507 13.753
"350" 3338.71917 13.949
"323" 3289.78538 14.096
"576" 4153.58164 14.045
"367" 3402.63169 14.146
"423" 3698.71322 13.792
"556" 4092.77208 14.187
"619" 4425.84138 13.825
"426" 3702.81005 14.093
"453" 3743.59895 13.798
"102" 2613.67654 13.976
"662" 4502.65395 13.738
"555" 4087.74266 13.778
"527" 4045.86198 13.898
"525" 4042.76041 13.756
"19" 2228.76111 14.049
"447" 3736.65256 13.959
"496" 3973.91831 13.772
"575" 4153.55112 14.057
"98" 2594.72677 13.771
"59" 2288.72424 14.174
"465" 3758.65373 14.061
"186" 2933.76825 14.114
"204" 2966.69088 13.837
"572" 4131.549 13.749
"30" 2242.76918 14.011
"436" 3718.64663 13.892
"494" 3968.83715 14.17
"298" 3105.53866 13.729
