"a" "b"
"221" 3638.77658 15.912
"61" 2617.77426 15.85
"109" 2952.75662 15.84
"155" 3058.53294 15.889
"58" 2599.80209 15.847
"51" 2559.74896 15.465
"131" 3006.70154 15.815
"29" 2281.74049 15.577
"230" 3686.85572 15.769
"241" 3718.67918 15.925
"3" 2191.84658 15.679
"144" 3038.64841 15.459
"291" 4055.74725 15.846
"191" 3314.77252 15.436
"215" 3452.50771 15.817
"129" 3002.6502 15.352
"150" 3050.54496 15.834
"256" 3756.76205 15.851
"183" 3289.79251 15.722
"266" 3797.57996 15.747
"340" 4457.6804 15.825
"25" 2273.80091 15.515
"105" 2939.78122 15.816
"207" 3402.63884 15.565
"11" 2232.72493 15.555
"112" 2961.73124 15.439
"354" 4507.63149 15.367
"167" 3092.56652 15.846
"334" 4435.84371 15.508
"118" 2977.79386 15.671
"175" 3229.92229 15.543
"268" 3818.52526 15.808
"56" 2589.74139 15.918
"151" 3052.5393 15.692
"235" 3700.75487 15.847
"229" 3683.80803 15.627
"95" 2888.89484 15.906
"157" 3062.5464 15.59
"358" 4530.52719 15.893
"318" 4361.82562 15.72
"238" 3707.7462 15.833
"34" 2295.69682 15.841
"189" 3308.80754 15.927
"122" 2988.67729 15.811
"83" 2677.69241 15.801
"299" 4080.69277 15.644
"84" 2679.71478 15.872
"75" 2657.71113 15.483
"316" 4350.89348 15.542
"43" 2337.58304 15.742
"92" 2733.50305 15.8
"186" 3298.82637 15.706
"300" 4084.72268 15.858
"153" 3056.54 15.809
"162" 3077.65975 15.458
"242" 3722.63262 15.687
"197" 3349.70338 15.855
"81" 2671.66905 15.804
"306" 4117.66645 15.859
"130" 3004.65199 15.92
"158" 3067.58931 15.558
"26" 2275.73878 15.741
"336" 4442.7652 15.948
"98" 2905.82003 15.723
"263" 3778.64734 15.441
"303" 4100.86184 15.512
"30" 2283.76877 15.371
"273" 3981.76241 15.693
"281" 4026.67446 15.666
"243" 3725.72948 15.806
"261" 3772.67699 15.926
"6" 2217.7527 15.712
"254" 3752.62393 15.336
"349" 4487.73036 15.627
"251" 3746.6072 15.854
"276" 3999.82605 15.648
"285" 4040.77693 15.928
"201" 3377.68288 15.786
"68" 2637.68037 15.685
"133" 3010.6724 15.45
"267" 3805.51258 15.8
"47" 2542.79233 15.796
"159" 3069.57445 15.466
"77" 2661.78333 15.881
"54" 2577.81148 15.467
"212" 3429.52077 15.847
"79" 2665.75334 15.599
"356" 4520.60029 15.376
"14" 2240.7978 15.674
"219" 3629.77584 15.667
"233" 3695.77331 15.471
"279" 4016.85804 15.788
"352" 4499.59983 15.891
"100" 2915.84577 15.628
"271" 3968.8693 15.686
"310" 4131.55595 15.394
"259" 3765.60033 15.394
"59" 2607.75928 15.912
"120" 2983.7275 15.851
"36" 2299.68773 15.554
"210" 3414.54137 15.941
"343" 4467.66827 15.761
"132" 3008.66075 15.654
"121" 2986.71007 15.917
"325" 4383.82748 15.516
"265" 3790.59968 15.909
"304" 4104.76567 15.838
"96" 2894.82989 15.503
"335" 4439.69761 15.848
"199" 3355.69142 15.35
"333" 4431.7754 15.808
"288" 4048.75564 15.728
"37" 2301.65712 15.4
"302" 4092.80537 15.354
"171" 3111.50226 15.589
"107" 2946.77972 15.627
"116" 2975.77994 15.794
"102" 2925.79149 15.507
"213" 3434.61372 15.843
"187" 3303.79821 15.896
"307" 4122.65818 15.836
"114" 2966.72968 15.381
"320" 4366.83248 15.686
"234" 3698.72561 15.417
"125" 2994.78882 15.594
"257" 3758.68731 15.687
"7" 2223.77264 15.897
"217" 3592.9173 15.371
"22" 2261.62742 15.698
"64" 2626.66734 15.412
