"a" "b"
"301" 4087.74955 16.418
"354" 4507.63149 16.471
"258" 3761.73351 16.341
"175" 3229.92229 16.464
"247" 3736.68515 16.391
"96" 2894.82989 16.316
"156" 3060.55271 16.397
"168" 3102.50707 16.238
"295" 4067.65139 16.37
"116" 2975.77994 16.402
"335" 4439.69761 16.389
"38" 2303.654 16.465
"18" 2251.81759 16.375
"128" 3000.66444 16.458
"209" 3409.54605 16.344
"115" 2973.84446 16.413
"248" 3738.63823 16.323
"316" 4350.89348 16.367
"47" 2542.79233 16.443
"5" 2211.82584 16.265
"288" 4048.75564 16.505
"312" 4153.58864 16.431
"321" 4370.77779 16.486
"306" 4117.66645 16.258
"315" 4345.88282 16.386
"149" 3048.54381 16.505
"219" 3629.77584 16.465
"259" 3765.60033 16.502
"319" 4364.81004 16.431
"208" 3404.56695 16.468
"218" 3617.86546 16.441
"199" 3355.69142 16.463
"131" 3006.70154 16.293
"359" 4533.5489 16.362
"135" 3016.68664 16.466
"279" 4016.85804 16.461
"251" 3746.6072 16.357
"121" 2986.71007 16.515
"277" 4004.81449 16.389
"328" 4397.80278 16.379
"343" 4467.66827 16.504
"210" 3414.54137 16.396
"213" 3434.61372 16.365
"83" 2677.69241 16.264
"101" 2921.84813 16.434
"233" 3695.77331 16.446
"195" 3334.6736 16.448
"180" 3276.82889 16.494
"56" 2589.74139 16.328
"220" 3633.83127 16.449
"69" 2640.72897 16.531
"349" 4487.73036 16.288
"161" 3075.5763 16.422
"100" 2915.84577 16.514
"22" 2261.62742 16.538
"240" 3715.6466 16.427
"80" 2667.77348 16.405
"34" 2295.69682 16.477
"1" 2183.87105 16.522
"204" 3394.72361 16.41
"139" 3026.69573 16.462
"206" 3399.64041 16.335
"290" 4053.79751 16.387
"284" 4037.78115 16.358
"46" 2520.89094 16.524
"361" 4540.56837 16.43
"164" 3084.56008 16.421
"184" 3294.79006 16.436
"62" 2620.71356 16.277
"281" 4026.67446 16.401
"330" 4410.83705 16.512
"86" 2685.65055 16.284
"194" 3329.77826 16.387
"223" 3646.89424 16.446
"188" 3306.79083 16.336
"84" 2679.71478 16.481
"167" 3092.56652 16.416
"298" 4077.70899 16.369
"234" 3698.72561 16.3
"11" 2232.72493 16.442
"17" 2249.72271 16.37
"8" 2226.74779 16.38
"112" 2961.73124 16.531
"185" 3296.79576 16.401
"129" 3002.6502 16.518
