"a" "b"
"234" 3692.69048 14.254
"334" 4416.85701 14.24
"364" 4540.5648 14.15
"79" 2667.77018 14.312
"285" 4028.8068 14.622
"104" 2933.77175 14.367
"112" 2961.72767 14.26
"37" 2301.6538 14.556
"49" 2551.83359 14.598
"233" 3689.77003 14.506
"314" 4149.64437 14.197
"338" 4439.69411 14.337
"318" 4345.87927 14.599
"339" 4442.7617 14.527
"274" 3968.86573 14.542
"132" 3004.64841 14.138
"301" 4077.7055 14.289
"353" 4491.701 14.385
"319" 4350.88991 14.286
"213" 3429.51719 14.472
"103" 2929.82492 14.357
"77" 2661.78002 14.485
"313" 4131.55243 14.574
"243" 3718.67563 14.619
"191" 3314.76347 14.146
"292" 4051.74268 14.418
"4" 2200.84704 14.209
"316" 4164.56365 14.201
"362" 4533.54535 14.2
"84" 2679.71145 14.136
"345" 4464.65434 14.587
"325" 4373.77417 14.402
"1" 2183.86737 14.448
"299" 4069.63591 14.236
"51" 2559.7453 14.604
"133" 3006.69798 14.23
"46" 2520.88722 14.411
"54" 2577.80818 14.245
"119" 2977.79027 14.302
"333" 4410.83352 14.416
"125" 2990.74992 14.201
"357" 4507.62821 14.514
"215" 3444.54265 14.524
"264" 3775.64475 14.39
"217" 3585.9208 14.603
"173" 3125.48718 14.318
"8" 2226.7445 14.571
"291" 4048.75214 14.388
"146" 3040.67014 14.315
"323" 4366.82892 14.447
"85" 2681.70039 14.234
"252" 3743.60241 14.19
"190" 3310.8363 14.423
"34" 2295.69352 14.133
"134" 3010.66882 14.466
"253" 3746.60365 14.439
"43" 2337.57935 14.58
"298" 4067.64791 14.144
"83" 2677.68909 14.613
"284" 4026.67091 14.393
"220" 3629.77224 14.602
"87" 2690.60083 14.4
"95" 2888.8912 14.253
"249" 3736.6816 14.236
"121" 2981.82329 14.244
"50" 2555.85766 14.245
"23" 2265.66811 14.238
"25" 2273.79761 14.135
"144" 3035.66121 14.247
"226" 3656.86516 14.283
"182" 3283.87515 14.455
"75" 2657.70782 14.141
"29" 2281.73719 14.165
"28" 2279.74997 14.474
"360" 4523.52812 14.616
"200" 3359.69299 14.192
"282" 4016.85451 14.196
"139" 3024.72305 14.613
"179" 3273.77968 14.417
"67" 2634.65088 14.309
"227" 3660.75102 14.342
"137" 3018.66801 14.261
"16" 2244.84707 14.173
"69" 2640.7254 14.616
"136" 3016.68303 14.57
"262" 3769.70535 14.558
"180" 3276.82527 14.353
"36" 2299.6844 14.439
"71" 2644.68642 14.235
"32" 2291.69806 14.376
"3" 2191.84049 14.249
"168" 3102.50342 14.236
"117" 2975.77635 14.187
"57" 2594.757 14.418
"102" 2925.78787 14.244
"88" 2695.53861 14.21
"108" 2949.75981 14.498
"78" 2665.75004 14.194
"283" 4023.75783 14.149
"279" 3999.82253 14.511
"196" 3338.72268 14.24
"113" 2963.78675 14.41
"171" 3111.49858 14.409
"101" 2921.84452 14.552
"229" 3671.76641 14.309
"307" 4104.76214 14.144
"287" 4037.77764 14.167
"154" 3056.53639 14.146
"273" 3961.88298 14.597
"135" 3012.76421 14.194
"105" 2939.77761 14.251
"107" 2946.77614 14.231
"147" 3042.60518 14.222
"151" 3050.54136 14.242
"12" 2234.71482 14.611
"122" 2983.72392 14.237
"33" 2293.67398 14.608
"109" 2952.753 14.143
"91" 2712.52936 14.383
"80" 2671.66573 14.265
"188" 3306.78724 14.187
"174" 3134.48759 14.518
"351" 4484.66407 14.415
"99" 2910.84628 14.237
"61" 2617.77068 14.523
"329" 4388.76363 14.427
"225" 3653.8093 14.174
"128" 2996.66126 14.204
"265" 3778.64374 14.393
"82" 2675.68624 14.398
"242" 3715.64305 14.239
"254" 3748.63198 14.574
"149" 3046.56302 14.605
"259" 3758.68373 14.223
"160" 3072.61768 14.244
"189" 3308.80394 14.247
"158" 3067.58568 14.465
"232" 3686.85215 14.378
"340" 4448.72041 14.549
"52" 2563.81665 14.227
"159" 3069.57082 14.534
"255" 3750.60498 14.154
"352" 4487.72686 14.295
"186" 3298.82276 14.388
"245" 3725.72593 14.604
"209" 3404.56337 14.251
"257" 3754.65844 14.525
"175" 3229.91862 14.452
"129" 2998.6441 14.245
"42" 2331.56054 14.421
"73" 2652.6551 14.247
"218" 3592.91366 14.594
"124" 2988.67374 14.406
"157" 3060.54907 14.502
"143" 3033.65505 14.181
"170" 3108.52059 14.17
"289" 4042.7888 14.558
"317" 4178.53331 14.133
"210" 3409.54246 14.389
"342" 4453.70729 14.237
"38" 2303.65067 14.149
"258" 3756.75847 14.328
"185" 3296.79215 14.517
"361" 4530.52363 14.61
"326" 4376.8133 14.356
"98" 2905.81638 14.56
"240" 3707.72183 14.246
"250" 3738.6347 14.383
"161" 3075.57267 14.539
"311" 4124.66632 14.62
"230" 3675.78145 14.23
"116" 2973.84088 14.424
"155" 3057.58281 14.239
"59" 2607.75562 14.241
"349" 4478.72134 14.598
"81" 2673.6581 14.238
"5" 2211.82254 14.546
"271" 3818.52163 14.239
"192" 3321.67832 14.164
"106" 2942.75572 14.549
"127" 2994.78522 14.592
"310" 4122.65469 14.397
"11" 2232.72164 14.395
"328" 4383.82396 14.468
"295" 4057.72267 14.581
"332" 4402.87469 14.36
"153" 3054.53712 14.602
"238" 3702.83893 14.503
"10" 2230.70109 14.238
"156" 3058.52933 14.237
"269" 3797.57638 14.368
"202" 3377.6793 14.473
"63" 2623.6846 14.358
"359" 4520.59674 14.269
"221" 3633.81946 14.243
"194" 3329.77469 14.158
"163" 3081.64806 14.39
"358" 4509.62212 14.379
"114" 2966.72612 14.352
"347" 4471.6535 14.61
"216" 3452.50409 14.59
"94" 2883.91014 14.578
"288" 4040.77341 14.28
"324" 4370.77423 14.169
"267" 3785.62737 14.554
"228" 3665.80056 14.489
"335" 4425.71358 14.428
"130" 3000.66088 14.407
"35" 2297.69165 14.233
"150" 3048.54022 14.16
"30" 2283.76548 14.278
"7" 2223.76933 14.245
"260" 3761.72998 14.478
"64" 2626.66377 14.506
"296" 4060.66197 14.156
"343" 4457.6769 14.453
"131" 3002.64663 14.61
"145" 3038.6448 14.555
"237" 3700.75133 14.236
"89" 2699.59092 14.598
"297" 4065.70953 14.616
"290" 4046.66359 14.229
"74" 2655.64544 14.617
"92" 2733.4994 14.232
"178" 3268.8206 14.564
"195" 3334.67001 14.616
"198" 3352.66658 14.234
"201" 3369.69294 14.403
"20" 2256.71809 14.608
"70" 2642.68807 14.14
"193" 3325.74009 14.432
"44" 2366.5145 14.495
"304" 4087.74605 14.612
"315" 4153.58509 14.562
"140" 3026.69214 14.135
