"a" "b"
"120" 2983.75366 15.445
"214" 3452.5364 15.587
"220" 3634.76201 15.219
"14" 2242.82814 15.453
"41" 2344.52051 15.321
"42" 2354.52229 15.295
"160" 3078.52501 15.284
"131" 3006.62356 15.257
"216" 3588.91748 15.558
"26" 2279.7775 15.351
"106" 2939.80964 15.508
"167" 3101.55561 15.11
"96" 2890.81992 15.316
"368" 4540.59362 15.377
"174" 3229.89656 15.473
"156" 3067.64162 15.169
"218" 3614.90854 15.346
"242" 3719.67175 15.122
"227" 3671.79611 15.132
"171" 3113.51905 15.43
"276" 4004.83956 15.43
"286" 4046.69226 15.588
"165" 3092.59315 15.373
"357" 4501.62863 15.15
"22" 2271.70452 15.102
"251" 3743.66427 15.13
"264" 3791.55265 15.151
"133" 3012.79358 15.118
"302" 4102.62266 15.217
"299" 4084.74823 15.399
"152" 3054.5666 15.285
"78" 2657.7425 15.136
"287" 4048.78165 15.364
"256" 3754.69276 15.293
"320" 4361.8507 15.151
"164" 3089.65514 15.437
"311" 4142.56227 15.61
"270" 3968.89435 15.147
"80" 2661.80725 15.265
"65" 2627.61011 15.265
"30" 2291.73116 15.534
"292" 4064.67608 15.139
"362" 4520.6256 15.469
"67" 2631.68345 15.388
"226" 3666.79773 15.441
"102" 2921.87412 15.365
"104" 2929.8642 15.569
"248" 3736.74183 15.112
"72" 2643.65282 15.335
"358" 4505.59917 15.234
"8" 2228.81518 15.401
"185" 3298.85221 15.6
"252" 3746.73822 15.314
"52" 2555.8874 15.259
"356" 4498.63551 15.185
"77" 2654.82401 15.238
"103" 2925.81959 15.463
"202" 3386.79126 15.456
"62" 2617.80153 15.337
"338" 4436.7147 15.165
"115" 2966.75531 15.443
"34" 2299.74326 15.259
"257" 3758.71362 15.391
"124" 2992.72452 15.213
"84" 2673.68642 15.563
"118" 2975.80922 15.245
"352" 4483.70407 15.555
"310" 4132.62724 15.334
"238" 3706.75623 15.281
"70" 2639.81916 15.599
"176" 3247.8813 15.574
"69" 2637.70436 15.231
"312" 4150.53933 15.218
"180" 3276.89442 15.36
"335" 4425.7463 15.568
"274" 3995.81896 15.552
"93" 2712.55909 15.176
"366" 4535.60374 15.325
"51" 2551.86336 15.134
"247" 3734.7229 15.389
"201" 3377.70863 15.548
"169" 3107.50886 15.586
"92" 2700.5247 15.463
"319" 4355.88996 15.306
"280" 4026.70261 15.396
"193" 3334.70094 15.307
"105" 2933.80112 15.482
"288" 4051.77127 15.285
"285" 4042.81747 15.503
"187" 3303.84156 15.278
"66" 2629.63417 15.599
"94" 2735.48926 15.603
"134" 3016.71227 15.232
"58" 2589.77257 15.213
"23" 2273.67123 15.462
"45" 2520.91714 15.124
"25" 2277.77244 15.579
"119" 2979.84567 15.353
"293" 4067.67653 15.413
"314" 4165.54574 15.466
"99" 2906.84218 15.125
"64" 2623.71394 15.162
"21" 2265.7586 15.281
"349" 4473.63501 15.591
"255" 3752.70435 15.522
"208" 3410.62036 15.435
"3" 2189.84343 15.128
"200" 3372.6745 15.381
"325" 4379.84828 15.319
"336" 4429.71045 15.359
"27" 2281.7914 15.174
"346" 4461.6471 15.292
"162" 3084.58994 15.135
"301" 4093.81639 15.456
"282" 4031.72633 15.376
"57" 2580.86474 15.444
"178" 3268.85013 15.113
"137" 3022.80392 15.223
"309" 4127.64924 15.42
"163" 3087.55172 15.403
"210" 3421.58049 15.549
"141" 3030.76235 15.299
"322" 4367.76999 15.593
"294" 4069.66466 15.424
"37" 2317.64009 15.411
"212" 3436.57381 15.198
"170" 3110.5354 15.493
"90" 2690.64303 15.537
"53" 2559.79629 15.351
"182" 3289.81829 15.211
"101" 2915.87181 15.498
"111" 2955.84684 15.354
"355" 4493.77158 15.533
"258" 3762.67174 15.47
"206" 3403.66875 15.426
"331" 4410.86233 15.376
"219" 3629.80389 15.538
"128" 3000.69087 15.42
"323" 4370.80688 15.523
"224" 3657.78888 15.512
"266" 3805.53818 15.227
"36" 2304.72654 15.532
"359" 4508.57668 15.132
"207" 3406.60276 15.339
"334" 4421.78217 15.474
"91" 2695.57361 15.198
"132" 3010.69811 15.374
"49" 2542.81624 15.369
"259" 3769.73428 15.519
"298" 4082.66778 15.314
"13" 2240.82234 15.158
"4" 2212.79165 15.567
"95" 2884.85213 15.462
"284" 4040.80199 15.142
"40" 2338.52768 15.466
"116" 2970.76943 15.547
"329" 4398.79546 15.548
"63" 2620.76956 15.261
"17" 2253.75428 15.569
"81" 2665.77723 15.382
"74" 2646.67298 15.604
"263" 3786.55702 15.477
"146" 3043.60115 15.138
"157" 3069.60016 15.518
"271" 3974.87994 15.564
"350" 4477.72255 15.141
"361" 4516.53559 15.363
"107" 2942.78503 15.445
"240" 3713.66103 15.279
"342" 4450.7604 15.169
"54" 2563.84651 15.454
"244" 3727.70307 15.342
"223" 3653.83825 15.58
"143" 3035.69051 15.563
"237" 3704.75719 15.506
"6" 2223.79686 15.129
"205" 3398.69364 15.119
"126" 2996.69078 15.324
"341" 4448.75352 15.431
"38" 2323.54234 15.224
"326" 4383.85254 15.428
"47" 2537.84983 15.262
"305" 4113.67151 15.366
"149" 3049.60003 15.593
"61" 2609.64554 15.18
"283" 4037.83526 15.25
"260" 3772.70243 15.45
"44" 2401.50848 15.128
"265" 3798.55296 15.182
"272" 3981.78737 15.584
"73" 2645.64554 15.433
"209" 3415.5921 15.193
"308" 4124.69528 15.491
"273" 3987.91136 15.469
"10" 2232.74882 15.485
"232" 3692.71966 15.195
"225" 3661.80058 15.168
"235" 3699.68469 15.219
"183" 3294.81623 15.484
"348" 4468.69869 15.328
"327" 4388.79243 15.295
"89" 2686.56479 15.424
"12" 2238.6934 15.338
"112" 2957.77439 15.419
"117" 2974.68407 15.562
"154" 3058.55882 15.399
"43" 2368.50633 15.335
"343" 4453.73604 15.215
"109" 2948.85057 15.316
"337" 4431.85028 15.448
"11" 2234.74264 15.243
"50" 2545.79791 15.288
"360" 4510.6549 15.5
"303" 4104.79137 15.596
"340" 4442.70008 15.55
"32" 2295.73002 15.125
"300" 4087.66804 15.58
"243" 3725.75511 15.588
"98" 2900.81121 15.274
"161" 3081.6777 15.236
"150" 3050.57063 15.163
"136" 3020.77749 15.349
