"a" "b"
"150" 3038.63773 15.094
"356" 4481.74351 14.895
"53" 2551.82634 15.166
"277" 3937.91698 14.985
"165" 3072.61052 14.918
"106" 2921.83743 14.988
"330" 4370.7672 14.927
"336" 4392.78175 14.88
"73" 2640.71138 15.115
"212" 3394.71291 15.142
"309" 4084.71221 15.265
"308" 4080.6823 15.156
"63" 2607.74841 15.011
"364" 4509.61553 15.099
"93" 2695.53147 14.996
"338" 4402.86769 14.919
"209" 3377.67227 15.241
"315" 4117.65595 14.948
"166" 3075.56551 14.955
"11" 2228.78152 14.805
"348" 4453.70032 15.237
"225" 3592.90651 15.249
"16" 2240.78791 15.268
"26" 2271.63797 15.238
"189" 3283.86805 14.991
"290" 4026.66389 15.113
"321" 4153.57801 15.051
"211" 3389.66732 15.063
"159" 3056.52931 15.128
"114" 2952.74593 14.877
"169" 3084.54844 14.816
"130" 2992.68319 14.805
"274" 3797.56922 15.005
"310" 4087.73912 15.074
"120" 2969.66789 15.252
"109" 2933.76466 15.156
"219" 3418.62349 14.81
"345" 4442.75473 14.972
"319" 4131.54544 15.067
"92" 2690.59371 14.926
"206" 3355.68081 15.225
"239" 3686.8451 14.869
"179" 3125.47996 14.939
"226" 3617.85473 15.05
"39" 2301.64719 15.185
"35" 2293.66735 15.229
"125" 2981.81624 15.114
"213" 3396.59234 14.801
"70" 2631.6237 15.265
"295" 4042.78182 14.913
"74" 2642.68103 14.979
"292" 4030.87709 15.09
"210" 3381.77781 15.197
"65" 2617.7636 15.179
"263" 3754.65136 15.143
"273" 3790.58896 15.258
"37" 2297.68502 15.243
"233" 3656.85802 14.972
"66" 2620.70297 14.962
"349" 4457.66991 15.235
"9" 2223.76274 15
"363" 4507.62162 14.834
"138" 3010.66175 14.856
"21" 2253.70422 15.24
"270" 3775.63761 15.008
"83" 2665.74343 15.129
"154" 3046.55595 14.965
"110" 2939.77051 14.791
"187" 3276.81816 15.259
"332" 4376.80625 14.965
"69" 2628.82291 14.878
"215" 3402.6281 15.035
"24" 2261.6116 15.081
"188" 3281.76827 15.055
"366" 4523.52108 15.224
"299" 4053.78705 15.24
"25" 2265.66153 15.037
"104" 2910.83915 15.019
"42" 2322.61335 15.021
"196" 3308.79686 14.806
"182" 3247.8449 14.881
"141" 3018.661 14.834
"181" 3229.9114 14.818
"199" 3321.67127 14.804
"151" 3040.66304 14.815
"327" 4361.81498 15.044
"227" 3629.76516 14.871
"56" 2563.80943 14.986
"118" 2963.77969 15.055
"32" 2283.75887 15.121
"168" 3081.64025 14.959
"100" 2888.88401 15.024
"54" 2555.85039 15.106
"156" 3050.53429 14.907
"281" 3981.75177 14.961
"258" 3743.59534 14.832
"153" 3044.54015 15.175
"90" 2681.6933 14.911
"40" 2303.64403 14.839
"193" 3298.81567 15.26
"357" 4484.65711 15.119
"55" 2559.73809 15.04
"337" 4397.79222 14.821
"339" 4410.82653 14.808
"220" 3434.6031 15.207
"58" 2577.80157 15.108
"77" 2652.6441 15.138
"232" 3653.80218 15.172
"235" 3665.79341 14.993
"326" 4355.85421 15.091
"72" 2637.6705 14.894
"238" 3683.79742 15.051
"126" 2983.71688 14.789
"320" 4149.63729 15.118
"36" 2295.68689 14.953
"344" 4439.68713 15.166
"98" 2870.90337 14.955
"173" 3098.5578 14.87
"246" 3707.71479 14.99
"95" 2705.55757 15.172
"245" 3705.73871 15.048
"103" 2905.80927 14.93
"30" 2279.74338 15.178
"324" 4345.87215 14.927
"275" 3804.56529 14.824
"161" 3058.52221 14.812
"183" 3254.91729 15.262
"177" 3111.49139 14.829
"231" 3646.88349 14.809
"204" 3349.69277 14.992
"131" 2994.77819 15.091
"71" 2634.64428 15.075
"224" 3590.93461 14.964
"328" 4364.79942 15.12
"171" 3089.57035 14.866
"41" 2317.56775 14.937
"67" 2623.67757 14.796
"218" 3414.53079 14.853
"140" 3016.67595 15.072
"358" 4487.71987 15.115
"276" 3818.51446 14.865
"369" 4537.53398 14.97
"132" 2996.65419 14.873
"307" 4077.69853 14.897
"359" 4490.71536 14.938
"242" 3698.70963 15.185
"282" 3987.87571 15.219
"360" 4494.64466 14.865
"354" 4474.70068 15.136
"314" 4107.72786 14.801
"47" 2366.50717 15.032
"230" 3641.80432 15.032
"214" 3399.62977 15.235
"31" 2281.73059 14.841
"167" 3077.64896 15.023
"62" 2599.79124 15.112
"117" 2961.72064 14.795
"122" 2977.75722 15.174
"325" 4350.83403 15.016
"318" 4126.69249 14.991
"7" 2211.81589 14.888
"247" 3712.8183 14.817
"23" 2258.81933 15.029
"121" 2975.76934 14.891
"116" 2957.73794 14.824
"322" 4164.55654 14.823
"283" 3995.78251 15.082
"368" 4533.53829 14.786
"298" 4051.73568 14.946
"46" 2349.53178 15.116
"186" 3273.77253 14.804
"160" 3057.57567 15.235
"34" 2291.69143 15.008
"33" 2289.68261 14.942
"221" 3444.53555 14.827
"43" 2326.52273 14.969
"266" 3761.72289 14.893
"2" 2183.86013 15.241
"157" 3052.52859 15.186
"12" 2230.69451 15.065
"68" 2626.65673 15.203
"234" 3660.74393 14.9
"280" 3974.8322 15.242
"59" 2580.83073 14.923
"313" 4104.75517 14.982
"102" 2899.81995 15.037
"250" 3722.62201 14.946
"259" 3746.59657 15.249
"255" 3736.67456 15.076
"331" 4373.76713 15.15
"294" 4040.76642 15.273
"3" 2184.86209 14.8
"4" 2189.80642 14.878
"51" 2542.78232 15.126
"243" 3700.74423 14.962
"323" 4177.54397 14.957
"351" 4464.64739 14.963
"127" 2986.69953 15.199
"107" 2925.78073 15.253
"256" 3738.62765 14.87
"57" 2571.86443 14.888
"149" 3035.65412 15.221
"333" 4379.81184 14.793
"317" 4124.62284 15.147
"22" 2256.70395 15.031
"129" 2990.74286 15.135
"297" 4048.74512 15.137
"355" 4478.71437 15.083
"343" 4435.7992 15.246
"241" 3692.68339 15.068
"289" 4023.75082 15.051
"96" 2712.52221 14.905
"334" 4383.81694 15.005
"164" 3069.56363 15.108
"198" 3314.75643 15.024
"180" 3134.48035 14.981
"87" 2675.67576 15.223
"142" 3020.70729 15.033
"184" 3262.89185 15.138
"158" 3054.53002 14.865
"192" 3296.78505 14.941
"152" 3042.59806 15.024
"240" 3689.76296 15.243
"262" 3752.61322 14.854
"5" 2191.83319 15.164
"216" 3404.55627 15.159
"300" 4055.73679 14.891
"194" 3303.78652 15.012
"195" 3306.78016 15.126
"14" 2234.70823 15.019
"251" 3725.71891 14.786
"147" 3030.72592 15.218
"86" 2673.65148 15.014
"89" 2679.70482 15.262
"237" 3675.77438 15.15
"19" 2249.71285 15.248
"10" 2226.7379 15.141
"97" 2733.49182 14.795
"44" 2331.55324 15.048
"79" 2657.70125 15.248
"252" 3728.6224 15.184
"176" 3108.51341 15.037
"155" 3048.53312 15.257
"228" 3633.81238 14.819
"60" 2589.73058 14.933
"115" 2955.81028 15.173
"279" 3968.85861 15.001
"99" 2883.90294 14.936
"175" 3105.53504 15.242
"64" 2613.67299 15.226
"119" 2966.71908 14.856
"272" 3785.62025 15.183
"111" 2942.74862 15.196
"286" 4007.73647 14.926
"312" 4100.85135 15.053
"335" 4388.75664 14.793
"18" 2244.8405 15.232
"45" 2337.57203 15.21
"143" 3022.76773 15.022
"123" 2977.78325 15.179
"94" 2699.58379 14.955
"201" 3329.76766 15.225
"133" 2998.6371 15.015
"278" 3961.87585 15.265
"222" 3452.49699 15.247
"248" 3715.63599 15.226
"352" 4467.65772 14.791
"76" 2650.661 14.859
"217" 3409.53545 14.803
"265" 3758.67664 15.08
"350" 4459.6492 14.875
"145" 3026.68507 15.256
"254" 3734.68654 14.812
"144" 3024.71596 14.979
"148" 3033.64801 15.001
"362" 4502.62208 14.828
"15" 2238.65955 14.963
"370" 4540.55774 15.143
"13" 2232.71505 14.874
"303" 4065.70254 15.059
"342" 4431.76492 15.234
"20" 2251.80771 14.957
"185" 3268.81348 14.902
"124" 2979.80922 14.846
"50" 2535.91117 14.794
"105" 2915.83503 15.099
"136" 3004.64139 15.251
"260" 3748.62491 14.91
"88" 2677.68241 14.951
"91" 2685.63982 14.857
"244" 3702.83187 15.256
"80" 2659.72158 14.902
"329" 4366.82186 14.799
"249" 3718.66859 15.016
"261" 3750.59792 15.198
"306" 4072.66625 14.809
"84" 2667.7583 14.801
"27" 2273.791 14.957
"367" 4530.51655 14.969
"346" 4448.71344 15.199
"163" 3067.57853 14.831
"271" 3778.63663 14.812
"341" 4425.70661 15.049
"139" 3012.75717 15.15
"304" 4067.641 15.058
"191" 3294.77936 15.16
"75" 2644.67935 15.266
"48" 2397.50236 15.064
"61" 2594.74983 15.047
"207" 3359.68593 15.163
"170" 3087.51212 15.172
"190" 3289.78183 15.228
"293" 4037.77066 14.831
"85" 2671.6591 14.949
"108" 2929.81783 15.236
"172" 3092.55569 15.258
"174" 3102.49623 14.803
"316" 4122.64771 15.038
"287" 4009.89459 15.256
"17" 2242.78979 14.921
"8" 2217.7428 15.104
"81" 2661.77338 15.205
"38" 2299.67779 14.891
"267" 3765.58843 14.821
"296" 4046.65659 14.832
"223" 3585.9136 14.874
"112" 2946.76907 15.125
"361" 4499.58997 14.934
"137" 3006.69092 14.908
"146" 3028.72091 14.924
"257" 3740.59799 14.999
"101" 2894.81907 15.251
"202" 3334.66297 14.91
"284" 3999.81546 15.031
"229" 3638.76597 14.894
"128" 2988.6667 14.855
"6" 2200.84015 15.204
"203" 3338.71564 15.166
"162" 3060.54193 15.064
"340" 4416.85003 15.037
"365" 4520.58969 14.808
"200" 3325.73307 15.013
"1" 2171.9007 14.834
"205" 3352.65952 14.798
"113" 2949.75274 14.932
"29" 2277.73242 14.897
"269" 3772.66631 15.21
"236" 3671.75935 15.228
"197" 3310.82923 15.081
"82" 2663.70438 14.857
"305" 4069.62895 14.986
"264" 3756.75136 14.827
"49" 2520.87992 15.13
"253" 3731.69362 14.988
"285" 4004.80388 15.128
"208" 3369.68588 14.979
"134" 3000.65386 15.162
"28" 2275.72891 15.247
"288" 4016.84752 14.978
"311" 4092.79494 15.158
