"a" "b"
"119" 2966.71908 16.903
"291" 4028.7998 17.049
"227" 3629.76516 17.058
"43" 2326.52273 16.886
"240" 3689.76296 17.062
"365" 4520.58969 17.033
"337" 4397.79222 17.005
"300" 4055.73679 17.081
"318" 4126.69249 17.051
"218" 3414.53079 17.001
"61" 2594.74983 16.903
"125" 2981.81624 16.899
"94" 2699.58379 17.024
"19" 2249.71285 16.965
"5" 2191.83319 17.027
"105" 2915.83503 17.008
"330" 4370.7672 16.912
"212" 3394.71291 17.043
"141" 3018.661 17.059
"73" 2640.71138 17.06
"191" 3294.77936 16.883
"101" 2894.81907 17.063
"203" 3338.71564 17.004
"160" 3057.57567 17.051
"323" 4177.54397 17.083
"79" 2657.70125 17.007
"132" 2996.65419 16.875
"38" 2299.67779 16.927
"122" 2977.75722 17.041
"176" 3108.51341 17.044
"25" 2265.66153 17.043
"83" 2665.74343 16.881
"215" 3402.6281 17.061
"367" 4530.51655 16.874
"172" 3092.55569 16.999
"186" 3273.77253 16.959
"348" 4453.70032 16.921
"37" 2297.68502 17.057
"7" 2211.81589 17.042
"219" 3418.62349 17.042
"295" 4042.78182 16.943
"142" 3020.70729 16.964
"44" 2331.55324 17.017
"134" 3000.65386 17.026
"14" 2234.70823 16.932
"340" 4416.85003 16.995
"211" 3389.66732 16.878
"76" 2650.661 16.918
"68" 2626.65673 17.037
"290" 4026.66389 17.049
"307" 4077.69853 16.931
"57" 2571.86443 17.035
"114" 2952.74593 16.969
"90" 2681.6933 17.046
"41" 2317.56775 16.873
"161" 3058.52221 17.008
"60" 2589.73058 17.01
"56" 2563.80943 17.05
"184" 3262.89185 17.005
"301" 4057.71574 16.983
"278" 3961.87585 16.963
"89" 2679.70482 17.018
"136" 3004.64139 17.046
"198" 3314.75643 17.063
"314" 4107.72786 16.893
"324" 4345.87215 16.988
"103" 2905.80927 17.032
"146" 3028.72091 16.913
"214" 3399.62977 17.034
"42" 2322.61335 16.997
"86" 2673.65148 17.046
"266" 3761.72289 16.865
"352" 4467.65772 16.988
"233" 3656.85802 17.046
"183" 3254.91729 17.013
"228" 3633.81238 17.004
"311" 4092.79494 16.903
"24" 2261.6116 16.932
"335" 4388.75664 16.95
"46" 2349.53178 16.951
"121" 2975.76934 16.88
"267" 3765.58843 16.938
"170" 3087.51212 17.056
"355" 4478.71437 17.048
"322" 4164.55654 16.925
"71" 2634.64428 17.061
"124" 2979.80922 17.071
"47" 2366.50717 17.042
"80" 2659.72158 16.875
"157" 3052.52859 17.032
"364" 4509.61553 16.903
"237" 3675.77438 16.865
"164" 3069.56363 17.058
"96" 2712.52221 17.04
"104" 2910.83915 16.912
"4" 2189.80642 16.93
"2" 2183.86013 16.916
"263" 3754.65136 17.061
"195" 3306.78016 16.884
"151" 3040.66304 16.944
"70" 2631.6237 17.043
"241" 3692.68339 17.062
"138" 3010.66175 17.048
"252" 3728.6224 17.057
"292" 4030.87709 16.972
"177" 3111.49139 17.013
"280" 3974.8322 16.97
"235" 3665.79341 17.058
"10" 2226.7379 17.074
"349" 4457.66991 17.04
"65" 2617.7636 16.943
"271" 3778.63663 17.07
"180" 3134.48035 17.059
"45" 2337.57203 16.965
"87" 2675.67576 17.03
"39" 2301.64719 17.005
"333" 4379.81184 16.972
"50" 2535.91117 16.982
"338" 4402.86769 16.899
"304" 4067.641 17.042
"113" 2949.75274 16.942
"259" 3746.59657 17.023
"239" 3686.8451 17.023
"194" 3303.78652 16.885
"350" 4459.6492 16.909
"28" 2275.72891 16.889
"59" 2580.83073 17.068
"181" 3229.9114 16.938
"140" 3016.67595 17.034
"284" 3999.81546 17.045
"13" 2232.71505 17.058
"296" 4046.65659 17.01
"354" 4474.70068 16.967
"99" 2883.90294 16.889
"261" 3750.59792 16.897
"3" 2184.86209 17.063
"370" 4540.55774 17.048
"247" 3712.8183 17.072
"285" 4004.80388 17.011
"288" 4016.84752 17.041
"358" 4487.71987 17.062
"369" 4537.53398 17.025
"33" 2289.68261 17.041
"108" 2929.81783 17.074
"345" 4442.75473 17.051
"332" 4376.80625 16.992
"303" 4065.70254 16.976
"197" 3310.82923 17.064
"85" 2671.6591 16.87
"175" 3105.53504 17.053
"281" 3981.75177 17.058
"310" 4087.73912 17.017
"18" 2244.8405 17.051
"117" 2961.72064 16.98
"207" 3359.68593 16.969
"279" 3968.85861 16.954
"30" 2279.74338 17.032
"63" 2607.74841 17.047
"52" 2544.82628 16.957
"88" 2677.68241 16.892
"253" 3731.69362 17.025
"9" 2223.76274 17.069
"326" 4355.85421 16.942
"250" 3722.62201 17.049
"51" 2542.78232 17.063
"283" 3995.78251 16.996
"178" 3114.48269 17.038
"26" 2271.63797 17.04
"294" 4040.76642 17.048
"276" 3818.51446 16.895
"8" 2217.7428 17.078
"17" 2242.78979 16.872
"69" 2628.82291 17.007
"154" 3046.55595 17.035
"148" 3033.64801 17.058
"273" 3790.58896 17.037
"185" 3268.81348 16.965
"139" 3012.75717 17.06
"11" 2228.78152 16.96
"347" 4450.7238 16.929
"325" 4350.83403 17.073
"75" 2644.67935 16.923
"49" 2520.87992 16.927
"208" 3369.68588 16.98
"167" 3077.64896 17.04
"106" 2921.83743 16.98
"209" 3377.67227 16.894
"188" 3281.76827 17.05
"77" 2652.6441 17.073
"34" 2291.69143 17.037
"123" 2977.78325 17.04
"193" 3298.81567 17.054
"98" 2870.90337 17.045
"27" 2273.791 17.041
"268" 3769.69823 17.046
"357" 4484.65711 17.088
"234" 3660.74393 16.992
"341" 4425.70661 17.036
"150" 3038.63773 16.952
"156" 3050.53429 16.886
"287" 4009.89459 16.925
"15" 2238.65955 17.033
"302" 4060.65503 16.923
"312" 4100.85135 16.929
"16" 2240.78791 17.001
"321" 4153.57801 17.053
"243" 3700.74423 17.043
"91" 2685.63982 17.042
"131" 2994.77819 17.064
"152" 3042.59806 17.052
"158" 3054.53002 17.066
"298" 4051.73568 16.939
"48" 2397.50236 16.888
"107" 2925.78073 16.908
"309" 4084.71221 17.023
"282" 3987.87571 17.067
"351" 4464.64739 17.017
"67" 2623.67757 17.018
"201" 3329.76766 16.98
"225" 3592.90651 16.868
"199" 3321.67127 16.883
"40" 2303.64403 17.049
"31" 2281.73059 16.88
"328" 4364.79942 16.935
"248" 3715.63599 16.988
"129" 2990.74286 16.902
"251" 3725.71891 17.027
"204" 3349.69277 17.067
"329" 4366.82186 16.952
"244" 3702.83187 16.924
"315" 4117.65595 17.03
"143" 3022.76773 16.88
"274" 3797.56922 16.889
