"a" "b"
"1" 2171.88226 14.716
"282" 4037.75268 14.711
"199" 3366.6971 14.702
"67" 2637.6231 14.803
"157" 3067.56036 14.751
"103" 2925.76234 14.857
"354" 4515.56905 14.855
"163" 3084.52717 14.727
"46" 2526.88684 14.825
"302" 4117.63786 14.846
"279" 4025.87164 14.834
"27" 2283.73899 14.692
"250" 3754.56701 14.679
"336" 4453.68067 14.727
"171" 3113.48811 14.844
"70" 2644.65799 14.658
"228" 3686.8269 14.78
"124" 2992.6635 14.664
"278" 4021.86128 14.68
"280" 4028.78147 14.795
"143" 3033.62806 14.618
"358" 4531.547 14.831
"91" 2705.53902 14.821
"165" 3089.55101 14.728
"339" 4463.68044 14.61
"73" 2652.6243 14.864
"5" 2200.82188 14.818
"213" 3451.49179 14.735
"136" 3018.64277 14.719
"293" 4069.61025 14.797
"164" 3086.56517 14.696
"357" 4525.58524 14.774
"301" 4107.67228 14.855
"159" 3072.54361 14.809
"230" 3692.66488 14.695
"203" 3398.65039 14.822
"263" 3804.54698 14.735
"246" 3745.60525 14.626
"41" 2337.55357 14.625
"179" 3268.79492 14.614
"223" 3661.7718 14.763
"235" 3705.72038 14.795
"340" 4466.67019 14.628
"77" 2661.75614 14.833
"193" 3329.7471 14.823
"151" 3053.55888 14.799
"329" 4425.84488 14.628
"243" 3731.67522 14.849
"30" 2292.73716 14.791
"248" 3749.60108 14.79
"154" 3059.55537 14.749
"174" 3230.89365 14.675
"146" 3043.57177 14.693
"200" 3377.65366 14.813
"225" 3671.74106 14.84
"227" 3683.779 14.789
"299" 4100.8309 14.769
"220" 3646.85355 14.882
"335" 4450.69803 14.696
"114" 2968.85806 14.802
"265" 3936.93449 14.63
"270" 3987.85241 14.765
"72" 2650.61271 14.728
"319" 4379.79376 14.752
"328" 4420.84874 14.808
"305" 4126.61056 14.86
"254" 3764.68169 14.647
"256" 3772.648 14.829
"275" 4009.79177 14.771
"185" 3298.79716 14.859
"271" 3994.90743 14.854
"153" 3057.55676 14.837
"343" 4477.693 14.85
"106" 2939.75212 14.627
"6" 2206.75803 14.773
"234" 3702.81357 14.816
"83" 2675.62628 14.75
"338" 4458.66812 14.833
"107" 2942.73032 14.624
"68" 2640.6691 14.853
"202" 3390.77315 14.687
"17" 2249.69561 14.626
"50" 2559.71574 14.716
"268" 3973.92188 14.728
"90" 2699.56077 14.848
"55" 2588.85377 14.691
"135" 3016.65736 14.846
"2" 2183.84165 14.631
"10" 2230.67614 14.639
"287" 4053.76917 14.781
"177" 3254.89712 14.847
"255" 3769.68012 14.798
"129" 3002.62016 14.654
"149" 3049.57028 14.64
"307" 4147.57581 14.722
"224" 3665.775 14.836
"40" 2331.53101 14.652
"4" 2191.81204 14.854
"344" 4479.67446 14.648
"82" 2673.63322 14.725
"345" 4483.67457 14.802
"35" 2302.67035 14.676
"9" 2228.7644 14.787
"173" 3133.4946 14.735
"359" 4534.51805 14.858
"53" 2577.7845 14.849
"120" 2983.69836 14.647
"212" 3444.51719 14.625
"25" 2279.72112 14.858
"42" 2345.51335 14.859
"58" 2607.72592 14.7
"128" 3000.63546 14.834
"47" 2541.8811 14.701
"166" 3092.53624 14.763
"309" 4164.53697 14.848
"38" 2322.5881 14.742
"232" 3698.68661 14.653
"251" 3756.73313 14.855
"145" 3041.54231 14.851
"112" 2963.72742 14.808
"296" 4080.66455 14.685
"209" 3424.57648 14.843
"337" 4456.68345 14.749
"86" 2681.67448 14.794
"162" 3081.62033 14.772
"318" 4376.78821 14.773
"126" 2996.63578 14.711
"264" 3817.51379 14.625
"169" 3103.49794 14.754
"292" 4067.62054 14.798
"349" 4498.60762 14.682
"31" 2294.70477 14.8
"119" 2981.79764 14.838
"186" 3303.76036 14.645
"29" 2290.76232 14.647
"297" 4084.69415 14.684
"28" 2288.72753 14.837
"147" 3045.61089 14.745
"37" 2316.55475 14.788
"361" 4540.53961 14.851
"283" 4040.74767 14.69
"14" 2240.77064 14.691
"102" 2921.81902 14.788
"239" 3718.65016 14.83
"214" 3591.9279 14.623
"182" 3283.84963 14.745
"190" 3314.73222 14.856
"290" 4060.6369 14.869
"188" 3308.77855 14.8
"219" 3641.7862 14.669
"161" 3077.62888 14.626
"289" 4057.69783 14.87
"80" 2667.6568 14.775
"134" 3012.73872 14.788
"333" 4441.84602 14.639
"356" 4523.57976 14.647
"96" 2892.84934 14.645
"244" 3736.65611 14.693
"321" 4388.73873 14.663
"253" 3761.70458 14.682
"320" 4383.79883 14.854
"11" 2232.69792 14.855
"323" 4397.77217 14.614
"125" 2994.75981 14.851
"196" 3349.67412 14.773
"44" 2365.53272 14.672
"75" 2657.6837 14.664
"168" 3101.50113 14.851
"95" 2883.88413 14.739
"206" 3406.57343 14.657
"23" 2273.64015 14.832
"277" 4016.8295 14.861
"19" 2253.6816 14.763
"348" 4493.65087 14.855
"140" 3026.66676 14.753
"240" 3721.63332 14.822
"130" 3004.62302 14.78
"20" 2256.68667 14.745
"312" 4350.81579 14.619
"178" 3262.87163 14.627
"326" 4410.86716 14.693
"300" 4104.73619 14.855
"276" 4014.81716 14.695
"93" 2732.50172 14.65
"176" 3246.909 14.613
"217" 3633.78687 14.812
"187" 3306.76184 14.646
"69" 2642.6613 14.807
"89" 2694.56603 14.719
"352" 4507.60445 14.628
"57" 2599.76147 14.864
"327" 4416.82709 14.625
"52" 2571.846 14.782
"311" 4192.51363 14.871
"39" 2325.59454 14.729
"137" 3020.68377 14.707
"133" 3010.64334 14.826
"267" 3968.8407 14.734
"346" 4486.67337 14.796
"131" 3006.67208 14.807
"66" 2634.58492 14.803
"269" 3979.90767 14.78
"22" 2269.74503 14.816
"207" 3410.59152 14.711
"152" 3055.55755 14.616
"138" 3022.74937 14.838
"192" 3325.71448 14.668
"294" 4072.64817 14.797
"324" 4402.84966 14.849
"115" 2972.84552 14.845
"298" 4092.77558 14.788
"314" 4362.76515 14.724
"170" 3109.50003 14.699
"158" 3069.54536 14.825
"351" 4502.65725 14.836
"63" 2625.80373 14.671
"313" 4355.83632 14.842
"191" 3321.65272 14.721
"116" 2975.66742 14.848
"18" 2251.84136 14.815
"242" 3727.64485 14.785
"127" 2998.61732 14.736
"113" 2966.69433 14.845
"148" 3047.56534 14.832
"322" 4392.73519 14.808
"108" 2946.75083 14.772
"167" 3098.53719 14.812
"92" 2711.56568 14.791
"222" 3656.83636 14.794
"122" 2988.64551 14.834
"99" 2905.90095 14.76
"64" 2628.60772 14.741
"144" 3035.63581 14.838
"208" 3415.61384 14.744
"132" 3008.62309 14.637
"295" 4077.68032 14.654
"51" 2563.78965 14.7
"258" 3778.61837 14.861
"360" 4538.59565 14.661
"33" 2298.68249 14.84
"101" 2915.81681 14.829
"284" 4042.76388 14.764
"210" 3429.59136 14.746
"285" 4045.86554 14.759
"79" 2665.72626 14.848
"350" 4500.73065 14.713
"201" 3386.66809 14.856
"252" 3758.65725 14.714
"316" 4369.77321 14.627
"121" 2986.68063 14.631
"156" 3064.57252 14.71
"110" 2955.78707 14.701
"291" 4065.65505 14.643
"249" 3751.70523 14.627
"238" 3715.84845 14.853
"272" 4001.81527 14.795
"81" 2671.6344 14.867
"117" 2977.73816 14.688
"61" 2622.82871 14.641
"184" 3296.71709 14.674
"231" 3695.72891 14.667
"139" 3024.69775 14.67
"197" 3355.71403 14.8
"342" 4473.60597 14.696
"43" 2350.51547 14.695
"32" 2296.72638 14.631
"194" 3334.64331 14.634
"229" 3689.74184 14.733
"71" 2646.64584 14.883
"74" 2654.7364 14.708
"142" 3030.70762 14.624
"332" 4439.76563 14.821
"273" 4004.786 14.84
"150" 3051.5625 14.796
"304" 4123.70956 14.855
"183" 3289.76316 14.834
"26" 2281.71321 14.708
"310" 4176.54265 14.831
"100" 2910.81148 14.731
"109" 2952.72549 14.714
"317" 4373.74871 14.79
"195" 3338.69672 14.764
"172" 3123.52103 14.844
"123" 2990.77899 14.788
"155" 3061.54959 14.673
"54" 2580.81324 14.86
"65" 2631.60621 14.77
"34" 2300.69447 14.758
"303" 4121.63886 14.644
"60" 2620.68226 14.787
"175" 3238.87722 14.838
"281" 4030.85563 14.625
"306" 4129.69942 14.862
"226" 3674.86315 14.819
"236" 3707.69542 14.646
"218" 3638.81611 14.627
"160" 3075.54417 14.804
"13" 2238.63554 14.841
"36" 2304.68639 14.854
"59" 2617.71759 14.811
"76" 2659.75687 14.779
"331" 4435.75313 14.653
"221" 3653.78399 14.817
"347" 4489.69128 14.777
"45" 2519.90861 14.7
"259" 3781.63171 14.859
"341" 4469.65137 14.662
"215" 3608.92035 14.838
"141" 3028.67229 14.802
