"a" "b"
"310" 4126.60707 14.325
"158" 3072.54011 14.374
"355" 4493.64736 14.561
"129" 3006.66858 14.298
"251" 3741.67093 14.464
"128" 3004.61954 14.52
"122" 2992.65919 14.461
"91" 2872.86716 14.36
"3" 2183.83809 14.474
"342" 4450.69455 14.505
"189" 3306.75837 14.353
"327" 4383.79533 14.443
"126" 3000.63201 14.528
"144" 3041.53886 14.313
"284" 4025.86815 14.378
"44" 2519.90501 14.36
"329" 4392.73169 14.472
"320" 4355.83276 14.322
"19" 2256.6834 14.369
"269" 3817.51022 14.391
"193" 3321.64925 14.545
"141" 3033.6246 14.376
"57" 2617.71414 14.476
"339" 4439.76215 14.378
"297" 4065.65154 14.294
"43" 2365.52911 14.429
"172" 3123.51745 14.293
"281" 4014.81366 14.413
"234" 3689.73831 14.503
"15" 2244.81997 14.504
"124" 2996.63234 14.514
"145" 3043.56831 14.531
"367" 4540.53609 14.502
"196" 3334.63986 14.545
"28" 2288.72424 14.531
"253" 3747.71481 14.511
"287" 4037.7492 14.531
"192" 3314.72875 14.297
"323" 4369.76969 14.322
"107" 2952.72204 14.523
"255" 3751.70169 14.534
"92" 2883.88061 14.503
"140" 3030.70416 14.537
"347" 4466.66668 14.503
"114" 2975.66399 14.343
"238" 3700.72246 14.283
"325" 4376.78469 14.518
"218" 3591.9244 14.352
"170" 3109.4965 14.511
"137" 3024.69426 14.353
"206" 3390.76971 14.535
"109" 2957.71625 14.494
"298" 4067.61707 14.514
"30" 2292.73386 14.559
"207" 3400.62658 14.482
"357" 4500.72736 14.395
"330" 4397.76866 14.534
"223" 3638.81265 14.543
"313" 4153.55112 14.408
"333" 4409.86884 14.454
"275" 3987.84887 14.322
"233" 3686.82337 14.52
"267" 3797.54692 14.403
"300" 4072.6447 14.543
"87" 2699.55726 14.405
"248" 3731.6717 14.317
"165" 3092.53149 14.467
"22" 2269.74173 14.364
"117" 2981.79419 14.42
"268" 3804.5434 14.374
"66" 2642.658 14.356
"154" 3061.54608 14.529
"96" 2905.89747 14.445
"181" 3281.74633 14.471
"296" 4060.63344 14.38
"336" 4425.84138 14.291
"12" 2238.63227 14.313
"38" 2325.59098 14.323
"366" 4538.59211 14.298
"20" 2262.68056 14.546
"291" 4048.72375 14.326
"264" 3778.61481 14.318
"142" 3035.63234 14.519
"101" 2929.78755 14.423
"67" 2644.65446 14.545
"64" 2634.58165 14.412
"75" 2663.67972 14.29
"71" 2654.7293 14.296
"62" 2628.60426 14.31
"262" 3772.64442 14.516
"55" 2599.75796 14.402
"282" 4016.82601 14.499
"229" 3665.77147 14.337
"7" 2226.7174 14.414
"88" 2705.5355 14.551
"174" 3230.89011 14.531
"285" 4028.77796 14.531
"123" 2994.75638 14.4
"226" 3653.78046 14.343
"343" 4453.67716 14.491
"152" 3057.55328 14.51
"33" 2298.67916 14.315
"143" 3038.61586 14.473
"49" 2563.7861 14.279
"39" 2331.52744 14.498
"263" 3775.61557 14.367
"204" 3379.76593 14.295
"358" 4502.65395 14.531
"322" 4365.77419 14.36
"185" 3296.71362 14.393
"179" 3268.79142 14.483
"197" 3338.6933 14.525
"273" 3973.91831 14.33
"132" 3012.73525 14.476
"324" 4373.74517 14.287
"54" 2594.72677 14.337
"2" 2171.87872 14.518
"259" 3761.70106 14.28
"65" 2640.66581 14.544
"119" 2986.67718 14.47
"254" 3749.59754 14.371
"37" 2322.58454 14.47
"241" 3707.69186 14.549
"221" 3628.91072 14.482
"31" 2294.70147 14.278
"309" 4123.70607 14.472
"345" 4458.66463 14.551
"258" 3758.65373 14.41
"74" 2661.75283 14.538
"68" 2646.64253 14.322
"239" 3702.81005 14.495
"272" 3968.83715 14.517
"139" 3028.66882 14.322
"46" 2541.87753 14.307
"293" 4053.7657 14.426
"105" 2946.74736 14.386
"70" 2652.62098 14.491
"79" 2673.62991 14.416
"337" 4431.71858 14.46
"187" 3300.84966 14.473
"307" 4117.63435 14.288
"116" 2979.78679 14.413
"246" 3725.69699 14.528
"290" 4045.86198 14.52
"17" 2251.83806 14.314
"61" 2625.80028 14.4
"131" 3010.63987 14.285
"249" 3736.65256 14.394
"353" 4486.66987 14.303
