"a" "b"
"325" 4402.84966 16.359
"234" 3700.72596 16.397
"215" 3591.9279 16.223
"91" 2699.56077 16.35
"138" 3020.68377 16.278
"356" 4520.56116 16.344
"16" 2244.82327 16.397
"270" 3979.90767 16.403
"30" 2290.76232 16.32
"135" 3012.73872 16.405
"107" 2939.75212 16.197
"298" 4084.69415 16.224
"116" 2972.84552 16.254
"65" 2628.60772 16.315
"207" 3406.57343 16.367
"255" 3764.68169 16.365
"36" 2302.67035 16.235
"311" 4176.54265 16.412
"17" 2249.69561 16.252
"226" 3671.74106 16.338
"82" 2671.6344 16.358
"5" 2200.82188 16.237
"314" 4355.83632 16.371
"128" 2998.61732 16.382
"342" 4469.65137 16.386
"49" 2544.80786 16.327
"193" 3325.71448 16.376
"73" 2650.61271 16.356
"155" 3059.55537 16.35
"286" 4045.86554 16.428
"338" 4456.68345 16.34
"241" 3721.63332 16.3
"51" 2559.71574 16.204
"260" 3781.63171 16.368
"80" 2665.72626 16.228
"176" 3238.87722 16.415
"42" 2337.55357 16.241
"59" 2607.72592 16.298
"261" 3785.60203 16.374
"320" 4379.79376 16.261
"159" 3069.54536 16.265
"47" 2526.88684 16.333
"179" 3262.87163 16.282
"111" 2955.78707 16.239
"150" 3049.57028 16.378
"119" 2979.79023 16.412
"129" 3000.63546 16.329
"230" 3689.74184 16.308
"181" 3276.83659 16.351
"27" 2281.71321 16.339
"167" 3092.53624 16.317
"245" 3736.65611 16.374
"106" 2932.87324 16.401
"142" 3028.67229 16.393
"273" 4001.81527 16.206
"39" 2322.5881 16.359
"259" 3778.61837 16.3
"294" 4069.61025 16.256
"350" 4498.60762 16.282
"237" 3707.69542 16.293
"154" 3057.55676 16.234
"46" 2519.90861 16.384
"147" 3043.57177 16.393
"329" 4420.84874 16.362
"203" 3390.77315 16.39
"304" 4121.63886 16.252
"253" 3758.65725 16.246
"118" 2977.73816 16.391
"40" 2325.59454 16.379
"149" 3047.56534 16.398
"319" 4376.78821 16.3
"11" 2232.69792 16.266
"21" 2262.68383 16.356
"308" 4147.57581 16.363
"92" 2705.53902 16.384
"89" 2690.57514 16.315
"177" 3246.909 16.275
"96" 2883.88413 16.361
"297" 4080.66455 16.337
"146" 3041.54231 16.312
"337" 4453.68067 16.409
"283" 4037.75268 16.227
"140" 3024.69775 16.219
"189" 3308.77855 16.398
"85" 2677.62418 16.237
"227" 3674.86315 16.256
"125" 2992.6635 16.354
"246" 3739.65947 16.261
"98" 2896.8238 16.417
"268" 3968.8407 16.249
"70" 2642.6613 16.269
"3" 2184.84118 16.257
"240" 3718.65016 16.366
"288" 4053.76917 16.192
"341" 4466.67019 16.276
"137" 3018.64277 16.312
"131" 3004.62302 16.21
"81" 2667.6568 16.356
"169" 3101.50113 16.32
"174" 3133.4946 16.377
"88" 2685.62151 16.38
"355" 4515.56905 16.256
"284" 4040.74767 16.406
"37" 2304.68639 16.289
"133" 3008.62309 16.335
"2" 2183.84165 16.26
"358" 4525.58524 16.333
"19" 2253.6816 16.239
"126" 2994.75981 16.365
"267" 3960.89653 16.399
"18" 2251.84136 16.27
"247" 3745.60525 16.328
