"a" "b"
"307" 4107.73484 15.735
"140" 3028.72796 15.692
"60" 2617.77068 15.648
"82" 2677.68909 15.744
"242" 3718.67563 15.727
"75" 2659.73228 15.776
"165" 3089.57754 15.637
"93" 2883.91014 15.781
"180" 3281.77534 15.792
"41" 2326.53 15.783
"105" 2942.75572 15.759
"39" 2317.57439 15.642
"25" 2273.79761 15.78
"347" 4474.70765 15.792
"241" 3715.64305 15.676
"298" 4069.63591 15.712
"275" 3981.75884 15.738
"225" 3656.86516 15.634
"214" 3444.54265 15.653
"14" 2240.7945 15.782
"288" 4042.7888 15.643
"243" 3722.62908 15.705
"340" 4450.73075 15.739
"270" 3818.52163 15.643
"337" 4439.69411 15.809
"81" 2675.68624 15.773
"191" 3321.67832 15.655
"80" 2673.6581 15.795
"90" 2712.52936 15.787
"47" 2542.789 15.795
"146" 3042.60518 15.646
"204" 3394.72 15.782
"43" 2337.57935 15.684
"297" 4067.64791 15.719
"193" 3329.77469 15.679
"346" 4471.6535 15.633
"213" 3434.61015 15.632
"154" 3057.58281 15.782
"40" 2322.62061 15.768
"139" 3026.69214 15.705
"176" 3262.89903 15.649
"29" 2281.73719 15.788
"259" 3761.72998 15.674
"120" 2981.82329 15.729
"170" 3111.49858 15.702
"244" 3725.72593 15.748
"96" 2899.82709 15.776
"84" 2681.70039 15.716
"261" 3769.70535 15.658
"160" 3075.57267 15.668
"33" 2293.67398 15.757
"107" 2949.75981 15.715
"199" 3359.69299 15.792
"327" 4383.82396 15.657
"319" 4355.86132 15.797
"250" 3740.60622 15.635
"164" 3087.52021 15.63
"198" 3355.68782 15.799
"5" 2211.82254 15.725
"295" 4060.66197 15.686
"223" 3646.89063 15.674
"119" 2979.81624 15.736
"153" 3056.53639 15.634
"95" 2894.82625 15.65
"329" 4392.78877 15.809
"37" 2301.6538 15.683
"70" 2644.68642 15.698
"248" 3736.6816 15.644
"8" 2226.7445 15.74
"312" 4131.55243 15.762
"345" 4467.66474 15.655
"293" 4055.74377 15.783
"79" 2671.66573 15.791
"92" 2870.91063 15.672
"344" 4464.65434 15.785
"231" 3686.85215 15.758
"279" 4004.81094 15.803
"175" 3247.85205 15.688
"292" 4053.79399 15.776
"189" 3310.8363 15.789
"363" 4540.5648 15.75
"136" 3018.66801 15.772
"246" 3731.70066 15.76
"294" 4057.72267 15.757
"289" 4046.66359 15.646
"83" 2679.71145 15.736
"194" 3334.67001 15.713
"6" 2217.74941 15.71
"145" 3040.67014 15.651
"209" 3409.54246 15.671
"132" 3006.69798 15.784
"208" 3404.56337 15.789
"190" 3314.76347 15.773
"148" 3046.56302 15.639
"169" 3108.52059 15.725
"34" 2295.69352 15.73
"174" 3229.91862 15.636
"53" 2577.80818 15.8
"86" 2690.60083 15.749
"155" 3058.52933 15.652
"131" 3004.64841 15.768
"147" 3044.54726 15.66
"322" 4366.82892 15.709
"350" 4484.66407 15.763
"149" 3048.54022 15.631
"280" 4007.7435 15.648
"126" 2994.78522 15.741
"128" 2998.6441 15.743
"64" 2628.82951 15.79
"234" 3695.76976 15.616
"76" 2661.78002 15.793
"63" 2626.66377 15.799
"144" 3038.6448 15.658
"141" 3030.73299 15.682
"150" 3050.54136 15.627
"206" 3399.63683 15.637
"257" 3756.75847 15.7
"352" 4491.701 15.74
"353" 4494.65167 15.69
"59" 2613.68001 15.663
"179" 3276.82527 15.648
"328" 4388.76363 15.799
"117" 2977.76429 15.768
"100" 2921.84452 15.647
"185" 3298.82276 15.755
"159" 3072.61768 15.715
"351" 4487.72686 15.717
"30" 2283.76548 15.784
"85" 2685.64694 15.704
"45" 2397.50972 15.617
"232" 3689.77003 15.648
"104" 2939.77761 15.673
"349" 4481.7505 15.684
"106" 2946.77614 15.72
"167" 3102.50342 15.765
"195" 3338.72268 15.674
"226" 3660.75102 15.634
"181" 3283.87515 15.766
"130" 3002.64663 15.762
"348" 4478.72134 15.784
"142" 3033.65505 15.726
"273" 3968.86573 15.648
"233" 3692.69048 15.773
"323" 4370.77423 15.722
"192" 3325.74009 15.662
"133" 3010.66882 15.793
"9" 2228.78811 15.754
"264" 3778.64374 15.793
"253" 3748.63198 15.638
"310" 4124.66632 15.632
"255" 3752.62036 15.706
"22" 2261.6182 15.701
"286" 4037.77764 15.781
"330" 4397.79926 15.672
"361" 4533.54535 15.706
"163" 3084.55561 15.749
"203" 3389.67436 15.649
"207" 3402.63521 15.785
"46" 2520.88722 15.705
"69" 2642.68807 15.729
