"a" "b"
"128" 2990.74641 14.006
"220" 3585.91722 14.119
"217" 3434.60665 13.794
"339" 4435.82493 14.115
"31" 2281.73388 13.847
"163" 3072.61411 14.08
"22" 2256.71479 14.028
"9" 2217.7461 13.716
"241" 3700.74783 14.23
"96" 2733.49583 13.721
"304" 4080.68587 13.831
"190" 3298.81925 14.223
"62" 2599.79487 14.239
"209" 3394.71647 14.192
"275" 3937.92069 14.053
"323" 4361.81859 13.896
"212" 3402.63169 14.131
"162" 3069.56723 14.011
"145" 3030.72948 13.725
"269" 3781.68602 13.707
"334" 4402.87124 13.764
"263" 3761.7265 14.201
"365" 4537.53757 14.025
"156" 3054.5336 14.196
"24" 2261.6149 13.732
"228" 3646.88713 14.105
"286" 4023.7544 14.203
"169" 3089.57396 14.19
"187" 3289.78538 14.22
"173" 3105.53866 14.13
"312" 4122.65126 13.725
"165" 3077.65254 13.982
"188" 3294.78296 13.787
"296" 4055.74034 13.875
"55" 2559.74171 13.822
"328" 4376.80983 13.769
"87" 2677.68573 14.185
"71" 2637.6738 13.756
"308" 4100.8549 14.045
"260" 3754.65496 13.962
"363" 4530.52017 14.197
"108" 2933.76825 13.741
"68" 2628.8262 13.734
"83" 2667.76686 14.048
"309" 4104.75871 13.764
"25" 2265.66482 14.034
"330" 4383.82052 13.977
"59" 2580.83402 14.115
"152" 3046.55951 14.031
"99" 2888.88764 14.132
"168" 3087.51573 14.074
"90" 2685.64339 14.092
"326" 4370.77077 13.953
"273" 3805.50548 14.219
"125" 2983.72041 14.195
"338" 4431.76849 13.928
"189" 3296.78863 14.049
"126" 2986.70303 13.718
"232" 3665.79705 14.225
"202" 3352.66307 13.95
"54" 2555.85405 14.227
"196" 3321.67483 13.866
"159" 3058.52579 13.809
"301" 4069.63251 13.807
"249" 3725.72248 14.103
"2" 2171.90436 14.197
"180" 3247.8485 13.948
"229" 3653.8058 13.874
"97" 2870.90702 14.203
"88" 2679.70813 13.984
"324" 4364.80302 14.222
"278" 3974.83581 13.781
"281" 3995.78614 14.026
"292" 4046.66017 13.81
"195" 3314.75997 14.084
"157" 3056.53289 13.709
"120" 2973.83737 14.057
"57" 2571.86775 14.082
"36" 2295.69022 13.774
"302" 4072.66979 13.813
"40" 2303.64735 14.071
"361" 4520.59327 14.069
"242" 3702.83546 13.729
"103" 2910.84275 13.835
"234" 3675.77798 14.026
"288" 4028.80335 13.806
"37" 2297.68833 13.811
"270" 3785.62388 14.001
"161" 3067.58212 13.801
"82" 2665.74672 13.801
"300" 4067.64451 14.223
"130" 2994.78175 13.776
"287" 4026.66748 13.712
"144" 3028.72444 14.119
"121" 2975.77284 14.218
"81" 2663.70769 13.749
"177" 3125.48359 13.941
"276" 3961.87947 14.133
"245" 3712.82188 13.772
"344" 4453.70388 13.979
"98" 2883.90656 13.799
"293" 4048.74868 14.09
"210" 3396.59587 13.861
"359" 4507.62491 13.745
"258" 3748.62852 13.81
"239" 3695.7663 13.826
"122" 2977.76078 13.706
"179" 3229.91503 14.075
"139" 3016.67953 13.993
"331" 4388.76021 14.013
"332" 4392.78531 13.881
"21" 2253.70751 13.806
"118" 2966.72263 14.212
"91" 2690.5973 13.81
"336" 4416.85356 14.217
"341" 4442.75828 14.17
"252" 3734.69009 14.128
"261" 3756.75498 13.798
"306" 4087.74266 13.735
"186" 3283.87163 13.733
"49" 2520.8836 14.216
"340" 4439.69068 13.808
"223" 3617.85829 13.805
"279" 3981.75537 13.998
"8" 2211.81922 13.857
"117" 2963.78324 13.952
"266" 3772.66992 13.76
"149" 3040.66662 13.813
"51" 2542.78564 13.8
"30" 2279.74669 13.785
"3" 2183.86379 13.814
"268" 3778.64026 14.161
"166" 3081.64386 13.995
"160" 3060.54552 14.011
"282" 3999.81905 13.774
"215" 3414.53433 13.725
"183" 3273.77614 14.033
"20" 2251.811 13.862
"247" 3718.67218 14.2
"197" 3325.7366 14.163
"185" 3281.77183 14.19
"167" 3084.55204 13.795
"226" 3638.7695 14.161
"354" 4487.72342 14.203
"191" 3303.79109 13.799
"271" 3790.59261 13.717
"84" 2671.66241 13.745
"113" 2952.74949 13.8
"342" 4448.71699 13.828
"277" 3968.86224 13.975
"184" 3276.82173 13.81
"208" 3389.67085 13.784
"124" 2979.81276 13.795
"77" 2655.64214 13.799
"47" 2366.51086 13.724
"311" 4117.65952 14.003
"131" 2996.65775 13.813
"112" 2949.75627 14.192
"135" 3004.64493 13.745
"280" 3987.87932 14.102
"102" 2905.81286 14.214
"307" 4092.79849 14.127
"198" 3329.7712 13.786
"322" 4355.85785 14.211
"133" 3000.65739 14.136
"33" 2289.68592 13.791
"38" 2299.68109 13.953
"204" 3359.68949 14.205
"274" 3818.51809 13.819
"137" 3008.65369 14.078
"70" 2634.64758 14.215
"298" 4060.65857 13.914
"26" 2271.64127 13.816
"201" 3349.69632 14.083
"34" 2291.69473 14.016
"353" 4484.66065 14.002
"104" 2915.83862 13.916
"203" 3355.68434 13.8
"14" 2234.71152 13.743
"250" 3728.62599 13.888
"256" 3743.59895 14.158
"178" 3134.484 13.838
"325" 4366.82545 13.773
"347" 4464.65092 13.809
"248" 3722.62561 13.799
"225" 3633.81595 13.745
"224" 3629.76872 14.126
"348" 4467.66129 14.033
"264" 3765.59205 13.809
"61" 2594.75341 13.833
"23" 2258.82263 14.214
"297" 4057.71926 14.114
"192" 3306.78373 14.172
"310" 4107.73143 13.814
"115" 2957.74149 14.209
"314" 4126.69604 14.024
"221" 3590.93821 13.824
"39" 2301.6505 14.153
"254" 3738.63125 13.737
"56" 2563.81307 14.159
"289" 4037.77421 13.796
"255" 3740.60161 13.795
"1" 2165.88307 13.769
"175" 3111.49499 13.79
"32" 2283.76216 14.096
"176" 3114.48642 14.16
"345" 4457.67347 13.85
"105" 2921.841 14.112
"80" 2661.77671 14.107
"79" 2659.72898 14.122
"142" 3024.71955 13.882
"351" 4478.71793 14.223
"50" 2535.91485 13.991
"155" 3052.53217 14.07
"67" 2626.66027 14.155
"211" 3399.63333 13.794
"28" 2275.7322 14.173
"48" 2397.50605 14.12
"356" 4494.64825 14.102
"150" 3042.60165 13.963
"75" 2650.66648 14.086
"129" 2992.68676 14.206
"158" 3057.57927 13.79
"240" 3698.71322 14.039
"238" 3692.68699 14.178
"299" 4065.7061 14.04
"29" 2277.73574 13.966
"46" 2349.53545 13.774
"231" 3660.74753 13.825
"53" 2551.82999 13.802
"216" 3418.62706 13.993
