"a" "b"
"312" 4126.69946 15.219
"66" 2631.63029 14.837
"264" 3775.64475 15.347
"343" 4457.6769 15.354
"121" 2981.82329 15.283
"311" 4124.66632 15.44
"227" 3660.75102 15.352
"84" 2679.71145 15.195
"150" 3048.54022 14.974
"96" 2894.82625 15.129
"337" 4435.82833 15.303
"304" 4087.74605 15.315
"86" 2685.64694 14.864
"218" 3592.91366 15.419
"205" 3394.72 15.311
"358" 4509.62212 14.944
"91" 2712.52936 15.3
"320" 4355.86132 15.085
"238" 3702.83893 15.171
"328" 4383.82396 14.882
"344" 4459.65618 15.019
"162" 3077.6561 15.069
"206" 3396.5994 14.902
"146" 3040.67014 15.162
"196" 3338.72268 15.047
"199" 3355.68782 15.382
"226" 3656.86516 15.307
"34" 2295.69352 15.228
"156" 3058.52933 15.324
"67" 2634.65088 15.454
"316" 4164.56365 14.908
"216" 3452.50409 15.357
"154" 3056.53639 15.156
"16" 2244.84707 15.093
"341" 4450.73075 15.396
"268" 3790.59609 15.454
"222" 3638.77299 15.282
"1" 2183.86737 15.088
"172" 3114.49002 15.265
"101" 2921.84452 15.463
"114" 2966.72612 15.148
"74" 2655.64544 15.4
"53" 2571.87105 15.16
"113" 2963.78675 15.294
"277" 3987.8828 15.426
"257" 3754.65844 15.457
"224" 3646.89063 15.436
"364" 4540.5648 15.411
"323" 4366.82892 15.143
"265" 3778.64374 15.259
"333" 4410.83352 15.322
"280" 4004.81094 15.253
"334" 4416.85701 15.087
"173" 3125.48718 15.305
"225" 3653.8093 15.401
"288" 4040.77341 15.273
"321" 4361.82208 15.234
"22" 2261.6182 15.085
"120" 2979.81624 14.865
"148" 3044.54726 14.862
"191" 3314.76347 15.101
"51" 2559.7453 14.861
"55" 2580.83732 15.445
"275" 3974.83929 14.979
"261" 3765.59675 15.448
"161" 3075.57267 15.361
"201" 3369.69294 15.312
"147" 3042.60518 15.26
"99" 2910.84628 15.43
"79" 2667.77018 14.898
"286" 4031.69763 14.941
"362" 4533.54535 15.437
"48" 2544.83354 15.455
"353" 4491.701 14.936
"282" 4016.85451 15.456
"128" 2996.66126 15.378
"318" 4345.87927 15.254
"212" 3421.58645 14.85
"357" 4507.62821 15.312
"269" 3797.57638 15.423
"138" 3022.77476 15.045
"70" 2642.68807 14.907
"295" 4057.72267 15.051
"242" 3715.64305 15.146
"253" 3746.60365 15.303
"281" 4007.7435 15.129
"326" 4376.8133 14.947
"155" 3057.58281 15.356
"197" 3349.69981 14.845
"27" 2277.73906 15.22
"285" 4028.8068 15.008
"164" 3084.55561 15.013
"3" 2191.84049 15.272
"236" 3698.72205 15.062
