"a" "b"
"215" 3414.52348 16.174
"142" 3026.67791 16.15
"244" 3702.82483 16.147
"280" 3968.85148 16.15
"284" 3995.77542 16.169
"208" 3389.65995 16.143
"296" 4048.73808 16.153
"188" 3294.77194 16.127
"197" 3321.6639 16.122
"151" 3048.52588 16.15
"153" 3052.52139 16.16
"186" 3283.86063 16.11
"199" 3329.7603 16.168
"147" 3040.65584 16.152
"122" 2981.80907 16.131
"218" 3434.59573 16.158
"8" 2226.73132 16.154
"255" 3734.67945 16.164
"192" 3303.77308 16.167
"159" 3062.52843 16.145
"61" 2613.66581 16.115
"92" 2705.55029 16.171
"327" 4364.79232 16.129
"46" 2519.92055 16.154
"325" 4355.84708 16.106
"332" 4379.80475 16.16
"367" 4530.50946 16.127
"90" 2695.52423 16.18
"134" 3006.68378 16.122
"230" 3646.8668 16.102
"83" 2673.64484 16.163
"212" 3402.62075 16.151
"162" 3075.55564 16.131
"45" 2397.49488 16.171
"96" 2883.89562 16.153
"245" 3705.73165 16.131
"116" 2969.66077 16.134
"47" 2535.90379 16.162
"221" 3570.93987 16.177
"251" 3722.61494 16.138
"315" 4122.64071 16.166
"33" 2295.68026 16.132
"117" 2973.82669 16.131
"340" 4420.85993 16.152
"18" 2251.80113 16.115
"344" 4439.68014 16.111
"128" 2994.77106 16.15
"111" 2952.73745 16.144
"137" 3016.66881 16.134
"77" 2659.71496 16.144
"76" 2657.69463 16.171
"311" 4100.84434 16.162
"366" 4523.51401 16.151
"29" 2281.72399 16.114
"222" 3585.89965 16.159
"158" 3060.5347 16.114
"326" 4361.80788 16.125
"279" 3961.86872 16.11
"277" 3817.52497 16.132
"291" 4030.87005 16.147
"347" 4450.71682 16.105
"200" 3334.6556 16.164
"86" 2679.69819 16.167
"282" 3981.74465 16.151
"286" 4004.7968 16.123
"243" 3700.73715 16.148
"369" 4537.52688 16.155
"146" 3035.64697 16.159
"66" 2628.81632 16.106
"102" 2915.8278 16.136
"9" 2228.77493 16.127
"81" 2667.75168 16.186
"145" 3033.64083 16.112
"112" 2955.80314 16.146
"333" 4383.8099 16.149
"249" 3718.66151 16.154
"190" 3298.80824 16.156
"262" 3750.59084 16.16
"100" 2905.80201 16.136
"75" 2655.62839 16.129
"334" 4388.74958 16.144
"281" 3974.82351 16.172
"298" 4053.78005 16.162
"59" 2599.7785 16.168
"25" 2273.78444 16.144
"225" 3617.84731 16.159
"170" 3105.52755 16.187
"335" 4392.77473 16.107
"361" 4499.5834 16.115
"141" 3024.70883 16.144
"350" 4459.6422 16.127
"368" 4533.53117 16.156
"133" 3004.63428 16.163
"55" 2577.79495 16.145
"171" 3108.50589 16.113
"283" 3987.8686 16.117
"101" 2910.8319 16.14
"87" 2681.68609 16.123
"15" 2242.7832 16.149
"174" 3125.47239 16.162
"253" 3728.61534 16.134
"73" 2650.65258 16.123
"287" 4007.72938 16.155
"187" 3289.77442 16.117
"227" 3633.79765 16.158
"272" 3778.62946 16.108
"353" 4471.63951 16.104
"114" 2961.70557 16.145
"54" 2571.85784 16.126
"152" 3050.52712 16.111
"169" 3102.48716 16.119
"39" 2322.60598 16.154
"229" 3641.797 16.1
"211" 3399.6224 16.15
"234" 3665.78629 16.136
"320" 4153.57093 16.146
"348" 4453.69332 16.136
"79" 2663.69365 16.198
"204" 3355.67342 16.162
"268" 3765.58128 16.151
"38" 2317.5611 16.151
"195" 3310.82188 16.109
"7" 2223.75614 16.135
