"a" "b"
"326" 4376.8133 15.196
"222" 3638.77299 15.297
"122" 2983.72392 15.173
"18" 2251.8143 15.251
"242" 3715.64305 15.274
"120" 2979.81624 15.179
"19" 2253.71079 15.182
"141" 3028.72796 15.286
"35" 2297.69165 15.303
"225" 3653.8093 15.204
"275" 3974.83929 15.219
"17" 2249.71942 15.279
"195" 3334.67001 15.127
"46" 2520.88722 15.288
"59" 2607.75562 15.241
"51" 2559.7453 15.296
"234" 3692.69048 15.24
"167" 3098.56499 15.243
"218" 3592.91366 15.294
"248" 3734.69356 15.233
"170" 3108.52059 15.266
"163" 3081.64806 15.157
"230" 3675.78145 15.148
"95" 2888.8912 15.196
"71" 2644.68642 15.136
"306" 4100.85831 15.293
"100" 2915.84215 15.144
"58" 2599.79845 15.202
"85" 2681.70039 15.176
"57" 2594.757 15.137
"124" 2988.67374 15.146
"330" 4392.78877 15.175
"216" 3452.50409 15.208
"342" 4453.70729 15.295
"199" 3355.68782 15.22
"117" 2975.77635 15.277
"4" 2200.84704 15.129
"191" 3314.76347 15.226
"159" 3069.57082 15.308
"312" 4126.69946 15.137
"208" 3402.63521 15.161
"33" 2293.67398 15.22
"232" 3686.85215 15.236
"220" 3629.77224 15.297
"325" 4373.77417 15.309
"251" 3740.60622 15.26
"324" 4370.77423 15.173
"69" 2640.7254 15.18
"9" 2228.78811 15.203
"250" 3738.6347 15.301
"143" 3033.65505 15.192
"15" 2242.80104 15.268
"353" 4491.701 15.238
"74" 2655.64544 15.225
"299" 4069.63591 15.164
"214" 3434.61015 15.145
"301" 4077.7055 15.283
"308" 4107.73484 15.29
"239" 3705.74579 15.139
"295" 4057.72267 15.291
"54" 2577.80818 15.307
"7" 2223.76933 15.134
"77" 2661.78002 15.282
"282" 4016.85451 15.266
"262" 3769.70535 15.174
"136" 3016.68303 15.251
"39" 2317.57439 15.203
"335" 4425.71358 15.221
"183" 3289.78889 15.246
"90" 2705.56474 15.262
"165" 3087.52021 15.29
"215" 3444.54265 15.246
"266" 3781.68949 15.268
"70" 2642.68807 15.133
"61" 2617.77068 15.154
"116" 2973.84088 15.295
"305" 4092.80189 15.145
"148" 3044.54726 15.302
"331" 4397.79926 15.138
"279" 3999.82253 15.198
"48" 2544.83354 15.152
"99" 2910.84628 15.167
"362" 4533.54535 15.279
"337" 4435.82833 15.235
"343" 4457.6769 15.25
"316" 4164.56365 15.302
"47" 2542.789 15.182
"118" 2977.76429 15.224
"323" 4366.82892 15.296
"238" 3702.83893 15.215
"315" 4153.58509 15.225
