"a" "b"
"2" 2171.90436 15.547
"112" 2949.75627 15.574
"22" 2256.71479 15.492
"173" 3105.53866 15.423
"61" 2594.75341 15.5
"8" 2211.81922 15.57
"19" 2249.71613 15.593
"77" 2655.64214 15.517
"231" 3660.74753 15.525
"192" 3306.78373 15.43
"197" 3325.7366 15.574
"72" 2640.71467 15.584
"25" 2265.66482 15.456
"178" 3134.484 15.437
"110" 2942.75219 15.518
"130" 2994.78175 15.447
"317" 4153.58164 15.551
"18" 2244.84381 15.55
"124" 2979.81276 15.423
"294" 4051.73926 15.528
"90" 2685.64339 15.422
"334" 4402.87124 15.502
"68" 2628.8262 15.472
"73" 2642.68456 15.57
"157" 3056.53289 15.467
"302" 4072.66979 15.476
"23" 2258.82263 15.523
"107" 2929.8214 15.565
"70" 2634.64758 15.444
"338" 4431.76849 15.538
"91" 2690.5973 15.461
"228" 3646.88713 15.43
"254" 3738.63125 15.606
"183" 3273.77614 15.453
"295" 4053.7906 15.491
"6" 2191.83693 15.556
"311" 4117.65952 15.475
"35" 2293.67066 15.569
"49" 2520.8836 15.516
"80" 2661.77671 15.435
"44" 2331.55692 15.573
"322" 4355.85785 15.421
"320" 4345.87577 15.579
"256" 3743.59895 15.471
"67" 2626.66027 15.481
"210" 3396.59587 15.531
"46" 2349.53545 15.486
"58" 2577.80488 15.44
"147" 3035.65768 15.519
"364" 4533.54188 15.572
"315" 4131.549 15.573
"299" 4065.7061 15.592
"156" 3054.5336 15.43
"101" 2899.82353 15.445
"267" 3775.64121 15.515
"97" 2870.90702 15.485
"143" 3026.68862 15.496
"363" 4530.52017 15.426
"189" 3296.78863 15.584
"20" 2251.811 15.591
"69" 2631.62701 15.577
"190" 3298.81925 15.565
"175" 3111.49499 15.562
"1" 2165.88307 15.576
"148" 3038.64128 15.546
"339" 4435.82493 15.475
"361" 4520.59327 15.593
"255" 3740.60161 15.581
"283" 4004.80749 15.422
"118" 2966.72263 15.455
"96" 2733.49583 15.589
"349" 4471.65005 15.545
"281" 3995.78614 15.432
"15" 2238.66284 15.578
"79" 2659.72898 15.463
"171" 3098.5614 15.456
"229" 3653.8058 15.469
"131" 2996.65775 15.546
"261" 3756.75498 15.51
"323" 4361.81859 15.551
"362" 4523.52465 15.437
"100" 2894.82269 15.579
"55" 2559.74171 15.419
"47" 2366.51086 15.549
"160" 3060.54552 15.579
"145" 3030.72948 15.437
"268" 3778.64026 15.576
"360" 4509.61883 15.579
"279" 3981.75537 15.598
"341" 4442.75828 15.525
"218" 3444.53911 15.568
"195" 3314.75997 15.565
"359" 4507.62491 15.546
"318" 4164.56015 15.545
"300" 4067.64451 15.59
"74" 2644.68291 15.53
"193" 3308.80043 15.428
"226" 3638.7695 15.551
"33" 2289.68592 15.527
"66" 2623.68112 15.438
"327" 4373.77073 15.438
"109" 2939.77408 15.424
"238" 3692.68699 15.507
"128" 2990.74641 15.426
"301" 4069.63251 15.565
"102" 2905.81286 15.582
"191" 3303.79109 15.542
"354" 4487.72342 15.558
"13" 2232.71835 15.446
"264" 3765.59205 15.495
"336" 4416.85356 15.597
"164" 3075.56912 15.554
"134" 3002.64312 15.54
"290" 4040.76999 15.543
"347" 4464.65092 15.495
"169" 3089.57396 15.512
"282" 3999.81905 15.463
"140" 3018.67695 15.562
"278" 3974.83581 15.602
"174" 3108.51702 15.515
"123" 2977.78679 15.45
"239" 3695.7663 15.469
"172" 3102.49984 15.586
"277" 3968.86224 15.482
"9" 2217.7461 15.459
"111" 2946.77262 15.442
"86" 2675.68293 15.542
"93" 2699.58738 15.486
"308" 4100.8549 15.589
"350" 4474.70422 15.481
"251" 3731.6972 15.564
"153" 3048.53668 15.459
"307" 4092.79849 15.445
"27" 2273.79432 15.583
"62" 2599.79487 15.434
"287" 4026.66748 15.412
"184" 3276.82173 15.591
"21" 2253.70751 15.54
"98" 2883.90656 15.561
"356" 4494.64825 15.46
"38" 2299.68109 15.472
"200" 3338.71917 15.592
"357" 4499.59325 15.42
"5" 2189.81005 15.588
"205" 3369.68942 15.596
"216" 3418.62706 15.548
"56" 2563.81307 15.493
"207" 3381.78133 15.422
"206" 3377.67582 15.476
"186" 3283.87163 15.55
"309" 4104.75871 15.522
"64" 2617.76718 15.453
"104" 2915.83862 15.452
"57" 2571.86775 15.559
"335" 4410.8301 15.436
"17" 2242.79309 15.57
"353" 4484.66065 15.507
"31" 2281.73388 15.429
"37" 2297.68833 15.525
"209" 3394.71647 15.444
"348" 4467.66129 15.583
"155" 3052.53217 15.409
"177" 3125.48359 15.42
"137" 3008.65369 15.456
"132" 2998.64063 15.594
"113" 2952.74949 15.463
"82" 2665.74672 15.421
"328" 4376.80983 15.579
"121" 2975.77284 15.494
"115" 2957.74149 15.442
"271" 3790.59261 15.447
"237" 3689.76654 15.573
"233" 3671.76294 15.532
"306" 4087.74266 15.604
"296" 4055.74034 15.448
"59" 2580.83402 15.577
"146" 3033.65156 15.546
"125" 2983.72041 15.459
"313" 4124.66289 15.532
"222" 3592.91011 15.588
"87" 2677.68573 15.502
"28" 2275.7322 15.551
"330" 4383.82052 15.586
"133" 3000.65739 15.594
"24" 2261.6149 15.416
"117" 2963.78324 15.453
"168" 3087.51573 15.466
"53" 2551.82999 15.527
"198" 3329.7712 15.574
"275" 3937.92069 15.484
"257" 3746.60019 15.476
"260" 3754.65496 15.481
"180" 3247.8485 15.555
"150" 3042.60165 15.569
"235" 3683.801 15.521
"14" 2234.71152 15.474
"249" 3725.72248 15.531
"88" 2679.70813 15.489
"225" 3633.81595 15.454
"52" 2544.82994 15.466
"319" 4178.51343 15.551
"10" 2223.76604 15.448
"144" 3028.72444 15.47
"324" 4364.80302 15.418
"11" 2226.7412 15.467
"246" 3715.63956 15.458
"161" 3067.58212 15.467
"114" 2955.81384 15.476
"202" 3352.66307 15.445
"3" 2183.86379 15.485
"365" 4537.53757 15.489
"26" 2271.64127 15.592
"139" 3016.67953 15.494
"331" 4388.76021 15.432
"342" 4448.71699 15.413
"217" 3434.60665 15.414
"272" 3797.57286 15.497
"248" 3722.62561 15.516
"43" 2326.52638 15.537
"325" 4366.82545 15.403
"243" 3705.7423 15.57
"40" 2303.64735 15.409
"95" 2712.5258 15.443
"138" 3010.66531 15.421
"4" 2184.86575 15.495
"149" 3040.66662 15.568
"170" 3092.55928 15.462
"182" 3268.81707 15.436
"224" 3629.76872 15.513
"50" 2535.91485 15.45
"60" 2589.73419 15.578
"29" 2277.73574 15.504
"136" 3006.69447 15.484
"345" 4457.67347 15.424
"75" 2650.66648 15.446
"211" 3399.63333 15.447
"258" 3748.62852 15.445
"129" 2992.68676 15.428
"84" 2671.66241 15.576
"83" 2667.76686 15.446
"269" 3781.68602 15.44
"230" 3656.86165 15.603
"219" 3452.50058 15.428
"244" 3707.71837 15.599
"263" 3761.7265 15.423
"259" 3752.61683 15.44
"332" 4392.78531 15.545
"106" 2925.78433 15.58
"321" 4350.88642 15.514
"48" 2397.50605 15.578
"89" 2681.69688 15.463
"262" 3758.68025 15.594
"163" 3072.61411 15.433
"188" 3294.78296 15.588
"329" 4379.81544 15.46
"176" 3114.48642 15.43
"213" 3404.55984 15.531
"166" 3081.64386 15.453
"141" 3022.77127 15.585
"120" 2973.83737 15.537
"78" 2657.70454 15.492
"236" 3686.84871 15.448
"291" 4042.78538 15.499
"187" 3289.78538 15.541
"298" 4060.65857 15.547
"162" 3069.56723 15.526
"270" 3785.62388 15.466
"199" 3334.66651 15.558
"280" 3987.87932 15.539
"85" 2673.65478 15.574
"247" 3718.67218 15.592
"314" 4126.69604 15.513
"344" 4453.70388 15.511
"221" 3590.93821 15.561
"108" 2933.76825 15.477
"337" 4425.71016 15.592
"30" 2279.74669 15.467
"288" 4028.80335 15.42
"151" 3044.54374 15.54
"12" 2230.6978 15.42
"310" 4107.73143 15.573
"227" 3641.80787 15.537
"122" 2977.76078 15.449
"103" 2910.84275 15.441
"240" 3698.71322 15.581
"343" 4450.72732 15.428
"273" 3805.50548 15.47
"105" 2921.841 15.451
"346" 4459.65277 15.417
"142" 3024.71955 15.538
"303" 4077.70208 15.435
"214" 3409.53898 15.597
"99" 2888.88764 15.428
"152" 3046.55951 15.514
"250" 3728.62599 15.417
"16" 2240.7912 15.582
"135" 3004.64493 15.5
"208" 3389.67085 15.598
"241" 3700.74783 15.553
"51" 2542.78564 15.495
"242" 3702.83546 15.543
"266" 3772.66992 15.423
"220" 3585.91722 15.567
"340" 4439.69068 15.431
"204" 3359.68949 15.421
"252" 3734.69009 15.483
"165" 3077.65254 15.542
"286" 4023.7544 15.583
"71" 2637.6738 15.474
"358" 4502.62537 15.565
"232" 3665.79705 15.601
"126" 2986.70303 15.475
"36" 2295.69022 15.567
"253" 3736.67815 15.57
"201" 3349.69632 15.568
"292" 4046.66017 15.42
"185" 3281.77183 15.515
"304" 4080.68587 15.575
"63" 2613.67654 15.52
"293" 4048.74868 15.428
"265" 3769.70186 15.585
"34" 2291.69473 15.587
"351" 4478.71793 15.588
"196" 3321.67483 15.472
"81" 2663.70769 15.401
"355" 4491.69755 15.58
"159" 3058.52579 15.548
"32" 2283.76216 15.427
"92" 2695.53506 15.543
"326" 4370.77077 15.523
"127" 2988.67024 15.437
"181" 3262.89546 15.474
"245" 3712.82188 15.441
"158" 3057.57927 15.488
"333" 4397.79578 15.418
"215" 3414.53433 15.451
"39" 2301.6505 15.435
"94" 2705.56117 15.432
"366" 4540.56133 15.594
"42" 2322.61702 15.591
"65" 2620.70651 15.566
"285" 4016.85108 15.586
"289" 4037.77421 15.424
"194" 3310.83278 15.425
"76" 2652.65181 15.424
"274" 3818.51809 15.544
"154" 3050.53785 15.417
"54" 2555.85405 15.456
"352" 4481.74708 15.403
"305" 4084.71577 15.491
"45" 2337.57569 15.533
"203" 3355.68434 15.477
"316" 4149.64089 15.591
"276" 3961.87947 15.592
"312" 4122.65126 15.552
"179" 3229.91503 15.501
"116" 2961.72419 15.442
"167" 3084.55204 15.567
"234" 3675.77798 15.448
"284" 4007.74004 15.558
