"a" "b"
"357" 4482.67837 15.348
"42" 2330.55831 15.337
"343" 4431.73319 15.169
"175" 3104.48344 15.256
"118" 2963.6881 15.346
"222" 3429.54909 15.452
"167" 3077.58933 15.102
"26" 2276.62339 15.511
"116" 2957.68044 15.348
"230" 3621.89571 15.654
"206" 3349.63501 15.415
"132" 2999.62313 15.692
"133" 3001.60107 15.545
"291" 4025.83294 15.551
"340" 4420.81024 15.252
"345" 4438.82708 15.718
"130" 2994.72062 15.742
"151" 3040.57448 15.226
"117" 2960.70137 15.202
"32" 2292.69442 15.145
"160" 3059.51548 15.363
"54" 2562.87808 15.574
"149" 3034.82133 15.364
"180" 3132.47745 15.665
"262" 3752.57167 15.734
"187" 3272.87009 15.533
"243" 3692.62446 15.372
"81" 2665.64527 15.307
"20" 2253.63852 15.425
"329" 4376.74951 15.494
"87" 2677.58677 15.659
"166" 3074.68825 15.496
"113" 2949.69463 15.367
"185" 3254.85742 15.665
"279" 3960.85732 15.157
"99" 2884.81864 15.603
"165" 3069.50448 15.101
"147" 3030.66805 15.492
"231" 3628.87519 15.39
"59" 2593.80165 15.293
"156" 3051.52228 15.354
"347" 4444.64371 15.589
"109" 2927.88586 15.714
"257" 3739.59153 15.736
"245" 3697.7221 15.274
"119" 2966.65362 15.446
"322" 4310.93805 15.666
"39" 2315.55867 15.612
"163" 3064.51306 15.233
"359" 4487.65705 15.197
"1" 2162.87556 15.292
"103" 2903.85039 15.708
"350" 4456.64483 15.532
"234" 3646.80689 15.091
"131" 2997.60356 15.274
"237" 3661.73259 15.642
"19" 2251.85191 15.631
"182" 3238.8527 15.652
"196" 3303.72115 15.114
"111" 2943.68485 15.684
"341" 4424.82992 15.548
"227" 3592.87351 15.697
"318" 4144.53199 15.217
"129" 2992.61221 15.198
"255" 3731.60631 15.726
"272" 3781.59021 15.678
"11" 2228.72752 15.534
"21" 2256.64702 15.514
"217" 3403.59936 15.606
"66" 2626.59684 15.555
"252" 3720.63819 15.738
"67" 2629.59347 15.636
"75" 2651.68531 15.571
"23" 2262.64674 15.668
"53" 2558.86185 15.107
"128" 2990.79015 15.497
"8" 2216.84299 15.534
"134" 3003.63005 15.355
"244" 3695.68994 15.497
"73" 2644.61362 15.397
"286" 4004.74742 15.606
"193" 3296.67685 15.494
"360" 4492.71906 15.101
"280" 3967.88676 15.678
"249" 3707.64672 15.738
"190" 3283.80875 15.609
"254" 3727.6047 15.487
"179" 3123.48129 15.42
"153" 3045.57141 15.089
"273" 3785.56276 15.298
"146" 3028.63279 15.631
"139" 3013.61755 15.117
"274" 3790.53158 15.124
"173" 3098.49049 15.737
"91" 2690.5286 15.591
"183" 3246.86973 15.661
"33" 2294.66496 15.7
"7" 2206.71887 15.659
"293" 4030.8146 15.472
"242" 3689.70286 15.253
"299" 4053.73076 15.175
"361" 4497.61002 15.772
"315" 4123.56176 15.346
"313" 4117.59921 15.138
"336" 4402.81106 15.322
"10" 2226.68378 15.3
"297" 4045.82485 15.089
"158" 3055.51692 15.693
"43" 2337.51009 15.765
"27" 2279.61788 15.146
"258" 3742.64215 15.105
"174" 3101.512 15.098
"317" 4129.66073 15.586
"49" 2540.84741 15.378
"276" 3804.50772 15.412
"90" 2685.57435 15.653
"5" 2188.85166 15.455
"22" 2259.64156 15.612
"137" 3009.60985 15.56
"83" 2669.65399 15.677
"266" 3762.60017 15.577
"17" 2244.78625 15.207
"170" 3086.52352 15.484
"51" 2550.88541 15.11
"358" 4485.66012 15.454
"256" 3736.61692 15.729
"301" 4060.59423 15.616
"246" 3700.68704 15.387
"72" 2642.62339 15.571
"287" 4008.70247 15.135
"219" 3410.55252 15.314
"319" 4153.51547 15.55
"275" 3796.57201 15.429
"278" 3934.93895 15.441
"148" 3032.77182 15.296
"143" 3022.67627 15.493
"162" 3061.51018 15.112
"97" 2872.88165 15.183
"348" 4450.65738 15.318
"208" 3356.62148 15.592
"105" 2910.77216 15.438
"207" 3353.62781 15.751
"308" 4084.6543 15.606
"82" 2667.61185 15.642
"38" 2304.63538 15.533
"368" 4523.539 15.619
"186" 3261.89035 15.441
"74" 2649.63646 15.274
"62" 2617.66923 15.263
"157" 3053.5148 15.144
"34" 2296.68388 15.542
"98" 2879.87271 15.677
"79" 2661.71773 15.668
"353" 4467.62596 15.603
"261" 3750.61703 15.119
"61" 2607.67978 15.488
"338" 4409.83046 15.769
"25" 2272.61263 15.518
"56" 2577.74712 15.252
"142" 3020.64427 15.635
"210" 3369.65336 15.762
"64" 2622.78852 15.16
"277" 3816.51282 15.767
"221" 3421.59788 15.458
"171" 3089.51086 15.572
"263" 3755.58351 15.7
"332" 4383.76011 15.114
"112" 2946.71158 15.764
"120" 2968.81661 15.254
"282" 3979.83171 15.32
"176" 3108.48048 15.647
"24" 2264.63043 15.502
"328" 4371.73022 15.578
"304" 4070.62801 15.456
"344" 4435.69816 15.601
"331" 4379.75528 15.587
"305" 4073.78733 15.577
"155" 3049.52872 15.558
"224" 3442.50967 15.328
"78" 2658.6983 15.609
"271" 3778.57919 15.595
"4" 2184.80107 15.514
"93" 2698.58811 15.594
"310" 4100.79137 15.648
"235" 3652.85864 15.392
"107" 2921.77804 15.543
"30" 2288.68644 15.535
"194" 3298.75721 15.299
"251" 3716.65543 15.393
"150" 3037.59891 15.091
"212" 3381.61283 15.431
"127" 2988.60222 15.629
"88" 2679.61224 15.529
"14" 2238.59811 15.642
"114" 2952.68619 15.179
"325" 4355.79743 15.58
"250" 3712.86172 15.765
"268" 3769.58268 15.278
"370" 4531.50823 15.607
"85" 2673.58935 15.299
"71" 2640.62517 15.724
"307" 4080.62264 15.203
"371" 4537.50204 15.776
"47" 2518.90949 15.086
"161" 3060.5091 15.637
"92" 2694.52092 15.108
"172" 3092.49347 15.639
"330" 4378.89683 15.328
"140" 3016.618 15.226
"351" 4458.62926 15.304
"46" 2403.48345 15.637
"302" 4065.61585 15.54
"57" 2580.77593 15.392
"198" 3308.73924 15.597
"292" 4028.74291 15.616
"215" 3398.60516 15.692
"13" 2232.66085 15.502
"306" 4077.64075 15.289
"77" 2656.71262 15.762
"96" 2730.50946 15.599
"202" 3328.82274 15.546
"284" 3994.86503 15.774
"369" 4525.51114 15.452
"101" 2893.8428 15.318
"195" 3300.81384 15.463
"213" 3386.62469 15.32
"145" 3026.62735 15.735
"337" 4406.76133 15.67
"365" 4509.56077 15.455
"295" 4040.70917 15.184
"152" 3042.55948 15.761
"264" 3758.58752 15.104
"270" 3775.57852 15.503
"199" 3310.77175 15.667
"229" 3614.86322 15.092
"136" 3007.61205 15.694
"48" 2526.83918 15.078
"169" 3083.58762 15.398
"209" 3360.63468 15.512
"124" 2979.75043 15.372
"102" 2897.80441 15.53
"349" 4453.64081 15.428
"324" 4349.88337 15.419
"45" 2370.50496 15.344
"232" 3639.75193 15.467
"298" 4048.68852 15.173
"108" 2924.8678 15.641
"290" 4021.82096 15.158
"204" 3336.691 15.52
"312" 4107.63374 15.374
"362" 4499.66077 15.618
"86" 2675.58892 15.642
"184" 3251.90053 15.6
"265" 3760.72295 15.769
"94" 2704.57064 15.75
"138" 3011.64204 15.362
"164" 3067.5202 15.361
"288" 4011.86565 15.367
"50" 2544.76754 15.702
"192" 3294.72844 15.653
"259" 3745.73085 15.325
"31" 2290.72435 15.362
"6" 2200.78375 15.523
"339" 4416.6977 15.512
"327" 4368.86673 15.523
"240" 3683.73986 15.713
"65" 2624.78318 15.754
"123" 2977.71336 15.562
"63" 2620.61279 15.364
"205" 3340.81221 15.146
"216" 3400.59064 15.524
"352" 4462.64393 15.675
"188" 3275.8689 15.608
"181" 3230.85382 15.641
"55" 2571.80847 15.702
"311" 4104.69613 15.251
"35" 2298.70546 15.364
"333" 4387.85507 15.606
"281" 3973.8822 15.316
"354" 4471.61434 15.149
"214" 3390.62765 15.688
"189" 3280.86847 15.54
"294" 4036.87343 15.64
"326" 4361.78326 15.73
"197" 3306.72263 15.284
"104" 2906.7991 15.773
"15" 2240.72462 15.527
"37" 2302.6307 15.679
"115" 2955.74789 15.351
"323" 4345.82232 15.728
"200" 3314.69297 15.281
"40" 2322.52912 15.315
"70" 2637.58555 15.645
"220" 3415.52844 15.173
"29" 2283.70094 15.606
"248" 3704.86285 15.783
"320" 4160.57553 15.264
"228" 3608.88036 15.736
"95" 2711.52578 15.514
"314" 4121.60017 15.58
"269" 3772.60558 15.401
"366" 4515.52658 15.606
"89" 2681.63469 15.308
"177" 3112.47579 15.276
"18" 2249.65455 15.758
"159" 3057.51295 15.551
"289" 4016.87424 15.243
"41" 2325.54958 15.44
"218" 3406.5289 15.661
"201" 3321.61355 15.735
"76" 2654.6376 15.114
"44" 2353.50022 15.767
"58" 2588.81251 15.404
"236" 3656.79723 15.731
"342" 4428.79792 15.235
"80" 2663.62137 15.504
"334" 4391.86076 15.181
"260" 3748.5912 15.399
"203" 3335.82676 15.228
"239" 3671.7019 15.471
"346" 4441.80121 15.762
"226" 3568.94315 15.713
"283" 3987.81238 15.327
"9" 2223.70766 15.114
"225" 3450.51148 15.342
"364" 4507.56319 15.616
"16" 2242.73553 15.321
"309" 4092.73108 15.657
"178" 3115.5025 15.42
"100" 2888.85135 15.174
"110" 2941.80965 15.118
"168" 3081.58056 15.593
"321" 4174.54855 15.498
"28" 2281.66526 15.765
"233" 3641.74584 15.212
"122" 2975.62227 15.683
"355" 4474.79845 15.392
"363" 4502.59169 15.689
"69" 2634.54769 15.546
"241" 3686.78594 15.114
"335" 4397.73246 15.413
"60" 2599.72154 15.5
"211" 3377.61433 15.756
"84" 2671.58113 15.505
"106" 2915.77621 15.338
"141" 3018.60313 15.77
"367" 4520.5154 15.541
"300" 4057.65932 15.548
"238" 3665.73599 15.248
"135" 3005.65942 15.111
"12" 2230.6391 15.649
"285" 4001.74473 15.515
"3" 2183.80152 15.136
"191" 3289.72176 15.734
"36" 2300.65711 15.194
"125" 2983.65811 15.704
"121" 2971.82394 15.397
"154" 3047.52321 15.704
"253" 3724.66986 15.4
"303" 4068.63154 15.612
