"a" "b"
"168" 3098.55029 13.914
"118" 2975.76221 13.828
"319" 4149.6302 13.839
"208" 3389.65995 13.989
"363" 4507.61502 13.839
"27" 2277.72585 14.118
"365" 4520.5826 13.987
"271" 3775.63045 14.129
"157" 3058.515 14.182
"351" 4464.64037 13.836
"360" 4494.6376 13.956
"167" 3092.54818 14.012
"114" 2961.70557 13.846
"201" 3338.70828 14.174
"358" 4487.71284 13.957
"293" 4040.75941 14.053
"136" 3012.75 13.924
"212" 3402.62075 14.189
"325" 4355.84708 14.01
"224" 3592.89906 13.955
"48" 2542.77565 14.147
"176" 3229.90388 14.147
"77" 2659.71496 13.959
"132" 3002.63242 14.128
"79" 2663.69365 14.075
"54" 2571.85784 14.199
"231" 3653.79507 14.155
"174" 3125.47239 13.84
"40" 2326.51536 14
"130" 2998.62993 13.938
"292" 4037.76366 14.044
"240" 3692.67634 13.921
"93" 2712.51494 13.97
"102" 2915.8278 14.192
"350" 4459.6422 14.011
"128" 2994.77106 14.195
"44" 2366.49801 13.914
"368" 4533.53117 14.203
"45" 2397.49488 13.951
"20" 2256.69739 14.163
"5" 2200.83352 14.15
"41" 2331.5459 13.826
"216" 3418.61614 13.904
"75" 2655.62839 13.984
"153" 3052.52139 14.167
"96" 2883.89562 13.922
"254" 3731.68657 14.184
"185" 3281.76085 14.128
"117" 2973.82669 14.151
"151" 3048.52588 13.918
"72" 2644.67218 14.145
"276" 3804.55806 14.07
"234" 3665.78629 14.082
"61" 2613.66581 14.08
"220" 3451.50718 14.115
"184" 3276.81076 13.863
"352" 4467.65074 14.096
"10" 2230.68794 13.85
"13" 2238.65297 13.835
"322" 4177.53684 13.852
"331" 4376.79919 14.147
"92" 2705.55029 13.982
"122" 2981.80907 13.959
"280" 3968.85148 14.129
"298" 4053.78005 14.185
"140" 3022.76056 14.173
"175" 3134.47278 13.934
"245" 3705.73165 13.834
"9" 2228.77493 14.194
"249" 3718.66151 14.063
"74" 2652.63749 13.938
"64" 2623.67042 14.038
"26" 2275.72232 13.941
"62" 2617.75642 13.822
"203" 3352.65219 14.19
"150" 3046.54874 13.869
"36" 2301.6406 14.033
"286" 4004.7968 14.1
"255" 3734.67945 13.843
"121" 2979.80209 14.176
"183" 3273.76509 14.196
"359" 4490.70837 14.204
"288" 4009.88112 14.137
"53" 2563.80093 14.096
"81" 2667.75168 13.821
"312" 4104.74819 14.152
"311" 4100.84434 13.934
"320" 4153.57093 14.175
"223" 3590.92711 13.822
"310" 4092.78795 13.863
"181" 3262.88438 13.898
"158" 3060.5347 13.96
"317" 4126.68548 14.044
"85" 2677.67168 14.034
"202" 3349.68539 13.964
"173" 3114.47514 14.047
"113" 2957.73079 14.126
"67" 2631.61713 13.848
"101" 2910.8319 13.825
"332" 4379.80475 13.921
"364" 4509.60896 14.007
"28" 2279.73179 14.134
"65" 2626.64959 13.95
"116" 2969.66077 13.909
"259" 3743.58822 13.991
"189" 3296.77765 13.948
"50" 2551.81902 14.107
"23" 2265.65495 14.076
"125" 2988.65784 14.044
"25" 2273.78444 13.831
"269" 3769.69112 13.83
"314" 4117.64895 14.166
"60" 2607.74116 14.175
"58" 2594.7425 14.122
"242" 3698.69783 13.839
"166" 3087.50463 14.194
"207" 3377.66491 13.905
"361" 4499.5834 13.852
"138" 3018.65385 13.827
"226" 3629.75773 14.045
"369" 4537.52688 13.948
"35" 2299.67118 14.161
"281" 3974.82351 14.185
"95" 2870.89604 14.022
"340" 4420.85993 13.851
"42" 2337.56465 13.969
"344" 4439.68014 14.175
"261" 3748.61782 13.831
"133" 3004.63428 13.849
"370" 4540.5506 14.194
"277" 3817.52497 14.205
"24" 2271.62642 14.189
"46" 2519.92055 14.007
"194" 3308.78948 14.157
"146" 3035.64697 14.041
"56" 2580.82413 13.996
"131" 3000.64669 14.131
"246" 3707.70772 14.006
"294" 4042.77481 13.864
"31" 2289.67602 13.904
"227" 3633.79765 13.825
"156" 3057.56848 14.095
"264" 3754.64425 14.008
"86" 2679.69819 14.199
"258" 3740.59087 13.932
"260" 3746.58951 14.178
"270" 3772.65917 14.028
"221" 3570.93987 13.928
"49" 2544.81892 14.071
"148" 3042.59089 14.026
"347" 4450.71682 13.867
"291" 4030.87005 14.078
"111" 2952.73745 14.087
"233" 3660.73681 14.171
"302" 4065.69553 13.99
"323" 4345.86501 14.086
"195" 3310.82188 14.031
"273" 3785.61309 13.906
"274" 3790.5818 13.964
"287" 4007.72938 13.935
"278" 3936.94539 13.992
"30" 2283.75226 14.012
"91" 2699.57653 14.089
"328" 4366.81479 14.045
"165" 3084.53856 13.937
"78" 2661.76678 13.898
"299" 4055.72982 13.867
"305" 4072.65922 13.979
"127" 2992.67604 14.04
"22" 2261.60503 13.952
"316" 4124.61582 14.148
"51" 2555.84307 14.022
"145" 3033.64083 13.884
"110" 2949.74557 14.042
"123" 2983.70973 13.887
"55" 2577.79495 14.074
"119" 2977.75009 13.986
"267" 3761.71574 14.034
"241" 3694.85967 14.134
"239" 3689.75587 14.104
"129" 2996.64705 13.838
"329" 4370.76008 13.845
"103" 2921.83023 14.125
"209" 3394.70551 14.151
"295" 4046.64956 14.188
"190" 3298.80824 13.914
"104" 2925.77353 13.836
"11" 2232.70848 13.929
"43" 2349.52246 14.141
"16" 2244.8339 13.885
"284" 3995.77542 14.158
"141" 3024.70883 13.973
"252" 3725.71182 14.093
"353" 4471.63951 13.825
"52" 2559.73076 13.896
"338" 4410.81956 14.138
"356" 4481.73648 14.076
"366" 4523.51401 13.975
"330" 4373.76005 14.008
"120" 2977.77612 13.992
"354" 4474.69368 14.089
"112" 2955.80314 13.957
"237" 3683.79028 13.835
"105" 2929.81061 14.188
"98" 2894.81181 14.184
"134" 3006.68378 14.015
"211" 3399.6224 13.956
"263" 3752.60611 14.161
"313" 4107.72086 13.913
"177" 3238.93145 14.114
"333" 4383.8099 14.153
"200" 3334.6556 13.91
"301" 4060.64803 14.177
"321" 4164.54896 13.882
"282" 3981.74465 14.17
"100" 2905.80201 13.955
"70" 2640.7048 13.941
"71" 2642.67384 14.114
"349" 4457.66292 13.856
"275" 3797.56204 14.016
"80" 2665.73682 14.19
"1" 2171.89332 14.195
"4" 2191.82319 14.112
"159" 3062.52843 13.897
"163" 3077.6406 13.975
"182" 3268.80601 13.819
"161" 3072.60324 14.16
"108" 2942.74141 14.064
"250" 3721.85609 13.975
"357" 4484.65006 14.019
"84" 2675.66913 13.862
"297" 4051.72867 14.022
"107" 2939.76331 13.824
"21" 2258.81275 13.988
"355" 4478.70735 13.827
"236" 3675.76725 14.055
"59" 2599.7785 14.125
"268" 3765.58128 14.028
"57" 2588.86554 13.82
"222" 3585.89965 13.967
"38" 2317.5611 13.843
"188" 3294.77194 14.193
"205" 3359.67858 14.193
"215" 3414.52348 14.006
"76" 2657.69463 14.173
"315" 4122.64071 13.978
"7" 2223.75614 13.824
"142" 3026.67791 13.889
"290" 4023.74375 14.082
"199" 3329.7603 14.105
"348" 4453.69332 14.128
"219" 3444.52813 14.137
"251" 3722.61494 14.032
"162" 3075.55564 13.826
"169" 3102.48716 14.17
"303" 4067.6316 14.169
"336" 4397.78519 14.192
"300" 4057.70876 13.928
"18" 2251.80113 13.943
"367" 4530.50946 13.95
"309" 4087.73215 14.04
"334" 4388.74958 14.087
"160" 3067.57128 13.997
"152" 3050.52712 14.096
"143" 3028.71375 14.06
"63" 2620.69585 14.065
"296" 4048.73808 13.843
"3" 2184.85474 14.139
"307" 4080.67533 14.053
"99" 2899.8127 14.052
"193" 3306.77278 13.961
"172" 3111.48383 13.824
"12" 2234.70165 14.115
"179" 3247.83741 13.841
"154" 3054.52281 13.831
"82" 2671.65249 14.148
"342" 4431.75793 14.088
"147" 3040.65584 13.867
"88" 2685.6326 14.111
"324" 4350.82691 13.891
"285" 3999.80837 13.872
"283" 3987.8686 14.08
"139" 3020.69537 13.993
"94" 2733.48447 13.904
"266" 3758.66955 14.068
"69" 2637.66393 14.107
"213" 3404.54886 13.849
"124" 2986.69237 14.153
"109" 2946.76189 13.821
"115" 2966.70541 14.153
"229" 3641.797 13.856
"186" 3283.86063 13.854
"90" 2695.52423 13.957
"210" 3396.58494 14.064
"204" 3355.67342 13.869
"279" 3961.86872 14.099
"337" 4402.86066 14.059
"126" 2990.73571 13.876
"289" 4016.84046 14.117
"34" 2297.67841 13.978
"83" 2673.64484 14.075
"346" 4448.70646 14.07
"243" 3700.73715 13.997
"191" 3300.86415 14.086
"178" 3246.91977 13.884
"238" 3686.83803 14.033
"362" 4502.6155 14.022
"171" 3108.50589 14.162
"341" 4425.6996 14.178
"339" 4416.84302 14.027
"248" 3715.62892 14.052
"244" 3702.82483 14.184
"17" 2249.70625 14.171
"272" 3778.62946 13.921
"327" 4364.79232 13.858
"29" 2281.72399 13.845
"335" 4392.77473 13.82
"326" 4361.80788 14.19
"235" 3671.75225 13.968
"97" 2888.87668 13.929
"6" 2217.73618 13.873
"232" 3656.85088 13.926
"39" 2322.60598 14.139
"47" 2535.90379 14.171
"164" 3081.63298 14.071
"308" 4084.70524 13.825
"214" 3409.52815 14.183
"8" 2226.73132 14.03
"217" 3428.59515 13.988
"225" 3617.84731 14.171
"37" 2303.6374 13.883
"192" 3303.77308 13.99
"256" 3736.66747 14.005
"230" 3646.8668 14.12
"253" 3728.61534 13.928
