"a" "b"
"167" 3098.5296 15.462
"176" 3238.87368 15.447
"169" 3103.49438 15.533
"229" 3661.76825 15.682
"246" 3721.62982 15.453
"54" 2594.72677 15.4
"332" 4402.84617 15.404
"286" 4028.77796 15.408
"295" 4055.71549 15.459
"187" 3298.7937 15.632
"80" 2673.62991 15.583
"110" 2957.71625 15.404
"255" 3749.59754 15.624
"51" 2577.78119 15.6
"188" 3300.84966 15.7
"243" 3712.84711 15.636
"244" 3715.84494 15.568
"351" 4477.68954 15.481
"122" 2990.77552 15.684
"304" 4084.69068 15.396
"88" 2699.55726 15.677
"81" 2675.62297 15.695
"294" 4053.7657 15.711
"360" 4507.60117 15.692
"354" 4486.66987 15.652
"353" 4483.67106 15.689
"257" 3754.56348 15.681
"355" 4489.68778 15.615
"89" 2705.5355 15.557
"124" 2994.75638 15.508
"1" 2165.85632 15.699
"331" 4397.76866 15.478
"108" 2952.72204 15.441
"287" 4030.85213 15.598
"359" 4502.65395 15.671
"75" 2661.75283 15.461
"325" 4373.74517 15.523
"258" 3756.72961 15.49
"161" 3077.62537 15.413
"148" 3047.56187 15.54
"4" 2184.83761 15.675
"345" 4456.67997 15.687
"103" 2932.86976 15.677
"97" 2905.89747 15.698
"53" 2588.8493 15.56
"273" 3968.83715 15.69
"224" 3638.81265 15.452
"72" 2654.7293 15.66
"128" 3002.61672 15.456
"260" 3761.70106 15.402
"236" 3692.66137 15.608
"160" 3075.54066 15.681
"337" 4425.84138 15.658
"166" 3092.53149 15.608
"56" 2607.72242 15.436
"233" 3683.77546 15.529
"267" 3790.56721 15.415
"344" 4453.67716 15.523
"73" 2657.68041 15.594
"23" 2273.63686 15.436
"132" 3010.63987 15.456
"87" 2694.56252 15.638
"111" 2960.83846 15.417
"78" 2667.64953 15.701
"6" 2206.75472 15.555
"198" 3338.6933 15.603
"109" 2955.7836 15.559
"215" 3434.57726 15.602
"349" 4469.64786 15.533
"302" 4077.67683 15.699
"21" 2264.66431 15.674
"50" 2571.84268 15.689
"172" 3113.48456 15.666
"292" 4048.72375 15.684
"186" 3296.71362 15.444
"189" 3303.75691 15.685
"220" 3608.91685 15.642
"34" 2302.66705 15.538
"74" 2659.75358 15.722
"25" 2279.71783 15.446
"199" 3349.67067 15.516
"298" 4065.65154 15.46
"251" 3739.65595 15.498
"362" 4515.56553 15.696
"92" 2872.86716 15.433
"144" 3038.61586 15.703
"202" 3359.63175 15.66
"239" 3700.72246 15.556
"14" 2242.76918 15.606
"168" 3101.49759 15.402
"98" 2910.80797 15.694
"19" 2256.6834 15.663
"138" 3024.69426 15.426
"232" 3674.85963 15.696
"191" 3308.7751 15.698
"137" 3022.74593 15.679
"48" 2551.80425 15.441
"66" 2640.66581 15.691
"336" 4420.84527 15.57
"134" 3016.65389 15.437
"147" 3045.60743 15.399
"268" 3797.54692 15.641
"218" 3570.93107 15.724
"114" 2972.84205 15.674
"208" 3400.62658 15.457
"44" 2519.90501 15.466
"265" 3778.61481 15.695
"83" 2679.6841 15.442
"317" 4192.51005 15.656
"96" 2900.90853 15.671
"159" 3072.54011 15.5
"297" 4060.63344 15.416
"314" 4153.55112 15.431
"361" 4509.59426 15.561
"252" 3741.67093 15.663
"5" 2200.81856 15.685
"312" 4129.69592 15.505
"272" 3960.89298 15.702
"296" 4057.69435 15.465
"289" 4040.74416 15.694
"309" 4121.63539 15.469
"121" 2988.64222 15.629
"101" 2925.75888 15.412
"47" 2544.80431 15.664
"105" 2942.72684 15.707
"196" 3329.74366 15.65
"192" 3310.80746 15.448
"162" 3081.61684 15.685
"315" 4164.53341 15.411
"171" 3109.4965 15.402
"100" 2921.81554 15.703
"238" 3698.68309 15.699
"241" 3705.71685 15.425
"324" 4369.76969 15.606
"152" 3055.55404 15.531
"20" 2262.68056 15.541
"303" 4080.66108 15.678
"77" 2665.72297 15.619
