"a" "b"
"222" 3641.78168 14.737
"48" 2577.78015 14.734
"126" 3004.6185 14.744
"206" 3403.63505 14.707
"220" 3633.78236 14.765
"214" 3450.54654 14.736
"40" 2365.52807 14.756
"302" 4092.77104 14.717
"277" 4007.71403 14.735
"294" 4060.6324 14.724
"218" 3615.90958 14.765
"228" 3671.73646 14.699
"265" 3797.54588 14.723
"226" 3661.76721 14.707
"77" 2673.62887 14.765
"133" 3020.67926 14.729
"55" 2620.67777 14.748
"314" 4192.50901 14.727
"18" 2262.67952 14.716
"242" 3718.64559 14.733
"95" 2910.80693 14.746
"343" 4458.66359 14.751
"71" 2659.75254 14.745
"352" 4489.68674 14.733
"185" 3300.84862 14.735
"158" 3077.62433 14.718
"141" 3038.61482 14.72
"225" 3656.8318 14.73
"233" 3692.66033 14.715
"14" 2249.69128 14.715
"244" 3725.69595 14.719
"269" 3960.89194 14.712
"168" 3109.49546 14.745
"186" 3303.75587 14.716
"255" 3756.72857 14.748
"6" 2226.71636 14.725
"299" 4077.67579 14.709
"115" 2981.79315 14.712
"240" 3712.84607 14.72
"211" 3429.58686 14.733
"273" 3987.84783 14.723
"249" 3741.66989 14.758
"301" 4084.68964 14.75
"253" 3751.70065 14.724
"204" 3390.76867 14.717
"24" 2283.73465 14.725
"154" 3067.55586 14.747
"123" 2998.61283 14.744
"223" 3646.84602 14.723
"357" 4507.60013 14.739
"215" 3570.93003 14.751
"49" 2580.8089 14.729
"173" 3238.87264 14.749
"232" 3689.73727 14.728
"85" 2699.55622 14.76
"104" 2949.72994 14.736
"224" 3653.77942 14.726
"114" 2979.78575 14.741
"63" 2640.66477 14.764
"354" 4498.6033 14.739
"311" 4153.55008 14.731
"199" 3359.63071 14.754
"120" 2992.65815 14.752
"81" 2681.66995 14.763
"344" 4463.67593 14.718
"207" 3406.56891 14.715
"303" 4100.8264 14.755
"334" 4425.84034 14.742
"295" 4065.6505 14.727
"178" 3276.83209 14.718
"245" 3727.64031 14.738
"293" 4057.69331 14.748
"66" 2646.64149 14.758
"246" 3731.67066 14.709
"290" 4051.66552 14.75
"332" 4416.82256 14.735
"79" 2677.61984 14.739
"16" 2253.67726 14.722
"169" 3113.48352 14.737
"73" 2663.67868 14.768
"256" 3758.65269 14.719
"362" 4525.58065 14.744
"324" 4379.78922 14.743
"122" 2996.6313 14.709
"327" 4392.73065 14.751
"165" 3101.49655 14.733
"56" 2622.82423 14.745
"328" 4397.76762 14.735
"25" 2288.7232 14.711
"33" 2316.54624 14.716
"254" 3754.56244 14.741
"346" 4469.64682 14.728
"131" 3016.65285 14.739
"341" 4453.67612 14.726
"163" 3092.53045 14.741
"45" 2551.80321 14.735
"182" 3294.76319 14.704
"147" 3051.55799 14.724
"11" 2240.7663 14.71
"13" 2244.81893 14.734
"329" 4402.84513 14.715
"150" 3057.55224 14.719
"315" 4316.93892 14.765
"190" 3314.72771 14.741
"184" 3298.79266 14.735
"181" 3289.75865 14.726
"312" 4164.53237 14.732
"323" 4376.78365 14.733
"305" 4117.63331 14.718
"347" 4473.60143 14.752
"353" 4493.64632 14.714
"297" 4069.60573 14.735
"325" 4383.79429 14.752
"80" 2679.68306 14.765
"100" 2932.86872 14.721
"306" 4121.63435 14.751
"252" 3749.5965 14.725
"176" 3262.86712 14.736
"42" 2526.88224 14.74
"317" 4350.80974 14.738
"99" 2929.78651 14.729
"326" 4388.73417 14.729
"23" 2281.70887 14.75
"53" 2607.72138 14.738
"17" 2256.68236 14.721
"96" 2915.81227 14.713
"258" 3764.67711 14.718
"359" 4515.56449 14.772
"243" 3721.62878 14.746
"26" 2290.75798 14.739
"337" 4439.76111 14.732
"72" 2661.75179 14.756
"149" 3055.553 14.749
"247" 3736.65152 14.74
"189" 3310.80642 14.737
"192" 3325.70997 14.732
"70" 2657.67937 14.767
"160" 3084.52262 14.704
"288" 4045.86094 14.753
"272" 3979.90309 14.749
"234" 3695.72435 14.698
"175" 3254.89257 14.729
"197" 3352.83032 14.721
"121" 2994.75534 14.736
"262" 3778.61377 14.742
"64" 2642.65696 14.766
"270" 3968.83611 14.721
"237" 3702.80901 14.737
"330" 4406.7953 14.739
"59" 2628.60322 14.745
"78" 2675.62193 14.772
"322" 4373.74413 14.734
"82" 2685.61698 14.76
"364" 4538.59107 14.725
"287" 4042.75937 14.728
"51" 2594.72573 14.766
"279" 4014.81262 14.709
"44" 2544.80327 14.734
"266" 3804.54236 14.726
"356" 4502.65291 14.722
"155" 3069.54079 14.715
"161" 3086.56059 14.725
"47" 2571.84164 14.722
"39" 2350.51086 14.756
"363" 4531.54242 14.751
"36" 2331.5264 14.732
"257" 3761.70002 14.716
"251" 3747.71377 14.765
"65" 2644.65342 14.736
"162" 3089.54643 14.719
"282" 4025.86711 14.737
"216" 3591.92336 14.752
"134" 3022.74489 14.734
"140" 3035.6313 14.706
"34" 2322.5835 14.708
"177" 3268.79038 14.727
"286" 4040.74312 14.733
"41" 2519.90397 14.752
"321" 4369.76865 14.712
"109" 2963.72292 14.71
"231" 3686.82233 14.705
"127" 3006.66754 14.742
"300" 4080.66004 14.713
"283" 4028.77692 14.723
"22" 2279.71679 14.724
"210" 3415.60933 14.71
"139" 3033.62356 14.716
"31" 2302.66601 14.745
"58" 2625.79924 14.741
"151" 3059.55083 14.72
"101" 2939.74761 14.697
"230" 3683.77442 14.704
"196" 3349.66963 14.724
"156" 3072.53907 14.712
"264" 3790.56617 14.757
"360" 4520.5566 14.734
"93" 2900.90749 14.71
"248" 3739.65491 14.742
"292" 4055.71445 14.738
"202" 3379.76489 14.724
"103" 2946.74632 14.739
"171" 3133.49 14.749
"219" 3628.90968 14.725
"68" 2652.61994 14.751
"92" 2896.81926 14.725
"229" 3674.85859 14.715
"136" 3026.66226 14.704
"310" 4147.57123 14.726
"259" 3769.67555 14.744
"15" 2251.83702 14.74
"129" 3010.63883 14.744
"200" 3366.69262 14.726
"125" 3002.61568 14.715
"153" 3064.568 14.758
"116" 2983.69389 14.737
"5" 2206.75368 14.738
"111" 2972.84101 14.701
"50" 2588.84826 14.759
"212" 3434.57622 14.731
"198" 3355.70953 14.739
"331" 4409.8678 14.733
"241" 3715.8439 14.719
"146" 3049.56575 14.749
"180" 3283.84513 14.739
"1" 2165.85528 14.71
"261" 3775.61453 14.742
"88" 2732.49326 14.731
"164" 3098.52856 14.726
"97" 2921.8145 14.708
"52" 2599.75692 14.746
"304" 4107.66775 14.721
"358" 4509.59322 14.76
"307" 4123.70503 14.731
"108" 2960.83742 14.714
"281" 4021.85673 14.738
"102" 2942.7258 14.708
"38" 2345.50874 14.747
"239" 3707.69082 14.717
"278" 4009.78723 14.759
"142" 3041.53782 14.713
"84" 2694.56148 14.76
"107" 2957.71521 14.707
"238" 3705.71581 14.76
"274" 3994.90285 14.742
"98" 2925.75784 14.745
"235" 3698.68205 14.738
"291" 4053.76466 14.715
"174" 3246.90445 14.713
"236" 3700.72142 14.716
