"a" "b"
"82" 2677.62088 14.211
"77" 2665.72297 14.278
"216" 3444.51373 14.668
"64" 2634.58165 14.199
"133" 3012.73525 14.619
"32" 2296.72308 14.311
"343" 4450.69455 14.43
"173" 3123.51745 14.23
"154" 3059.55187 14.288
"195" 3325.71101 14.293
"48" 2551.80425 14.443
"197" 3334.63986 14.454
"286" 4028.77796 14.277
"331" 4397.76866 14.489
"287" 4030.85213 14.428
"348" 4466.66668 14.267
"356" 4493.64736 14.452
"191" 3308.7751 14.47
"274" 3973.91831 14.463
"318" 4316.93996 14.274
"30" 2292.73386 14.34
"332" 4402.84617 14.278
"222" 3628.91072 14.435
"75" 2661.75283 14.67
"40" 2337.55 14.569
"306" 4100.82744 14.279
"171" 3109.4965 14.259
"69" 2646.64253 14.624
"361" 4509.59426 14.236
"220" 3608.91685 14.633
"168" 3101.49759 14.19
"254" 3747.71481 14.199
"367" 4538.59211 14.273
"90" 2711.56216 14.651
"84" 2681.67099 14.508
"19" 2256.6834 14.313
"78" 2667.64953 14.548
"270" 3817.51022 14.666
"293" 4051.66656 14.286
"80" 2673.62991 14.418
"26" 2281.70991 14.55
"57" 2617.71414 14.6
"14" 2242.76918 14.416
"315" 4164.53341 14.197
"243" 3712.84711 14.272
"228" 3656.83284 14.287
"108" 2952.72204 14.266
"349" 4469.64786 14.488
"119" 2983.69493 14.567
"53" 2588.8493 14.578
"300" 4069.60677 14.6
"34" 2302.66705 14.672
"2" 2171.87872 14.507
"127" 3000.63201 14.243
"55" 2599.75796 14.276
"253" 3745.6017 14.661
"150" 3051.55903 14.207
"167" 3098.5296 14.556
"229" 3661.76825 14.203
"172" 3113.48456 14.651
"262" 3769.67659 14.205
"45" 2526.88328 14.205
"281" 4009.78827 14.472
"118" 2981.79419 14.289
"183" 3283.84617 14.393
"13" 2240.76734 14.271
"366" 4531.54346 14.29
"164" 3086.56163 14.341
"215" 3434.57726 14.375
"245" 3718.64663 14.254
"269" 3804.5434 14.374
"115" 2975.66399 14.463
"166" 3092.53149 14.689
"357" 4498.60434 14.533
"206" 3386.66049 14.666
"260" 3761.70106 14.27
"149" 3049.56679 14.676
"102" 2929.78755 14.231
"210" 3406.56995 14.463
"297" 4060.63344 14.521
"242" 3707.69186 14.417
"267" 3790.56721 14.218
"143" 3035.63234 14.572
"310" 4123.70607 14.32
"329" 4388.73521 14.273
"190" 3306.75837 14.552
"344" 4453.67716 14.271
"347" 4463.67697 14.67
"353" 4483.67106 14.448
"16" 2249.69232 14.358
"37" 2322.58454 14.498
"10" 2232.69462 14.195
"136" 3020.6803 14.69
"17" 2251.83806 14.633
"29" 2290.75902 14.229
"92" 2872.86716 14.282
"1" 2165.85632 14.653
"99" 2915.81331 14.284
"257" 3754.56348 14.256
"162" 3081.61684 14.286
"231" 3671.7375 14.417
"151" 3053.55538 14.279
"134" 3016.65389 14.297
"73" 2657.68041 14.288
"296" 4057.69435 14.296
"290" 4042.76041 14.23
"140" 3028.66882 14.479
"292" 4048.72375 14.364
"161" 3077.62537 14.648
"221" 3615.91062 14.607
"109" 2955.7836 14.678
"273" 3968.83715 14.666
"359" 4502.65395 14.274
"148" 3047.56187 14.462
"351" 4477.68954 14.623
"250" 3736.65256 14.44
"247" 3725.69699 14.306
"79" 2671.62252 14.276
"193" 3314.72875 14.662
"125" 2996.63234 14.393
"246" 3721.62982 14.332
"308" 4117.63435 14.474
"295" 4055.71549 14.434
"365" 4525.58169 14.278
"234" 3686.82337 14.478
"341" 4441.84253 14.632
"165" 3089.54747 14.296
"264" 3775.61557 14.444
"130" 3006.66858 14.646
"334" 4409.86884 14.288
"157" 3067.5569 14.266
"59" 2622.82527 14.29
"259" 3758.65373 14.483
"76" 2663.67972 14.195
"241" 3705.71685 14.27
"311" 4126.60707 14.674
"186" 3296.71362 14.315
"146" 3043.56831 14.298
"5" 2200.81856 14.547
"113" 2966.69088 14.289
"88" 2699.55726 14.199
"128" 3002.61672 14.285
"147" 3045.60743 14.289
"278" 4001.81178 14.367
"86" 2690.57165 14.659
"301" 4072.6447 14.271
"138" 3024.69426 14.266
"309" 4121.63539 14.223
"188" 3300.84966 14.681
"31" 2294.70147 14.61
"170" 3106.49987 14.672
"43" 2365.52911 14.461
"112" 2963.72396 14.626
"224" 3638.81265 14.585
"338" 4431.71858 14.278
"268" 3797.54692 14.298
"302" 4077.67683 14.259
"44" 2519.90501 14.193
"194" 3321.64925 14.642
"47" 2544.80431 14.461
"28" 2288.72424 14.602
"235" 3689.73831 14.334
"203" 3366.69366 14.302
"328" 4383.79533 14.543
"303" 4080.66108 14.323
"139" 3026.6633 14.535
"319" 4345.85751 14.267
"342" 4444.6788 14.217
"276" 3987.84887 14.438
"280" 4007.71507 14.293
"263" 3772.64442 14.45
"107" 2949.73098 14.478
"362" 4515.56553 14.335
"11" 2234.68769 14.269
"346" 4458.66463 14.2
"240" 3702.81005 14.663
"202" 3359.63175 14.249
"182" 3281.74633 14.256
"169" 3103.49438 14.27
"38" 2325.59098 14.242
"15" 2244.81997 14.65
"272" 3960.89298 14.645
"132" 3010.63987 14.314
"335" 4416.8236 14.296
"201" 3355.71057 14.404
"156" 3064.56904 14.49
"360" 4507.60117 14.602
"320" 4350.81078 14.211
"312" 4129.69592 14.305
"189" 3303.75691 14.307
"106" 2946.74736 14.438
"177" 3246.90549 14.279
"219" 3591.9244 14.268
"71" 2652.62098 14.463
"160" 3075.54066 14.383
"46" 2541.87753 14.229
"179" 3262.86816 14.447
"355" 4489.68778 14.283
"198" 3338.6933 14.205
"174" 3133.49104 14.452
"39" 2331.52744 14.658
"50" 2571.84268 14.269
"207" 3390.76971 14.262
"54" 2594.72677 14.424
"41" 2345.50978 14.674
"199" 3349.67067 14.527
"7" 2226.7174 14.291
"24" 2277.70845 14.258
"97" 2905.89747 14.684
"18" 2253.6783 14.295
"135" 3018.6393 14.444
"110" 2957.71625 14.208
"104" 2939.74865 14.459
"217" 3450.54758 14.575
"271" 3935.9439 14.3
"181" 3276.83313 14.419
"236" 3692.66137 14.273
"158" 3069.54183 14.524
"144" 3038.61586 14.286
"288" 4037.7492 14.368
"363" 4520.55764 14.594
"350" 4473.60247 14.232
"313" 4147.57227 14.648
