"a" "b"
"224" 3653.81291 15.22
"26" 2275.73878 15.447
"89" 2699.59456 15.178
"53" 2571.87435 15.42
"68" 2637.68037 15.34
"154" 3057.58644 15.458
"267" 3805.51258 15.386
"186" 3298.82637 15.126
"279" 4016.85804 15.141
"201" 3377.68288 15.54
"159" 3069.57445 15.291
"2" 2189.81734 15.342
"64" 2626.66734 15.232
"63" 2623.6882 15.347
"290" 4053.79751 15.523
"29" 2281.74049 15.262
"268" 3818.52526 15.207
"327" 4392.79227 15.14
"329" 4402.87821 15.517
"155" 3058.53294 15.174
"207" 3402.63884 15.462
"361" 4540.56837 15.308
"302" 4092.80537 15.419
"253" 3750.60852 15.536
"25" 2273.80091 15.09
"108" 2949.76339 15.207
"283" 4031.70115 15.309
"174" 3134.49127 15.223
"38" 2303.654 15.452
"139" 3026.69573 15.086
"95" 2888.89484 15.397
"314" 4178.53686 15.403
"227" 3671.76994 15.14
"43" 2337.58304 15.273
"193" 3325.74368 15.555
"36" 2299.68773 15.378
"48" 2544.83721 15.547
"192" 3321.6819 15.491
"132" 3008.66075 15.54
"216" 3585.92445 15.393
"178" 3268.82423 15.41
"69" 2640.72897 15.266
"359" 4533.5489 15.304
"111" 2957.74859 15.228
"176" 3247.85568 15.394
"41" 2326.53367 15.152
"357" 4523.53167 15.392
"202" 3381.78842 15.418
"205" 3396.60299 15.177
"142" 3033.65863 15.073
"244" 3728.63299 15.345
"161" 3075.5763 15.1
"246" 3734.69711 15.169
"358" 4530.52719 15.387
"59" 2607.75928 15.545
"15" 2242.80434 15.157
"182" 3283.87875 15.566
"10" 2230.70437 15.481
"319" 4364.81004 15.259
"238" 3707.7462 15.371
"349" 4487.73036 15.202
"92" 2733.50305 15.392
"315" 4345.88282 15.409
"13" 2238.66943 15.293
"122" 2988.67729 15.144
"86" 2685.65055 15.181
"194" 3329.77826 15.119
"261" 3772.67699 15.09
"33" 2293.67729 15.546
"105" 2939.78122 15.122
"190" 3310.83989 15.431
"278" 4007.74706 15.4
"306" 4117.66645 15.092
"347" 4481.754 15.401
"169" 3105.54588 15.49
"131" 3006.70154 15.262
"115" 2973.84446 15.519
"130" 3004.65199 15.52
"35" 2297.69496 15.524
"150" 3050.54496 15.502
"177" 3262.90267 15.555
"262" 3775.64833 15.395
"348" 4484.66757 15.294
"188" 3306.79083 15.319
"212" 3429.52077 15.468
"308" 4124.66983 15.091
"31" 2289.69253 15.456
"179" 3273.7833 15.357
"3" 2191.84658 15.399
"119" 2979.81978 15.445
"116" 2975.77994 15.348
"128" 3000.66444 15.438
"153" 3056.54 15.446
"100" 2915.84577 15.208
"181" 3281.77895 15.205
"66" 2631.63359 15.495
"229" 3683.80803 15.442
"109" 2952.75662 15.546
"263" 3778.64734 15.552
"125" 2994.78882 15.497
"255" 3754.662 15.473
"293" 4060.66547 15.515
"172" 3114.49368 15.208
"135" 3016.68664 15.17
"113" 2963.79034 15.125
"292" 4057.72615 15.556
"250" 3743.60596 15.539
"328" 4397.80278 15.345
"183" 3289.79251 15.414
"195" 3334.6736 15.332
"266" 3797.57996 15.188
"51" 2559.74896 15.1
"187" 3303.79821 15.431
"49" 2551.83728 15.55
"332" 4425.71709 15.353
"256" 3756.76205 15.397
"345" 4474.71116 15.384
"356" 4520.60029 15.473
"325" 4383.82748 15.331
"232" 3692.694 15.131
"28" 2279.75327 15.535
"286" 4042.79231 15.438
"145" 3040.67374 15.083
"55" 2580.84063 15.132
"353" 4502.63194 15.379
"214" 3444.54623 15.391
"18" 2251.81759 15.52
