"a" "b"
"167" 3098.56499 14.676
"11" 2232.72164 14.938
"306" 4100.85831 14.703
"130" 3000.66088 14.701
"343" 4457.6769 14.764
"187" 3303.79461 14.465
"128" 2996.66126 14.871
"341" 4450.73075 14.503
"245" 3725.72593 14.937
"146" 3040.67014 14.503
"39" 2317.57439 14.509
"299" 4069.63591 14.672
"23" 2265.66811 14.458
"284" 4026.67091 14.408
"256" 3752.62036 14.38
"52" 2563.81665 14.884
"6" 2217.74941 14.879
"154" 3056.53639 14.563
"266" 3781.68949 14.856
"267" 3785.62737 14.686
"253" 3746.60365 14.886
"261" 3765.59675 14.76
"217" 3585.9208 14.93
"8" 2226.7445 14.816
"164" 3084.55561 14.871
"226" 3656.86516 14.727
"196" 3338.72268 14.81
"323" 4366.82892 14.584
"71" 2644.68642 14.76
"30" 2283.76548 14.854
"55" 2580.83732 14.48
"12" 2234.71482 14.466
"350" 4481.7505 14.503
"292" 4051.74268 14.598
"163" 3081.64806 14.446
"97" 2899.82709 14.682
"1" 2183.86737 14.6
"201" 3369.69294 14.824
"18" 2251.8143 14.715
"100" 2915.84215 14.381
"346" 4467.66474 14.714
"325" 4373.77417 14.584
"161" 3075.57267 14.561
"193" 3325.74009 14.649
"302" 4080.68928 14.768
"54" 2577.80818 14.793
"86" 2685.64694 14.71
"251" 3740.60622 14.878
"320" 4355.86132 14.95
"326" 4376.8133 14.858
"151" 3050.54136 14.431
"280" 4004.81094 14.901
"25" 2273.79761 14.903
"234" 3692.69048 14.682
"109" 2952.753 14.49
"221" 3633.81946 14.368
"85" 2681.70039 14.884
"44" 2366.5145 14.878
"333" 4410.83352 14.709
"334" 4416.85701 14.832
"140" 3026.69214 14.734
"57" 2594.757 14.903
"281" 4007.7435 14.679
"92" 2733.4994 14.909
"200" 3359.69299 14.532
"34" 2295.69352 14.484
"113" 2963.78675 14.598
"307" 4104.76214 14.518
"98" 2905.81638 14.414
"348" 4474.70765 14.939
"259" 3758.68373 14.5
"81" 2673.6581 14.45
"211" 3414.53781 14.801
"198" 3352.66658 14.808
"60" 2613.68001 14.761
"135" 3012.76421 14.953
"222" 3638.77299 14.403
"118" 2977.76429 14.383
"214" 3434.61015 14.716
"124" 2988.67374 14.45
"336" 4431.77189 14.749
"179" 3273.77968 14.612
"285" 4028.8068 14.737
"212" 3421.58645 14.607
"342" 4453.70729 14.936
"205" 3394.72 14.911
"16" 2244.84707 14.434
