"a" "b"
"350" 4473.63501 16.548
"264" 3791.55265 16.615
"341" 4442.70008 16.597
"176" 3247.8813 16.629
"331" 4403.73524 16.574
"105" 2933.80112 16.593
"218" 3614.90854 16.699
"280" 4023.78666 16.671
"90" 2690.64303 16.65
"362" 4516.53559 16.576
"112" 2957.77439 16.554
"119" 2979.84567 16.58
"61" 2609.64554 16.682
"15" 2249.76134 16.542
"182" 3289.81829 16.695
"191" 3314.83297 16.701
"261" 3778.67291 16.513
"171" 3113.51905 16.706
"162" 3084.58994 16.689
"70" 2639.81916 16.71
"236" 3701.73581 16.579
"285" 4040.80199 16.684
"161" 3081.6777 16.598
"306" 4113.67151 16.716
"82" 2667.81113 16.678
"245" 3730.6313 16.521
"296" 4072.70181 16.718
"234" 3696.67242 16.569
"206" 3403.66875 16.687
"168" 3104.52703 16.704
"340" 4439.72276 16.6
"65" 2627.61011 16.668
"294" 4067.67653 16.73
"338" 4431.85028 16.683
"158" 3073.51014 16.728
"227" 3671.79611 16.617
"39" 2326.55999 16.714
"343" 4450.7604 16.645
"310" 4127.64924 16.719
"30" 2291.73116 16.575
"114" 2963.81598 16.59
"26" 2279.7775 16.537
"8" 2228.81518 16.524
"358" 4501.62863 16.543
"339" 4436.7147 16.61
"219" 3629.80389 16.66
"58" 2589.77257 16.702
"319" 4350.88238 16.705
"246" 3733.62006 16.521
"260" 3772.70243 16.502
"154" 3058.55882 16.701
"345" 4456.7494 16.62
"124" 2992.72452 16.535
"44" 2401.50848 16.722
"103" 2925.81959 16.621
"225" 3661.80058 16.654
"205" 3398.69364 16.708
"153" 3056.56578 16.68
"88" 2681.75607 16.689
"92" 2700.5247 16.586
"243" 3725.75511 16.588
"181" 3281.80461 16.703
"77" 2654.82401 16.716
"297" 4076.77226 16.675
"50" 2545.79791 16.707
"57" 2580.86474 16.695
"91" 2695.57361 16.597
"9" 2230.72832 16.532
"134" 3016.71227 16.552
"147" 3045.64016 16.622
"4" 2212.79165 16.535
"321" 4361.8507 16.699
"47" 2537.84983 16.699
"344" 4453.73604 16.595
"229" 3683.83368 16.658
"19" 2258.67093 16.573
"14" 2242.82814 16.544
"237" 3704.75719 16.604
"157" 3069.60016 16.667
"146" 3043.60115 16.616
"107" 2942.78503 16.558
"167" 3101.55561 16.71
"267" 3819.51713 16.675
"163" 3087.55172 16.707
"142" 3033.68881 16.554
"215" 3574.92713 16.705
"273" 3987.91136 16.54
"16" 2251.79384 16.549
"96" 2890.81992 16.612
"347" 4461.6471 16.552
"349" 4468.69869 16.582
"248" 3736.74183 16.573
"46" 2521.89652 16.683
"266" 3805.53818 16.636
"226" 3666.79773 16.65
"315" 4165.54574 16.688
"336" 4425.7463 16.631
"289" 4051.77127 16.695
"300" 4084.74823 16.714
"318" 4345.90798 16.738
"291" 4056.64241 16.761
"106" 2939.80964 16.58
"135" 3018.70212 16.546
"117" 2974.68407 16.533
"150" 3050.57063 16.679
"33" 2297.72087 16.592
"118" 2975.80922 16.579
"239" 3711.64744 16.529
"175" 3239.91042 16.585
"252" 3746.73822 16.548
"305" 4109.65264 16.726
"184" 3296.82162 16.702
"253" 3748.69151 16.527
"311" 4132.62724 16.709
"76" 2652.72025 16.684
"159" 3075.60287 16.68
"43" 2368.50633 16.711
"178" 3268.85013 16.679
"356" 4493.77158 16.622
"75" 2650.73012 16.697
"232" 3692.71966 16.574
"332" 4410.86233 16.688
"259" 3769.73428 16.532
"49" 2542.81624 16.71
"3" 2189.84343 16.575
"25" 2277.77244 16.523
"325" 4376.84194 16.693
"59" 2594.78968 16.731
"20" 2261.65657 16.601
"34" 2299.74326 16.577
"113" 2961.75771 16.557
"102" 2921.87412 16.633
"71" 2641.64179 16.667
"209" 3415.5921 16.656
"42" 2354.52229 16.71
"249" 3738.66378 16.53
"87" 2679.73873 16.687
"12" 2238.6934 16.555
"97" 2895.85556 16.643
"200" 3372.6745 16.691
"52" 2555.8874 16.692
"37" 2317.64009 16.684
"2" 2172.88623 16.608
"7" 2226.77167 16.557
"230" 3687.69548 16.559
"130" 3004.67782 16.524
"155" 3060.57993 16.672
"89" 2686.56479 16.612
"307" 4118.57843 16.723
"139" 3026.72167 16.529
"196" 3355.66553 16.708
"247" 3734.7229 16.563
"69" 2637.70436 16.692
"179" 3273.80892 16.681
"18" 2256.72961 16.534
"109" 2948.85057 16.615
"231" 3689.79908 16.619
"45" 2520.91714 16.663
"141" 3030.76235 16.551
"100" 2910.87563 16.629
"151" 3052.56497 16.683
"123" 2990.72774 16.517
"269" 3961.91187 16.527
"203" 3391.58205 16.657
"67" 2631.68345 16.67
"326" 4379.84828 16.694
"84" 2673.68642 16.661
"222" 3650.81034 16.638
"360" 4508.57668 16.524
"185" 3298.85221 16.667
"228" 3675.81053 16.615
"138" 3024.75257 16.545
"353" 4483.70407 16.575
"95" 2884.85213 16.635
"262" 3781.73392 16.529
"63" 2620.76956 16.702
"265" 3798.55296 16.617
"330" 4398.79546 16.677
"121" 2986.73614 16.55
"131" 3006.62356 16.579
"241" 3716.69449 16.582
"257" 3758.71362 16.542
"217" 3590.91936 16.703
"101" 2915.87181 16.64
"210" 3421.58049 16.675
"242" 3719.67175 16.554
"286" 4042.81747 16.688
"48" 2539.8239 16.714
"156" 3067.64162 16.615
"363" 4520.6256 16.533
"302" 4093.81639 16.713
"327" 4383.85254 16.702
"94" 2735.48926 16.565
"199" 3369.76939 16.709
"132" 3010.69811 16.543
"284" 4037.83526 16.649
"108" 2946.80546 16.582
"115" 2966.75531 16.541
"136" 3020.77749 16.523
"275" 4002.81834 16.618
"10" 2232.74882 16.524
"144" 3038.67415 16.56
"322" 4364.85751 16.7
"189" 3308.83315 16.682
"204" 3395.63681 16.681
"60" 2599.83307 16.71
"140" 3028.75735 16.53
"28" 2283.79454 16.528
"190" 3310.86546 16.679
"202" 3386.79126 16.716
"187" 3303.84156 16.719
"292" 4059.6534 16.722
"1" 2166.83748 16.59
"270" 3968.89435 16.542
"72" 2643.65282 16.678
"73" 2645.64554 16.671
"216" 3588.91748 16.713
"143" 3035.69051 16.547
"64" 2623.71394 16.685
"334" 4421.72627 16.637
"201" 3377.70863 16.729
"24" 2275.77768 16.523
"81" 2665.77723 16.684
"212" 3436.57381 16.661
"279" 4018.79225 16.64
"99" 2906.84218 16.618
"314" 4154.51775 16.66
"173" 3135.48243 16.73
"283" 4031.72633 16.705
"80" 2661.80725 16.703
"355" 4490.70075 16.571
"166" 3098.59529 16.675
"169" 3107.50886 16.726
"287" 4046.69226 16.706
"369" 4540.59362 16.553
"38" 2323.54234 16.727
"13" 2240.82234 16.544
"127" 2998.68137 16.537
"194" 3338.757 16.713
"211" 3428.57948 16.658
"263" 3786.55702 16.6
"255" 3752.70435 16.546
"320" 4355.88996 16.709
"133" 3012.79358 16.537
"170" 3110.5354 16.726
"55" 2573.77444 16.712
"364" 4523.60915 16.551
"125" 2994.81527 16.574
"224" 3657.78888 16.614
"335" 4421.78217 16.661
"152" 3054.5666 16.682
"220" 3634.76201 16.627
"21" 2265.7586 16.539
"254" 3750.58305 16.537
"40" 2338.52768 16.728
"367" 4535.60374 16.54
"41" 2344.52051 16.713
"317" 4341.84888 16.697
"192" 3329.80481 16.71
"299" 4082.66778 16.722
"348" 4465.66793 16.57
"93" 2712.55909 16.609
"35" 2302.59445 16.696
"104" 2929.8642 16.629
"23" 2273.67123 16.619
"29" 2289.72371 16.578
"274" 3995.81896 16.611
"313" 4150.53933 16.681
"272" 3981.78737 16.633
"258" 3762.67174 16.512
"6" 2223.79686 16.542
"172" 3125.51654 16.737
"316" 4183.50211 16.648
"193" 3334.70094 16.714
"27" 2281.7914 16.545
"240" 3713.66103 16.529
"126" 2996.69078 16.538
"31" 2293.70325 16.582
"128" 3000.69087 16.528
"129" 3002.67862 16.538
"208" 3410.62036 16.668
"213" 3443.51655 16.62
"197" 3359.72451 16.723
"145" 3041.5713 16.66
"328" 4388.79243 16.668
"351" 4477.72255 16.596
"223" 3653.83825 16.637
"342" 4448.75352 16.642
"323" 4367.76999 16.699
"36" 2304.72654 16.605
"244" 3727.70307 16.541
"250" 3740.69875 16.532
"359" 4505.59917 16.528
"256" 3754.69276 16.538
"303" 4102.62266 16.689
"290" 4053.82255 16.692
"312" 4142.56227 16.713
"188" 3306.8163 16.708
"165" 3092.59315 16.701
"186" 3301.67247 16.747
"183" 3294.81623 16.684
"352" 4479.74417 16.602
"251" 3743.66427 16.545
"17" 2253.75428 16.531
"281" 4026.70261 16.698
"295" 4069.66466 16.723
"233" 3694.85194 16.646
"98" 2900.81121 16.613
"293" 4064.67608 16.732
"357" 4498.63551 16.542
"221" 3640.75832 16.628
"214" 3452.5364 16.607
"276" 4004.83956 16.615
"271" 3974.87994 16.55
"346" 4458.69703 16.598
"177" 3256.85796 16.656
"235" 3699.68469 16.561
"120" 2983.75366 16.533
"11" 2234.74264 16.531
"164" 3089.65514 16.638
"329" 4392.84668 16.678
"68" 2634.67835 16.685
"298" 4079.64714 16.711
"368" 4538.6243 16.519
"85" 2675.71335 16.693
"86" 2677.74802 16.689
"174" 3229.89656 16.585
"288" 4048.78165 16.693
"78" 2657.7425 16.674
"54" 2563.84651 16.709
"53" 2559.79629 16.724
"5" 2217.77657 16.527
"160" 3078.52501 16.713
"122" 2988.70308 16.546
"333" 4417.75029 16.65
"304" 4104.79137 16.734
"22" 2271.70452 16.572
"268" 3938.93494 16.527
"51" 2551.86336 16.704
"207" 3406.60276 16.671
"32" 2295.73002 16.564
"354" 4486.70251 16.585
"180" 3276.89442 16.647
"337" 4429.71045 16.62
"361" 4510.6549 16.556
"238" 3706.75623 16.58
"83" 2671.723 16.684
"79" 2659.70755 16.678
"308" 4120.66456 16.723
"309" 4124.69528 16.72
"74" 2646.67298 16.678
"62" 2617.80153 16.704
"111" 2955.84684 16.601
"282" 4028.83859 16.646
"278" 4011.7529 16.685
"116" 2970.76943 16.542
"366" 4532.54627 16.559
"365" 4530.55256 16.56
"301" 4087.66804 16.716
"149" 3049.60003 16.628
