"a" "b"
"300" 4067.64451 14.883
"255" 3740.60161 14.939
"179" 3229.91503 14.79
"165" 3077.65254 14.809
"76" 2652.65181 14.978
"342" 4448.71699 14.819
"166" 3081.64386 15.172
"339" 4435.82493 14.834
"33" 2289.68592 15.123
"360" 4509.61883 14.731
"22" 2256.71479 14.701
"261" 3756.75498 15.166
"224" 3629.76872 14.817
"289" 4037.77421 15.05
"26" 2271.64127 14.802
"356" 4494.64825 14.911
"98" 2883.90656 14.727
"241" 3700.74783 15.129
"146" 3033.65156 15.126
"234" 3675.77798 14.718
"280" 3987.87932 14.802
"191" 3303.79109 14.708
"335" 4410.8301 15.183
"178" 3134.484 14.94
"172" 3102.49984 15.134
"56" 2563.81307 15.076
"19" 2249.71613 14.706
"134" 3002.64312 14.788
"163" 3072.61411 14.955
"45" 2337.57569 15.177
"299" 4065.7061 15.104
"337" 4425.71016 14.926
"160" 3060.54552 15.175
"32" 2283.76216 14.767
"281" 3995.78614 14.977
"228" 3646.88713 15.074
"298" 4060.65857 14.923
"268" 3778.64026 14.743
"293" 4048.74868 14.809
"64" 2617.76718 14.931
"357" 4499.59325 15.093
"92" 2695.53506 15.178
"115" 2957.74149 15.155
"14" 2234.71152 15.085
"122" 2977.76078 15.159
"145" 3030.72948 14.879
"71" 2637.6738 14.796
"48" 2397.50605 14.955
"176" 3114.48642 15.015
"62" 2599.79487 15.093
"5" 2189.81005 14.794
"105" 2921.841 15.048
"345" 4457.67347 15.011
"331" 4388.76021 15.003
"278" 3974.83581 14.942
"126" 2986.70303 14.703
"170" 3092.55928 14.841
"257" 3746.60019 14.803
"365" 4537.53757 14.772
"205" 3369.68942 15.055
"366" 4540.56133 15.038
"283" 4004.80749 15.16
"31" 2281.73388 15.122
"249" 3725.72248 14.796
"2" 2171.90436 15.171
"343" 4450.72732 15.006
"212" 3402.63169 14.844
"336" 4416.85356 15.079
"184" 3276.82173 14.75
"208" 3389.67085 14.98
"4" 2184.86575 15.054
"133" 3000.65739 14.707
"225" 3633.81595 14.81
"63" 2613.67654 15.044
"135" 3004.64493 15.059
"220" 3585.91722 14.712
"327" 4373.77073 14.831
"181" 3262.89546 14.739
"304" 4080.68587 15.144
"123" 2977.78679 15.163
"362" 4523.52465 14.749
"332" 4392.78531 14.764
"84" 2671.66241 14.789
"347" 4464.65092 15.018
"307" 4092.79849 15.047
"85" 2673.65478 15.005
"87" 2677.68573 14.771
"235" 3683.801 14.807
"287" 4026.66748 14.732
"231" 3660.74753 15.028
"221" 3590.93821 15.173
"185" 3281.77183 15.085
"264" 3765.59205 14.722
"83" 2667.76686 15.161
"273" 3805.50548 14.986
"58" 2577.80488 15.091
"27" 2273.79432 14.972
"152" 3046.55951 15.156
"326" 4370.77077 14.867
"214" 3409.53898 14.859
"242" 3702.83546 14.749
"321" 4350.88642 14.712
"350" 4474.70422 14.706
"137" 3008.65369 14.808
"15" 2238.66284 14.9
"7" 2200.84347 14.885
"136" 3006.69447 14.923
"355" 4491.69755 14.96
"112" 2949.75627 15.097
"187" 3289.78538 14.72
"151" 3044.54374 14.87
"229" 3653.8058 15.069
"9" 2217.7461 14.826
"39" 2301.6505 15.006
"130" 2994.78175 14.791
"288" 4028.80335 14.79
"364" 4533.54188 15.019
"262" 3758.68025 14.732
"67" 2626.66027 15.18
"60" 2589.73419 14.835
"125" 2983.72041 15.03
"117" 2963.78324 15.132
"188" 3294.78296 15.174
"175" 3111.49499 14.763
"274" 3818.51809 15.183
"330" 4383.82052 15.133
"290" 4040.76999 14.717
"349" 4471.65005 15.028
"16" 2240.7912 15.169
"275" 3937.92069 14.737
"324" 4364.80302 14.726
"351" 4478.71793 15.056
"82" 2665.74672 14.895
"34" 2291.69473 14.736
"37" 2297.68833 14.713
"157" 3056.53289 14.769
"294" 4051.73926 15.08
"106" 2925.78433 14.782
"296" 4055.74034 14.807
"61" 2594.75341 14.749
"3" 2183.86379 14.949
"110" 2942.75219 15.086
"109" 2939.77408 14.801
"328" 4376.80983 15.158
"183" 3273.77614 15.136
"44" 2331.55692 14.942
"211" 3399.63333 14.787
"74" 2644.68291 14.804
"322" 4355.85785 15.181
"353" 4484.66065 14.965
"238" 3692.68699 14.971
"190" 3298.81925 14.783
"25" 2265.66482 14.789
"128" 2990.74641 15.042
"266" 3772.66992 14.749
"162" 3069.56723 14.696
"140" 3018.67695 15.103
"306" 4087.74266 15.086
"201" 3349.69632 15.155
"141" 3022.77127 14.802
"51" 2542.78564 15.012
"286" 4023.7544 15.01
"189" 3296.78863 14.691
"233" 3671.76294 14.953
"69" 2631.62701 14.949
"203" 3355.68434 15.025
"88" 2679.70813 14.937
"111" 2946.77262 14.806
"279" 3981.75537 14.948
"79" 2659.72898 14.99
"107" 2929.8214 15.185
"348" 4467.66129 14.712
"158" 3057.57927 14.79
"314" 4126.69604 14.983
"100" 2894.82269 15.127
"70" 2634.64758 14.934
"177" 3125.48359 14.784
"248" 3722.62561 15.091
"8" 2211.81922 14.971
"316" 4149.64089 15.115
"12" 2230.6978 14.803
"55" 2559.74171 14.709
"53" 2551.82999 14.975
"38" 2299.68109 14.797
"297" 4057.71926 14.97
"259" 3752.61683 14.812
"217" 3434.60665 14.704
"319" 4178.51343 14.703
"28" 2275.7322 15.161
"236" 3686.84871 15.109
"313" 4124.66289 14.815
"186" 3283.87163 14.772
"118" 2966.72263 14.737
"150" 3042.60165 14.752
"282" 3999.81905 14.731
"258" 3748.62852 15.075
"120" 2973.83737 14.765
