"a" "b"
"134" 3006.68378 14.893
"219" 3444.52813 14.903
"230" 3646.8668 14.968
"249" 3718.66151 14.966
"96" 2883.89562 14.942
"3" 2184.85474 14.76
"45" 2397.49488 14.806
"6" 2217.73618 14.968
"229" 3641.797 14.764
"82" 2671.65249 14.902
"334" 4388.74958 14.954
"158" 3060.5347 14.785
"13" 2238.65297 14.941
"204" 3355.67342 14.914
"107" 2939.76331 14.931
"98" 2894.81181 14.976
"361" 4507.61502 14.842
"177" 3238.93145 14.865
"232" 3656.85088 14.941
"228" 3638.75861 14.836
"352" 4471.63951 14.938
"346" 4448.70646 14.743
"240" 3692.67634 14.775
"331" 4376.79919 14.777
"360" 4502.6155 14.924
"38" 2317.5611 14.893
"157" 3058.515 14.974
"81" 2667.75168 14.834
"284" 3995.77542 14.961
"124" 2986.69237 14.953
"300" 4057.70876 14.958
"28" 2279.73179 14.938
"244" 3702.82483 14.798
"72" 2644.67218 14.955
"272" 3778.62946 14.781
"85" 2677.67168 14.811
"69" 2637.66393 14.936
"170" 3105.52755 14.874
"286" 4004.7968 14.832
"150" 3046.54874 14.755
"53" 2563.80093 14.904
"20" 2256.69739 14.751
"270" 3772.65917 14.882
"117" 2973.82669 14.942
"151" 3048.52588 14.971
"26" 2275.72232 14.95
"338" 4410.81956 14.806
"267" 3761.71574 14.805
"366" 4533.53117 14.903
"2" 2183.85277 14.941
"163" 3077.6406 14.779
"167" 3092.54818 14.947
"212" 3402.62075 14.803
"90" 2695.52423 14.893
"277" 3817.52497 14.951
"89" 2690.58649 14.835
"32" 2291.68481 14.829
"254" 3731.68657 14.888
"298" 4053.78005 14.968
"324" 4350.82691 14.915
"113" 2957.73079 14.774
"18" 2251.80113 14.947
"206" 3369.67852 14.965
"112" 2955.80314 14.942
"11" 2232.70848 14.764
"289" 4016.84046 14.948
"119" 2977.75009 14.845
"103" 2921.83023 14.96
"325" 4355.84708 14.876
"114" 2961.70557 14.844
"253" 3728.61534 14.949
"63" 2620.69585 14.95
"94" 2733.48447 14.923
"322" 4177.53684 14.938
"246" 3707.70772 14.914
"152" 3050.52712 14.813
"234" 3665.78629 14.781
"217" 3428.59515 14.918
"42" 2337.56465 14.957
"214" 3409.52815 14.82
"278" 3936.94539 14.919
"218" 3434.59573 14.953
"307" 4080.67533 14.922
"190" 3298.80824 14.915
"16" 2244.8339 14.956
"323" 4345.86501 14.773
"281" 3974.82351 14.948
"311" 4100.84434 14.87
"39" 2322.60598 14.853
"162" 3075.55564 14.963
"99" 2899.8127 14.77
"174" 3125.47239 14.779
"77" 2659.71496 14.861
"192" 3303.77308 14.847
"109" 2946.76189 14.9
"106" 2933.75745 14.752
"104" 2925.77353 14.967
"330" 4373.76005 14.783
"210" 3396.58494 14.91
"226" 3629.75773 14.977
"138" 3018.65385 14.888
"65" 2626.64959 14.824
"132" 3002.63242 14.817
"57" 2588.86554 14.815
"122" 2981.80907 14.778
"329" 4370.76008 14.837
"266" 3758.66955 14.847
"315" 4122.64071 14.965
"302" 4065.69553 14.759
"12" 2234.70165 14.955
"193" 3306.77278 14.809
"1" 2171.89332 14.817
"120" 2977.77612 14.829
"319" 4149.6302 14.963
"258" 3740.59087 14.751
"202" 3349.68539 14.967
"123" 2983.70973 14.977
"353" 4474.69368 14.966
"200" 3334.6556 14.876
"48" 2542.77565 14.976
"189" 3296.77765 14.844
"310" 4092.78795 14.795
"290" 4023.74375 14.937
"208" 3389.65995 14.902
"31" 2289.67602 14.959
"43" 2349.52246 14.803
"340" 4420.85993 14.854
"367" 4537.52688 14.775
"30" 2283.75226 14.809
"129" 2996.64705 14.92
"257" 3738.62061 14.902
"52" 2559.73076 14.969
"225" 3617.84731 14.777
"25" 2273.78444 14.757
"198" 3325.7257 14.974
"215" 3414.52348 14.975
"47" 2535.90379 14.964
"100" 2905.80201 14.905
"332" 4379.80475 14.868
"70" 2640.7048 14.877
"222" 3585.89965 14.932
"87" 2681.68609 14.872
"356" 4484.65006 14.956
"59" 2599.7785 14.899
"111" 2952.73745 14.966
"269" 3769.69112 14.946
"19" 2253.69363 14.796
"83" 2673.64484 14.789
"147" 3040.65584 14.884
"76" 2657.69463 14.863
"205" 3359.67858 14.968
"336" 4397.78519 14.806
"165" 3084.53856 14.787
"126" 2990.73571 14.945
"145" 3033.64083 14.838
"37" 2303.6374 14.94
"44" 2366.49801 14.78
"186" 3283.86063 14.934
"194" 3308.78948 14.951
"303" 4067.6316 14.971
"295" 4046.64956 14.957
"50" 2551.81902 14.873
"182" 3268.80601 14.76
"280" 3968.85148 14.94
"293" 4040.75941 14.946
"248" 3715.62892 14.958
"335" 4392.77473 14.948
"156" 3057.56848 14.847
"268" 3765.58128 14.872
"185" 3281.76085 14.901
"101" 2910.8319 14.879
"282" 3981.74465 14.942
"144" 3030.71874 14.882
"275" 3797.56204 14.957
"4" 2191.82319 14.732
"169" 3102.48716 14.903
"66" 2628.81632 14.882
"5" 2200.83352 14.953
"17" 2249.70625 14.789
"75" 2655.62839 14.972
"264" 3754.64425 14.777
"168" 3098.55029 14.82
"27" 2277.72585 14.797
"316" 4124.61582 14.862
"22" 2261.60503 14.928
"41" 2331.5459 14.843
"236" 3675.76725 14.765
"164" 3081.63298 14.837
"362" 4509.60896 14.895
"344" 4439.68014 14.897
"54" 2571.85784 14.817
"251" 3722.61494 14.954
"274" 3790.5818 14.956
"118" 2975.76221 14.874
"221" 3570.93987 14.901
"71" 2642.67384 14.86
"301" 4060.64803 14.967
"125" 2988.65784 14.77
"327" 4364.79232 14.968
"263" 3752.60611 14.954
"273" 3785.61309 14.797
"178" 3246.91977 14.974
"40" 2326.51536 14.912
"86" 2679.69819 14.944
"203" 3352.65219 14.969
"128" 2994.77106 14.849
"24" 2271.62642 14.884
"173" 3114.47514 14.872
"292" 4037.76366 14.88
"247" 3712.81123 14.881
"224" 3592.89906 14.904
"79" 2663.69365 14.769
"216" 3418.61614 14.896
"351" 4467.65074 14.974
"84" 2675.66913 14.968
"238" 3686.83803 14.858
"368" 4540.5506 14.88
"355" 4481.73648 14.974
"354" 4478.70735 14.924
"161" 3072.60324 14.952
"256" 3736.66747 14.877
"143" 3028.71375 14.9
"237" 3683.79028 14.903
"55" 2577.79495 14.821
"306" 4077.69153 14.965
"196" 3314.74902 14.952
"110" 2949.74557 14.957
"58" 2594.7425 14.886
"342" 4431.75793 14.766
"211" 3399.6224 14.862
"261" 3748.61782 14.883
"333" 4383.8099 14.755
"309" 4087.73215 14.949
"308" 4084.70524 14.973
"305" 4072.65922 14.771
"140" 3022.76056 14.749
"231" 3653.79507 14.978
"358" 4494.6376 14.942
"239" 3689.75587 14.796
"365" 4530.50946 14.817
"279" 3961.86872 14.965
"250" 3721.85609 14.947
"262" 3750.59084 14.838
"287" 4007.72938 14.762
"36" 2301.6406 14.799
"97" 2888.87668 14.838
"78" 2661.76678 14.938
"233" 3660.73681 14.971
"9" 2228.77493 14.884
"318" 4131.53841 14.858
"242" 3698.69783 14.94
"68" 2634.63771 14.98
"121" 2979.80209 14.957
"328" 4366.81479 14.771
"148" 3042.59089 14.865
"88" 2685.6326 14.939
"259" 3743.58822 14.87
"56" 2580.82413 14.914
"159" 3062.52843 14.967
"108" 2942.74141 14.957
"312" 4104.74819 14.945
"350" 4464.64037 14.978
"271" 3775.63045 14.827
"245" 3705.73165 14.918
"175" 3134.47278 14.935
"209" 3394.70551 14.887
"33" 2295.68026 14.91
"95" 2870.89604 14.959
"154" 3054.52281 14.899
"153" 3052.52139 14.935
"343" 4435.79222 14.847
"317" 4126.68548 14.863
"181" 3262.88438 14.855
"141" 3024.70883 14.982
"304" 4069.62194 14.825
"91" 2699.57653 14.97
"207" 3377.66491 14.88
"345" 4441.85703 14.763
"51" 2555.84307 14.951
"29" 2281.72399 14.875
"49" 2544.81892 14.854
"347" 4450.71682 14.992
"285" 3999.80837 14.925
"213" 3404.54886 14.979
"199" 3329.7603 14.898
"299" 4055.72982 14.792
"64" 2623.67042 14.88
"348" 4453.69332 14.94
"166" 3087.50463 14.77
"314" 4117.64895 14.835
"146" 3035.64697 14.887
"243" 3700.73715 14.875
"160" 3067.57128 14.804
"137" 3016.66881 14.859
"105" 2929.81061 14.875
"116" 2969.66077 14.96
"35" 2299.67118 14.959
"142" 3026.67791 14.817
"7" 2223.75614 14.887
"201" 3338.70828 14.952
"172" 3111.48383 14.763
"102" 2915.8278 14.931
"61" 2613.66581 14.917
"341" 4425.6996 14.86
"67" 2631.61713 14.967
"357" 4487.71284 14.917
"296" 4048.73808 14.769
"320" 4153.57093 14.945
"321" 4164.54896 14.789
"62" 2617.75642 14.98
"223" 3590.92711 14.819
"130" 2998.62993 14.772
"291" 4030.87005 14.881
"93" 2712.51494 14.891
"297" 4051.72867 14.797
"15" 2242.7832 14.809
"176" 3229.90388 14.959
"10" 2230.68794 14.9
"184" 3276.81076 14.905
"197" 3321.6639 14.955
"241" 3694.85967 14.975
"252" 3725.71182 14.971
"191" 3300.86415 14.936
"180" 3254.90977 14.793
"339" 4416.84302 14.954
"255" 3734.67945 14.841
"139" 3020.69537 14.94
"349" 4457.66292 14.964
"363" 4520.5826 14.772
"337" 4402.86066 14.966
"92" 2705.55029 14.854
"220" 3451.50718 14.935
"187" 3289.77442 14.816
"235" 3671.75225 14.885
"313" 4107.72086 14.874
"21" 2258.81275 14.96
"80" 2665.73682 14.969
"179" 3247.83741 14.858
"276" 3804.55806 14.956
"133" 3004.63428 14.93
"265" 3756.74426 14.957
"127" 2992.67604 14.853
"359" 4499.5834 14.831
"364" 4523.51401 14.865
"136" 3012.75 14.788
"74" 2652.63749 14.911
"188" 3294.77194 14.988
"60" 2607.74116 14.959
"131" 3000.64669 14.969
"73" 2650.65258 14.842
"183" 3273.76509 14.956
"171" 3108.50589 14.798
"227" 3633.79765 14.942
"135" 3010.65458 14.954
"294" 4042.77481 14.9
"288" 4009.88112 14.956
"8" 2226.73132 14.84
"283" 3987.8686 14.852
"195" 3310.82188 14.887
"260" 3746.58951 14.952
