"a" "b"
"325" 4376.84194 15.196
"97" 2895.85556 15.273
"296" 4072.70181 15.255
"354" 4486.70251 15.24
"157" 3069.60016 15.204
"22" 2271.70452 15.086
"183" 3294.81623 15.1
"314" 4154.51775 15.084
"133" 3012.79358 15.097
"37" 2317.64009 15.24
"338" 4431.85028 15.149
"60" 2599.83307 15.277
"32" 2295.73002 15.299
"67" 2631.68345 15.282
"147" 3045.64016 15.319
"119" 2979.84567 15.181
"322" 4364.85751 15.09
"250" 3740.69875 15.088
"238" 3706.75623 15.082
"61" 2609.64554 15.147
"339" 4436.7147 15.078
"333" 4417.75029 15.296
"148" 3047.59434 15.297
"246" 3733.62006 15.079
"240" 3713.66103 15.066
"260" 3772.70243 15.242
"234" 3696.67242 15.256
"305" 4109.65264 15.089
"75" 2650.73012 15.141
"245" 3730.6313 15.298
"93" 2712.55909 15.17
"105" 2933.80112 15.297
"48" 2539.8239 15.275
"359" 4505.59917 15.173
"51" 2551.86336 15.073
"218" 3614.90854 15.084
"329" 4392.84668 15.252
"233" 3694.85194 15.288
"342" 4448.75352 15.254
"127" 2998.68137 15.297
"13" 2240.82234 15.089
"123" 2990.72774 15.104
"25" 2277.77244 15.292
"285" 4040.80199 15.118
"327" 4383.85254 15.248
"101" 2915.87181 15.298
"88" 2681.75607 15.079
"98" 2900.81121 15.088
"96" 2890.81992 15.275
"152" 3054.5666 15.311
"163" 3087.55172 15.237
"332" 4410.86233 15.279
"172" 3125.51654 15.212
"55" 2573.77444 15.148
"121" 2986.73614 15.207
"179" 3273.80892 15.315
"193" 3334.70094 15.245
"262" 3781.73392 15.273
"14" 2242.82814 15.069
"30" 2291.73116 15.16
"153" 3056.56578 15.297
"328" 4388.79243 15.294
"208" 3410.62036 15.279
"166" 3098.59529 15.196
"180" 3276.89442 15.089
"38" 2323.54234 15.063
"343" 4450.7604 15.215
"368" 4538.6243 15.309
"277" 4007.77218 15.241
"241" 3716.69449 15.252
"248" 3736.74183 15.217
"35" 2302.59445 15.272
"220" 3634.76201 15.189
"117" 2974.68407 15.1
"4" 2212.79165 15.281
"104" 2929.8642 15.114
"132" 3010.69811 15.083
"258" 3762.67174 15.093
"114" 2963.81598 15.08
"146" 3043.60115 15.286
"162" 3084.58994 15.088
"287" 4046.69226 15.177
"41" 2344.52051 15.241
"43" 2368.50633 15.12
"308" 4120.66456 15.143
"298" 4079.64714 15.296
"169" 3107.50886 15.181
"312" 4142.56227 15.307
"336" 4425.7463 15.112
"304" 4104.79137 15.212
"321" 4361.8507 15.315
"219" 3629.80389 15.295
"187" 3303.84156 15.077
"143" 3035.69051 15.137
"326" 4379.84828 15.284
"161" 3081.6777 15.266
"144" 3038.67415 15.305
"203" 3391.58205 15.121
"341" 4442.70008 15.253
"34" 2299.74326 15.249
"361" 4510.6549 15.089
"268" 3938.93494 15.29
"225" 3661.80058 15.119
"194" 3338.757 15.31
"243" 3725.75511 15.275
"40" 2338.52768 15.236
"17" 2253.75428 15.116
"324" 4370.80688 15.291
"230" 3687.69548 15.242
"52" 2555.8874 15.137
"286" 4042.81747 15.085
"293" 4064.67608 15.147
"348" 4465.66793 15.075
"107" 2942.78503 15.287
"292" 4059.6534 15.304
"340" 4439.72276 15.25
"345" 4456.7494 15.079
"85" 2675.71335 15.237
"64" 2623.71394 15.119
"159" 3075.60287 15.088
"255" 3752.70435 15.285
"270" 3968.89435 15.088
"112" 2957.77439 15.242
"95" 2884.85213 15.194
"364" 4523.60915 15.135
"334" 4421.72627 15.216
"16" 2251.79384 15.065
"362" 4516.53559 15.282
"69" 2637.70436 15.24
"231" 3689.79908 15.217
"244" 3727.70307 15.199
"355" 4490.70075 15.119
"138" 3024.75257 15.194
"106" 2939.80964 15.235
"214" 3452.5364 15.227
"142" 3033.68881 15.185
"181" 3281.80461 15.107
"300" 4084.74823 15.171
"217" 3590.91936 15.13
"19" 2258.67093 15.071
"318" 4345.90798 15.286
"320" 4355.88996 15.09
"272" 3981.78737 15.169
"259" 3769.73428 15.07
"24" 2275.77768 15.257
"274" 3995.81896 15.089
"267" 3819.51713 15.21
"192" 3329.80481 15.299
"62" 2617.80153 15.299
"125" 2994.81527 15.093
"264" 3791.55265 15.143
"347" 4461.6471 15.127
"77" 2654.82401 15.078
"182" 3289.81829 15.278
"58" 2589.77257 15.066
"316" 4183.50211 15.101
"89" 2686.56479 15.142
"63" 2620.76956 15.165
"168" 3104.52703 15.103
"201" 3377.70863 15.103
"266" 3805.53818 15.084
"189" 3308.83315 15.141
"74" 2646.67298 15.249
"202" 3386.79126 15.081
"184" 3296.82162 15.163
"135" 3018.70212 15.308
"239" 3711.64744 15.095
"306" 4113.67151 15.245
"253" 3748.69151 15.288
"279" 4018.79225 15.215
"9" 2230.72832 15.297
"178" 3268.85013 15.208
"366" 4532.54627 15.151
"33" 2297.72087 15.287
"120" 2983.75366 15.086
"200" 3372.6745 15.269
"1" 2166.83748 15.06
"134" 3016.71227 15.281
"39" 2326.55999 15.238
"232" 3692.71966 15.271
"79" 2659.70755 15.159
"216" 3588.91748 15.18
"356" 4493.77158 15.303
"335" 4421.78217 15.233
"31" 2293.70325 15.269
"176" 3247.8813 15.08
"257" 3758.71362 15.13
"122" 2988.70308 15.144
