"a" "b"
"354" 4487.72342 15.999
"252" 3734.69009 15.835
"287" 4026.66748 15.969
"314" 4126.69604 15.842
"96" 2733.49583 16.013
"121" 2975.77284 16.133
"145" 3030.72948 15.97
"70" 2634.64758 16.105
"274" 3818.51809 15.877
"79" 2659.72898 16.014
"11" 2226.7412 16.122
"33" 2289.68592 15.936
"264" 3765.59205 16.111
"47" 2366.51086 15.908
"230" 3656.86165 16.148
"85" 2673.65478 16.14
"304" 4080.68587 16.146
"64" 2617.76718 15.993
"66" 2623.68112 15.924
"158" 3057.57927 15.947
"200" 3338.71917 16.159
"97" 2870.90702 15.902
"254" 3738.63125 15.939
"151" 3044.54374 15.919
"302" 4072.66979 15.919
"324" 4364.80302 15.894
"112" 2949.75627 16.138
"147" 3035.65768 16.027
"310" 4107.73143 15.884
"330" 4383.82052 15.84
"298" 4060.65857 16.038
"288" 4028.80335 16.084
"198" 3329.7712 15.841
"353" 4484.66065 16.034
"15" 2238.66284 15.99
"134" 3002.64312 15.885
"22" 2256.71479 15.827
"148" 3038.64128 16.004
"59" 2580.83402 16.018
"215" 3414.53433 15.999
"211" 3399.63333 16.151
"26" 2271.64127 16.11
"234" 3675.77798 16.134
"335" 4410.8301 16.043
"172" 3102.49984 15.933
"258" 3748.62852 15.995
"277" 3968.86224 15.976
"249" 3725.72248 15.936
"243" 3705.7423 15.831
"238" 3692.68699 15.89
"270" 3785.62388 16.042
"141" 3022.77127 16.004
"250" 3728.62599 15.88
"3" 2183.86379 15.978
"340" 4439.69068 16.033
"139" 3016.67953 16.089
"191" 3303.79109 15.983
"45" 2337.57569 15.89
"362" 4523.52465 16.071
"317" 4153.58164 16.012
"309" 4104.75871 15.901
"336" 4416.85356 15.977
"255" 3740.60161 16.072
"299" 4065.7061 15.844
"61" 2594.75341 15.914
"127" 2988.67024 16.14
"326" 4370.77077 15.829
"159" 3058.52579 16.086
"186" 3283.87163 16.14
"136" 3006.69447 16.035
"58" 2577.80488 15.911
"247" 3718.67218 15.853
"224" 3629.76872 15.994
"9" 2217.7461 16.044
"315" 4131.549 16.057
"81" 2663.70769 16.134
"343" 4450.72732 16.001
"82" 2665.74672 15.961
"72" 2640.71467 16.049
"133" 3000.65739 16.085
"128" 2990.74641 16.042
"43" 2326.52638 16.135
"305" 4084.71577 15.855
"56" 2563.81307 16.088
"334" 4402.87124 15.827
"53" 2551.82999 16.08
"359" 4507.62491 16.093
"130" 2994.78175 16.145
"65" 2620.70651 15.955
"290" 4040.76999 15.945
"237" 3689.76654 15.825
"10" 2223.76604 16.15
"101" 2899.82353 15.9
"102" 2905.81286 15.846
"153" 3048.53668 16.036
"311" 4117.65952 15.92
"348" 4467.66129 15.883
"286" 4023.7544 15.833
"49" 2520.8836 15.931
"216" 3418.62706 16.115
"178" 3134.484 15.919
"218" 3444.53911 16.147
"351" 4478.71793 16.092
"273" 3805.50548 15.85
"271" 3790.59261 16.027
"48" 2397.50605 16.127
"219" 3452.50058 15.93
"195" 3314.75997 15.984
"175" 3111.49499 15.826
"38" 2299.68109 15.993
"103" 2910.84275 16.101
"239" 3695.7663 15.98
"83" 2667.76686 15.9
"14" 2234.71152 15.876
"213" 3404.55984 15.945
"42" 2322.61702 16.064
"236" 3686.84871 15.88
"113" 2952.74949 16.114
"163" 3072.61411 15.898
"267" 3775.64121 16.141
"8" 2211.81922 15.827
"36" 2295.69022 15.88
"235" 3683.801 15.908
"131" 2996.65775 15.977
"34" 2291.69473 16.026
"35" 2293.67066 16.049
"137" 3008.65369 15.853
"210" 3396.59587 16.142
"341" 4442.75828 16.001
"205" 3369.68942 16.015
"118" 2966.72263 15.842
"99" 2888.88764 16.154
"181" 3262.89546 15.906
