"a" "b"
"74" 2655.64544 14.769
"356" 4502.62867 14.968
"150" 3048.54022 14.886
"172" 3114.49002 14.992
"7" 2223.76933 14.978
"133" 3006.69798 14.76
"18" 2251.8143 14.837
"164" 3084.55561 14.962
"49" 2551.83359 14.835
"171" 3111.49858 14.977
"17" 2249.71942 14.791
"83" 2677.68909 14.928
"170" 3108.52059 14.988
"211" 3414.53781 14.988
"330" 4392.78877 14.933
"181" 3281.77534 14.917
"120" 2979.81624 14.761
"47" 2542.789 14.826
"272" 3937.92423 14.888
"228" 3665.80056 14.956
"265" 3778.64374 14.921
"9" 2228.78811 14.864
"291" 4048.75214 14.823
"42" 2331.56054 14.804
"44" 2366.5145 14.933
"163" 3081.64806 14.929
"39" 2317.57439 14.981
"169" 3105.54222 14.974
"321" 4361.82208 14.81
"298" 4067.64791 14.777
"314" 4149.64437 14.799
"295" 4057.72267 14.889
"154" 3056.53639 14.948
"301" 4077.7055 14.955
"183" 3289.78889 14.943
"238" 3702.83893 14.928
"99" 2910.84628 14.898
"220" 3629.77224 14.979
"34" 2295.69352 14.909
"22" 2261.6182 14.749
"254" 3748.63198 14.876
"28" 2279.74997 14.749
"325" 4373.77417 14.779
"354" 4494.65167 14.751
"108" 2949.75981 14.803
"348" 4474.70765 14.962
"323" 4366.82892 14.865
"119" 2977.79027 14.951
"250" 3738.6347 14.973
"214" 3434.61015 14.824
"10" 2230.70109 14.808
"197" 3349.69981 14.801
"347" 4471.6535 14.959
"261" 3765.59675 14.95
"173" 3125.48718 14.807
"287" 4037.77764 14.85
"244" 3722.62908 14.856
"196" 3338.72268 14.988
"8" 2226.7445 14.978
"191" 3314.76347 14.981
"289" 4042.7888 14.833
"200" 3359.69299 14.963
"276" 3981.75884 14.922
"40" 2322.62061 14.826
"239" 3705.74579 14.967
"6" 2217.74941 14.989
"186" 3298.82276 14.947
"205" 3394.72 14.748
"109" 2952.753 14.799
"218" 3592.91366 14.967
"152" 3052.53569 14.764
"153" 3054.53712 14.906
"87" 2690.60083 14.963
"178" 3268.8206 14.969
"127" 2994.78522 14.74
"306" 4100.85831 14.739
"258" 3756.75847 14.985
"29" 2281.73719 14.91
"89" 2699.59092 14.987
"142" 3030.73299 14.8
"70" 2642.68807 14.857
"124" 2988.67374 14.753
"213" 3429.51719 14.988
"193" 3325.74009 14.882
"322" 4364.8065 14.807
"209" 3404.56337 14.886
"141" 3028.72796 14.851
"176" 3247.85205 14.988
"327" 4379.81888 14.787
"148" 3044.54726 14.957
"204" 3389.67436 14.918
"266" 3781.68949 14.918
"362" 4533.54535 14.864
"248" 3734.69356 14.837
"158" 3067.58568 14.772
"221" 3633.81946 14.796
"159" 3069.57082 14.92
"364" 4540.5648 14.83
"339" 4442.7617 14.825
"357" 4507.62821 14.9
"335" 4425.71358 14.876
"320" 4355.86132 14.831
"68" 2637.67709 14.826
"360" 4523.52812 14.981
"2" 2189.81365 14.928
"43" 2337.57935 14.786
"24" 2271.64455 14.937
"100" 2915.84215 14.761
"359" 4520.59674 14.993
"161" 3075.57267 14.947
"105" 2939.77761 14.824
"355" 4499.59655 14.963
"243" 3718.67563 14.793
"31" 2289.68923 14.918
"251" 3740.60622 14.812
"103" 2929.82492 14.984
"67" 2634.65088 14.82
"129" 2998.6441 14.902
"19" 2253.71079 14.959
"104" 2933.77175 14.812
"132" 3004.64841 14.893
"296" 4060.66197 14.889
"79" 2667.77018 14.761
"210" 3409.54246 14.811
"145" 3038.6448 14.98
"226" 3656.86516 14.988
"229" 3671.76641 14.965
"72" 2650.66999 14.97
"292" 4051.74268 14.873
"341" 4450.73075 14.991
"252" 3743.60241 14.793
"184" 3294.78647 14.751
"116" 2973.84088 14.782
"73" 2652.6551 14.78
"225" 3653.8093 15.003
"80" 2671.66573 14.928
"58" 2599.79845 14.94
"117" 2975.77635 14.88
"190" 3310.8363 14.913
"345" 4464.65434 14.773
"268" 3790.59609 14.961
"61" 2617.77068 14.978
"136" 3016.68303 14.864
"308" 4107.73484 14.916
"139" 3024.72305 14.788
"62" 2620.71 14.988
"279" 3999.82253 14.944
"297" 4065.70953 14.951
"207" 3399.63683 14.967
"111" 2957.74498 14.866
"175" 3229.91862 14.988
"93" 2870.91063 14.793
"3" 2191.84049 14.741
"76" 2659.73228 14.952
"135" 3012.76421 14.771
"358" 4509.62212 14.776
"241" 3712.82535 14.752
"126" 2992.69025 14.908
"138" 3022.77476 14.862
"180" 3276.82527 14.776
"249" 3736.6816 14.837
"50" 2555.85766 14.814
"285" 4028.8068 14.894
"33" 2293.67398 14.963
"187" 3303.79461 14.754
"182" 3283.87515 14.97
"101" 2921.84452 14.772
"90" 2705.56474 14.976
"269" 3797.57638 14.771
"262" 3769.70535 14.899
"27" 2277.73906 14.931
"264" 3775.64475 14.916
"328" 4383.82396 14.964
"85" 2681.70039 14.926
"240" 3707.72183 14.913
"140" 3026.69214 14.973
"255" 3750.60498 14.962
"168" 3102.50342 14.982
"329" 4388.76363 14.754
"96" 2894.82625 14.761
"91" 2712.52936 14.818
"122" 2983.72392 14.936
"4" 2200.84704 14.739
"114" 2966.72612 14.898
"162" 3077.6561 14.921
"319" 4350.88991 14.984
"189" 3308.80394 14.958
"130" 3000.66088 14.761
"78" 2665.75004 14.951
"41" 2326.53 14.973
"125" 2990.74992 14.921
"361" 4530.52363 14.835
"263" 3772.6734 14.926
"282" 4016.85451 14.915
"185" 3296.79215 14.928
"307" 4104.76214 14.928
"273" 3961.88298 14.818
"351" 4484.66407 14.91
"336" 4431.77189 14.86
"13" 2238.66614 14.972
"326" 4376.8133 14.787
"134" 3010.66882 14.866
"310" 4122.65469 14.866
"271" 3818.52163 14.825
"86" 2685.64694 14.762
"224" 3646.89063 14.848
"315" 4153.58509 14.971
"236" 3698.72205 14.915
"337" 4435.82833 14.983
"206" 3396.5994 14.966
"118" 2977.76429 14.954
"302" 4080.68928 14.936
"208" 3402.63521 14.969
"65" 2628.82951 14.862
"25" 2273.79761 14.752
"230" 3675.78145 14.891
"5" 2211.82254 14.966
"234" 3692.69048 14.924
"231" 3683.80447 14.955
"275" 3974.83929 14.964
"53" 2571.87105 14.964
"71" 2644.68642 14.963
"199" 3355.68782 14.79
"143" 3033.65505 14.834
"23" 2265.66811 14.943
"97" 2899.82709 14.942
"223" 3641.81138 15.003
"232" 3686.85215 14.963
"212" 3421.58645 14.809
"283" 4023.75783 14.975
"222" 3638.77299 14.986
"305" 4092.80189 14.95
"217" 3585.9208 14.777
"12" 2234.71482 14.814
"15" 2242.80104 14.837
"160" 3072.61768 14.921
"346" 4467.66474 14.778
"188" 3306.78724 14.753
"281" 4007.7435 14.912
"177" 3262.89903 15
"131" 3002.64663 14.962
"98" 2905.81638 14.943
"26" 2275.73548 14.907
"293" 4053.79399 14.989
"352" 4487.72686 14.911
"195" 3334.67001 14.837
"194" 3329.77469 14.98
"290" 4046.66359 14.817
"92" 2733.4994 14.889
"94" 2883.91014 14.968
"1" 2183.86737 14.952
"95" 2888.8912 14.754
"343" 4457.6769 14.88
"151" 3050.54136 14.966
"88" 2695.53861 14.879
"334" 4416.85701 14.911
"277" 3987.8828 14.899
"294" 4055.74377 14.805
"54" 2577.80818 14.951
"36" 2299.6844 14.975
"37" 2301.6538 14.889
"300" 4072.6732 14.923
"344" 4459.65618 14.959
"81" 2673.6581 14.742
"203" 3381.78484 14.913
"165" 3087.52021 14.964
"286" 4031.69763 14.843
"144" 3035.66121 14.986
"32" 2291.69806 14.749
"167" 3098.56499 14.883
"247" 3731.70066 14.841
"55" 2580.83732 14.951
"303" 4084.71918 14.913
"113" 2963.78675 14.876
"257" 3754.65844 14.871
"304" 4087.74605 14.935
"115" 2969.67494 14.908
"350" 4481.7505 14.915
"60" 2613.68001 14.875
"242" 3715.64305 14.803
"299" 4069.63591 14.902
"59" 2607.75562 14.898
"233" 3689.77003 14.942
"174" 3134.48759 14.794
"14" 2240.7945 14.836
"38" 2303.65067 14.775
"340" 4448.72041 14.832
"11" 2232.72164 14.991
"66" 2631.63029 14.822
"349" 4478.72134 14.913
"16" 2244.84707 14.976
"215" 3444.54265 14.981
"316" 4164.56365 14.777
"21" 2258.82595 14.789
"311" 4124.66632 14.799
"324" 4370.77423 14.792
"253" 3746.60365 14.781
"274" 3968.86573 14.991
"256" 3752.62036 14.786
"149" 3046.56302 14.783
"259" 3758.68373 14.79
"75" 2657.70782 14.885
"216" 3452.50409 14.775
"128" 2996.66126 14.964
"198" 3352.66658 14.79
"201" 3369.69294 14.926
"342" 4453.70729 14.978
"332" 4402.87469 14.931
"278" 3995.78961 14.947
"77" 2661.78002 14.784
"20" 2256.71809 14.964
"63" 2623.6846 14.982
"267" 3785.62737 14.754
"338" 4439.69411 14.818
"353" 4491.701 14.752
"219" 3617.86183 14.972
"52" 2563.81665 14.878
"288" 4040.77341 14.847
"107" 2946.77614 14.806
"157" 3060.54907 14.917
"137" 3018.66801 14.792
"48" 2544.83354 14.987
"82" 2675.68624 14.916
"166" 3089.57754 14.923
"121" 2981.82329 14.902
"123" 2986.70652 14.924
"64" 2626.66377 14.984
"202" 3377.6793 14.95
"192" 3321.67832 14.808
"309" 4117.66296 14.982
"146" 3040.67014 14.798
"270" 3805.50898 14.993
"284" 4026.67091 14.978
"30" 2283.76548 14.925
"317" 4178.53331 14.943
"84" 2679.71145 14.747
"155" 3057.58281 14.906
"57" 2594.757 14.754
"179" 3273.77968 14.78
"45" 2397.50972 14.803
"331" 4397.79926 14.761
"69" 2640.7254 14.799
"56" 2589.74616 14.929
"102" 2925.78787 14.865
"363" 4537.54105 14.82
"237" 3700.75133 14.782
"35" 2297.69165 14.761
"112" 2961.72767 14.774
"156" 3058.52933 14.763
"46" 2520.88722 14.975
"312" 4126.69946 14.99
"280" 4004.81094 14.922
"147" 3042.60518 14.86
"235" 3695.76976 14.938
"245" 3725.72593 14.873
"51" 2559.7453 14.965
"106" 2942.75572 14.82
"313" 4131.55243 14.84
"110" 2955.81737 14.814
"227" 3660.75102 14.887
