"a" "b"
"188" 3294.78296 15.457
"71" 2637.6738 15.273
"253" 3736.67815 15.479
"336" 4416.85356 15.251
"214" 3409.53898 15.318
"163" 3072.61411 15.014
"339" 4435.82493 15.158
"95" 2712.5258 15.4
"17" 2242.79309 15.022
"160" 3060.54552 15.254
"235" 3683.801 15.251
"241" 3700.74783 15.405
"204" 3359.68949 15.001
"186" 3283.87163 15.368
"292" 4046.66017 15.48
"242" 3702.83546 15.149
"224" 3629.76872 15.427
"78" 2657.70454 15.412
"38" 2299.68109 15.477
"187" 3289.78538 15.231
"50" 2535.91485 15.471
"262" 3758.68025 15.382
"117" 2963.78324 15.274
"239" 3695.7663 14.97
"112" 2949.75627 14.962
"154" 3050.53785 15.171
"286" 4023.7544 15.43
"60" 2589.73419 15.381
"284" 4007.74004 15.462
"84" 2671.66241 15.367
"124" 2979.81276 15.246
"68" 2628.8262 15.431
"61" 2594.75341 15.031
"137" 3008.65369 15.198
"307" 4092.79849 14.989
"65" 2620.70651 15.065
"314" 4126.69604 15.35
"166" 3081.64386 15.48
"172" 3102.49984 15.236
"269" 3781.68602 15.446
"85" 2673.65478 15.373
"190" 3298.81925 15.056
"337" 4425.71016 15.03
"205" 3369.68942 15.015
"207" 3381.78133 15.526
"195" 3314.75997 15.006
"226" 3638.7695 15.29
"26" 2271.64127 14.963
"317" 4153.58164 15.513
"283" 4004.80749 15.492
"177" 3125.48359 15.339
"274" 3818.51809 15
"219" 3452.50058 15.502
"36" 2295.69022 15.331
"313" 4124.66289 15.484
"271" 3790.59261 15.303
"322" 4355.85785 15.326
"94" 2705.56117 15.296
"139" 3016.67953 15.51
"29" 2277.73574 15.342
"281" 3995.78614 15.147
"16" 2240.7912 15.33
"106" 2925.78433 15.42
"268" 3778.64026 15.476
"19" 2249.71613 15.16
"171" 3098.5614 15.045
"110" 2942.75219 15.489
"37" 2297.68833 15.03
"58" 2577.80488 15.512
"107" 2929.8214 15.488
"212" 3402.63169 15.192
"4" 2184.86575 15.081
"159" 3058.52579 15.493
"156" 3054.5336 15.356
"169" 3089.57396 15.235
"259" 3752.61683 15.438
"303" 4077.70208 15.234
"221" 3590.93821 15.404
"218" 3444.53911 15.185
"293" 4048.74868 15.242
"82" 2665.74672 15.011
"135" 3004.64493 14.968
