"a" "b"
"142" 3020.69899 18.198
"273" 3765.58492 18.216
"302" 4048.74168 18.169
"337" 4376.8028 18.269
"75" 2650.65622 18.178
"181" 3134.47653 18.413
"285" 3974.82715 18.291
"238" 3656.85453 18.235
"230" 3592.90276 18.262
"319" 4107.72444 18.231
"331" 4355.85072 18.221
"40" 2303.64073 18.301
"338" 4379.80837 18.278
"77" 2655.63169 18.153
"154" 3046.55239 18.229
"326" 4153.57452 18.131
"133" 2998.63355 18.162
"254" 3718.66514 18.256
"295" 4025.8872 18.366
"253" 3715.63253 18.246
"281" 3804.56175 18.235
"251" 3707.71133 18.224
"47" 2397.49866 18.218
"24" 2261.60831 18.18
"260" 3734.68308 18.259
"287" 3987.87224 18.154
"130" 2992.67965 18.232
"81" 2663.70107 18.214
"65" 2620.69946 18.232
"111" 2946.76552 18.233
"355" 4457.66648 18.247
"105" 2921.83389 18.236
"2" 2183.8565 18.217
"257" 3725.71543 18.24
"100" 2894.81547 18.187
"243" 3683.79394 18.248
"240" 3665.78991 18.277
"294" 4023.74736 18.201
"369" 4507.61833 18.266
"173" 3092.55191 18.356
"72" 2640.70809 18.22
"336" 4373.76365 18.259
"123" 2977.77973 18.221
"297" 4030.87364 18.211
"236" 3646.8777 18.226
"42" 2322.60972 18.236
"372" 4530.51307 18.212
"325" 4149.63381 18.212
"86" 2675.67245 18.16
"299" 4040.76299 18.284
"152" 3042.5945 18.196
"13" 2232.71176 18.277
"213" 3381.77409 18.25
"195" 3298.81193 18.171
"41" 2317.56442 18.251
"189" 3276.81442 18.157
"201" 3314.75271 18.223
"84" 2671.65579 18.239
"43" 2326.5191 18.156
"10" 2226.73461 18.151
"158" 3054.52645 18.196
"335" 4370.76372 18.194
"271" 3758.67319 18.305
"328" 4177.5405 18.263
"69" 2631.62043 18.193
"333" 4364.79594 18.258
"217" 3399.62604 18.208
"83" 2667.75498 18.276
"212" 3377.66856 18.214
"344" 4410.82314 18.256
"90" 2685.63626 18.386
"167" 3075.56191 18.127
"233" 3633.80865 18.251
"365" 4490.71195 18.225
"92" 2695.52789 18.208
"225" 3444.53181 18.065
"228" 3585.90339 18.142
"153" 3044.53658 18.315
"221" 3414.5271 18.291
"246" 3692.67993 18.278
"79" 2659.71826 18.138
"351" 4442.7513 18.249
"76" 2652.6408 18.167
"291" 4007.733 18.174
"179" 3114.4789 18.327
"188" 3273.76878 18.2
"353" 4450.72038 18.219
"6" 2200.83684 18.233
"45" 2337.5684 18.318
"39" 2301.64389 18.31
"245" 3689.75949 18.206
"56" 2571.86114 18.156
"247" 3694.86329 18.22
"361" 4478.71094 18.198
"101" 2899.81637 18.266
"321" 4122.64431 18.239
"224" 3434.59939 18.323
"185" 3254.9135 18.208
"155" 3048.52953 18.28
"93" 2699.58019 18.214
"164" 3067.57497 18.302
"182" 3229.90761 18.351
"126" 2983.71335 18.218
"320" 4117.65252 18.224
"354" 4453.6969 18.178
"146" 3028.71737 18.184
"15" 2238.65626 18.235
"136" 3004.63787 18.262
"244" 3686.84163 18.235
"318" 4104.75176 18.218
"203" 3325.72934 18.176
"234" 3638.76224 18.162
"165" 3069.56006 18.336
"4" 2189.80277 18.21
"194" 3296.78133 18.195
"280" 3797.5657 18.302
"286" 3981.7483 18.274
"5" 2191.82851 18.224
"118" 2966.71557 18.28
"122" 2977.7537 18.182
"308" 4065.69913 18.158
"60" 2594.74621 18.132
"334" 4366.8184 18.271
"313" 4080.67891 18.306
"237" 3653.7987 18.333
"315" 4087.73573 18.207
"7" 2211.81259 18.219
"51" 2544.82264 18.249
"216" 3396.58862 18.242
"28" 2275.7256 18.143
"143" 3022.76419 18.203
"276" 3775.63412 18.225
"277" 3778.63312 18.297
"262" 3738.6242 18.207
"248" 3700.74076 18.185
"14" 2234.70494 18.287
"289" 3999.81198 18.247
"307" 4060.65161 18.218
"37" 2297.68171 18.261
"35" 2293.66404 18.156
"264" 3743.59188 18.159
"306" 4057.71233 18.377
"223" 3428.59882 18.08
"170" 3084.54465 18.139
"104" 2915.83145 18.182
"140" 3016.67243 18.108
"218" 3402.62438 18.174
"160" 3057.57214 18.167
"324" 4131.542 18.284
"166" 3072.60692 18.126
"190" 3281.76453 18.205
"127" 2986.69599 18.324
"371" 4523.51762 18.271
"226" 3452.49231 18.23
"309" 4067.63758 18.147
"342" 4397.78877 18.211
"278" 3785.61675 18.26
"193" 3294.77563 18.299
"9" 2223.75943 18.204
"61" 2599.78221 18.22
"219" 3404.55254 18.231
"270" 3756.74789 18.195
"12" 2230.69122 18.265
"22" 2256.70067 18.327
"206" 3338.71195 18.181
"20" 2251.80441 18.194
"8" 2217.73949 18.243
"85" 2673.64815 18.224
"25" 2265.65825 18.193
"57" 2577.79826 18.193
"116" 2961.71708 18.256
"52" 2551.82271 18.174
"50" 2542.77898 18.225
"180" 3125.47615 18.117
"349" 4435.79579 18.219
"68" 2628.81963 18.251
"21" 2253.69693 18.288
"370" 4509.61224 18.282
"339" 4383.81348 18.231
"332" 4361.81149 18.292
"145" 3026.68155 18.24
"272" 3761.71941 18.28
"64" 2617.76006 18.165
"70" 2634.64098 18.209
"71" 2637.66721 18.229
"360" 4474.69725 18.153
"312" 4077.69511 18.313
"1" 2171.89705 18.205
"352" 4448.71004 18.271
"343" 4402.86424 18.186
"74" 2644.6758 18.353
"151" 3040.6595 18.128
"19" 2249.70955 18.154
"298" 4037.76723 18.3
"168" 3077.64537 18.345
"232" 3629.76142 18.286
"256" 3722.61856 18.187
"119" 2969.66437 18.165
"267" 3750.59445 18.289
"29" 2277.72913 18.194
"367" 4499.5867 18.237
"112" 2949.7492 18.264
"157" 3052.52503 18.247
"192" 3289.7781 18.245
"53" 2555.84677 18.189
"138" 3010.65822 18.239
"283" 3937.91339 18.215
"149" 3035.6506 18.148
"97" 2870.89976 18.245
"268" 3752.60975 18.206
"134" 3000.65031 18.232
"249" 3702.82843 18.223
"345" 4416.84661 18.175
"229" 3590.93084 18.266
"91" 2690.59016 18.258
"161" 3058.51867 18.178
"200" 3310.82553 18.308
"198" 3306.77644 18.206
"350" 4439.68372 18.324
"293" 4016.84406 18.185
"317" 4100.84792 18.133
"162" 3060.53836 18.218
"364" 4487.71644 18.326
"107" 2929.81427 18.215
"32" 2283.75557 18.281
"31" 2281.7273 18.247
"63" 2613.66945 18.178
"255" 3721.85972 18.318
"186" 3262.88809 18.212
"176" 3105.53125 18.185
"305" 4055.73336 18.328
"346" 4420.86354 18.166
"187" 3268.80972 18.349
"3" 2184.85846 18.212
"250" 3705.73526 18.146
"263" 3740.59452 18.173
"311" 4072.66281 18.216
"222" 3418.61977 18.272
"137" 3006.68738 18.27
"11" 2228.77822 18.176
"88" 2679.7015 18.171
"340" 4388.75319 18.175
"144" 3024.71244 18.159
"235" 3641.80063 18.199
"292" 4009.89026 18.195
"252" 3712.81485 18.221
"322" 4124.61941 18.222
"258" 3728.61895 18.231
"44" 2331.54962 18.206
"288" 3995.77906 18.294
"36" 2295.68357 18.235
"184" 3247.84113 18.242
"368" 4502.6188 18.247
"310" 4069.62553 18.209
"38" 2299.67447 18.243
"347" 4425.70318 18.34
"87" 2677.67909 18.22
"113" 2952.74241 18.171
"375" 4540.55424 18.187
"67" 2626.6532 18.182
"220" 3409.53176 18.3
"269" 3754.64788 18.239
"205" 3334.65926 18.178
"49" 2535.90751 18.202
"34" 2291.68811 18.137
"366" 4494.64121 18.23
"16" 2240.78463 18.236
"54" 2559.73447 18.295
"357" 4464.64396 18.279
"58" 2580.82742 18.142
"374" 4537.53052 18.193
"33" 2289.67932 18.097
"172" 3089.56656 18.416
"129" 2990.73932 18.257
"296" 4028.79636 18.138
"265" 3746.59313 18.161
"73" 2642.67748 18.37
"330" 4350.83055 18.155
"211" 3369.68218 18.285
"300" 4042.77839 18.277
"98" 2883.89933 18.245
"80" 2661.77008 18.192
"359" 4471.64308 18.195
"274" 3769.69475 18.231
"163" 3062.5321 18.228
"46" 2349.52811 18.144
"62" 2607.74482 18.264
"117" 2963.77616 18.172
"323" 4126.68907 18.293
"96" 2733.4882 18.143
"121" 2975.76582 18.231
"373" 4533.5348 18.167
"210" 3359.68224 18.268
"261" 3736.67111 18.328
"209" 3355.67709 18.281
"48" 2520.87622 18.299
"183" 3246.92347 18.137
"23" 2258.81604 18.178
"18" 2244.83721 18.321
"348" 4431.76151 18.264
"159" 3056.52574 18.161
"30" 2279.73508 18.225
"178" 3111.48758 18.184
"362" 4481.74008 18.194
"55" 2563.80583 18.282
"239" 3660.74044 18.197
"66" 2623.67403 18.252
"150" 3038.6342 18.192
"135" 3002.63606 18.245
"89" 2681.68975 18.139
"290" 4004.80042 18.205
"358" 4467.65432 18.225
"174" 3098.55401 18.247
"109" 2939.76695 18.227
