"a" "b"
"28" 2283.73899 15.278
"42" 2337.55357 15.257
"278" 4016.8295 15.461
"196" 3338.69672 15.354
"60" 2617.71759 15.518
"165" 3086.56517 15.441
"5" 2200.82188 15.481
"120" 2981.79764 15.348
"159" 3069.54536 15.344
"93" 2711.56568 15.52
"143" 3030.70762 15.459
"271" 3987.85241 15.356
"175" 3230.89365 15.319
"217" 3615.91412 15.395
"1" 2171.88226 15.258
"247" 3745.60525 15.426
"75" 2654.7364 15.313
"282" 4030.85563 15.473
"348" 4489.69128 15.514
"155" 3059.55537 15.343
"59" 2607.72592 15.515
"320" 4379.79376 15.48
"233" 3698.68661 15.411
"298" 4084.69415 15.472
"297" 4080.66455 15.463
"145" 3035.63581 15.341
"203" 3390.77315 15.422
"17" 2249.69561 15.26
"71" 2644.65799 15.285
"186" 3298.79716 15.351
"212" 3434.58072 15.42
"56" 2588.85377 15.298
"191" 3314.73222 15.358
"66" 2631.60621 15.53
"202" 3386.66809 15.399
"264" 3804.54698 15.314
"31" 2292.73716 15.516
"182" 3281.74982 15.511
"69" 2640.6691 15.28
"47" 2526.88684 15.263
"131" 3004.62302 15.507
"97" 2892.84934 15.527
"332" 4435.75313 15.512
"311" 4176.54265 15.502
"258" 3775.61913 15.441
"329" 4420.84874 15.258
"4" 2191.81204 15.261
"178" 3254.89712 15.332
"204" 3398.65039 15.401
"260" 3781.63171 15.46
"105" 2929.79103 15.299
"299" 4092.77558 15.502
"87" 2681.67448 15.502
"124" 2990.77899 15.476
"95" 2872.87072 15.512
"304" 4121.63886 15.264
"147" 3043.57177 15.339
"290" 4057.69783 15.325
"134" 3010.64334 15.501
"83" 2673.63322 15.517
"156" 3061.54959 15.341
"133" 3008.62309 15.513
"279" 4021.86128 15.327
"23" 2269.74503 15.257
"307" 4129.69942 15.283
"249" 3749.60108 15.436
"170" 3103.49794 15.379
"160" 3072.54361 15.484
"73" 2650.61271 15.275
"220" 3641.7862 15.384
"338" 4456.68345 15.251
"123" 2988.64551 15.516
"317" 4369.77321 15.462
"256" 3769.68012 15.456
"141" 3026.66676 15.48
"26" 2279.72112 15.26
"334" 4441.84602 15.533
"327" 4410.86716 15.252
"231" 3692.66488 15.419
"119" 2979.79023 15.345
"171" 3109.50003 15.36
"174" 3133.4946 15.404
"277" 4014.81716 15.441
"3" 2184.84118 15.485
"346" 4483.67457 15.509
"18" 2251.84136 15.261
"241" 3721.63332 15.412
"286" 4045.86554 15.271
"74" 2652.6243 15.28
"55" 2580.81324 15.266
"273" 4001.81527 15.344
"198" 3355.71403 15.443
"67" 2634.58492 15.263
"176" 3238.87722 15.304
"52" 2563.78965 15.508
"38" 2316.55475 15.505
"78" 2661.75614 15.497
"130" 3002.62016 15.506
"350" 4498.60762 15.271
"301" 4104.73619 15.494
"41" 2331.53101 15.266
"111" 2955.78707 15.316
"184" 3289.76316 15.501
"88" 2685.62151 15.512
"272" 3994.90743 15.447
"242" 3725.70051 15.428
"224" 3661.7718 15.386
"24" 2273.64015 15.244
"321" 4383.79883 15.477
"303" 4117.63786 15.29
"104" 2925.76234 15.288
"15" 2242.77248 15.483
"239" 3715.84845 15.466
"289" 4055.71894 15.316
"216" 3608.92035 15.43
"44" 2350.51547 15.505
"359" 4531.547 15.525
"270" 3979.90767 15.352
"255" 3764.68169 15.305
"339" 4458.66812 15.292
"221" 3646.85355 15.406
"16" 2244.82327 15.499
"187" 3303.76036 15.502
"208" 3410.59152 15.403
"287" 4048.72722 15.452
"351" 4500.73065 15.278
"238" 3712.85062 15.292
"244" 3731.67522 15.425
"218" 3633.78687 15.369
"362" 4540.53961 15.304
"213" 3444.51719 15.409
"354" 4509.59755 15.514
"149" 3047.56534 15.352
"248" 3747.71831 15.456
"306" 4126.61056 15.494
"153" 3055.55755 15.344
"214" 3451.49179 15.412
"333" 4439.76563 15.513
"251" 3754.56701 15.375
"209" 3415.61384 15.4
"112" 2957.71968 15.314
"13" 2238.63554 15.471
"254" 3761.70458 15.46
"337" 4453.68067 15.508
"228" 3683.779 15.402
"313" 4350.81579 15.294
"275" 4007.71858 15.4
"356" 4520.56116 15.284
"152" 3053.55888 15.348
"132" 3006.67208 15.495
"312" 4192.51363 15.496
"227" 3674.86315 15.34
"229" 3686.8269 15.344
"108" 2942.73032 15.521
"200" 3366.6971 15.379
"283" 4037.75268 15.332
"11" 2232.69792 15.469
"291" 4060.6369 15.435
