"a" "b"
"310" 4124.69169 14.758
"48" 2537.84606 14.706
"89" 2686.56108 14.739
"196" 3352.64001 14.696
"258" 3758.71 14.738
"223" 3650.80669 14.685
"180" 3276.89073 14.771
"268" 3805.5345 14.585
"27" 2279.77422 14.645
"358" 4498.63221 14.654
"118" 2975.80556 14.667
"4" 2200.87438 14.687
"9" 2228.8119 14.742
"3" 2189.83966 14.766
"66" 2629.6309 14.673
"35" 2299.73997 14.693
"170" 3110.53168 14.743
"51" 2545.79458 14.801
"255" 3750.57945 14.804
"126" 2996.68712 14.606
"61" 2609.64182 14.815
"120" 2983.75003 14.793
"174" 3229.89282 14.6
"37" 2304.72324 14.699
"133" 3012.78993 14.797
"267" 3798.54931 14.587
"139" 3026.71796 14.813
"289" 4046.68867 14.709
"221" 3640.75468 14.767
"184" 3296.81794 14.593
"300" 4082.66423 14.778
"247" 3733.61645 14.791
"150" 3050.56695 14.751
"317" 4180.53064 14.652
"141" 3030.7587 14.762
"88" 2681.75239 14.618
"319" 4345.90434 14.638
"306" 4109.64907 14.6
"62" 2617.79788 14.694
"18" 2253.75098 14.715
"109" 2948.84689 14.81
"20" 2258.66765 14.67
"342" 4442.69649 14.743
"362" 4510.65128 14.81
"285" 4031.72274 14.597
"97" 2895.85186 14.809
"144" 3038.67049 14.606
"65" 2627.60646 14.793
"113" 2961.75408 14.681
"168" 3104.52329 14.796
"233" 3692.71605 14.606
"345" 4453.73249 14.79
"305" 4104.7878 14.772
"10" 2230.72503 14.72
"175" 3239.9067 14.625
"331" 4398.79186 14.629
"176" 3247.87757 14.661
"308" 4118.57483 14.793
"24" 2273.66412 14.795
"157" 3069.59647 14.747
"47" 2521.89272 14.768
"98" 2900.80753 14.597
"286" 4037.83165 14.747
"367" 4532.54266 14.744
"99" 2906.83846 14.787
"272" 3968.89069 14.717
"116" 2970.76576 14.759
"84" 2673.6831 14.78
"336" 4421.77861 14.789
"173" 3135.47869 14.769
"119" 2979.84203 14.736
"162" 3084.58622 14.595
"194" 3334.69732 14.742
"108" 2946.80179 14.617
"46" 2520.91337 14.782
"206" 3400.67631 14.783
"87" 2679.73541 14.765
"140" 3028.75367 14.649
"21" 2261.65326 14.601
"282" 4023.78304 14.737
"151" 3052.56129 14.624
"32" 2293.69995 14.641
"270" 3938.93121 14.743
"41" 2338.52392 14.71
"50" 2542.8129 14.803
"28" 2281.78811 14.76
"158" 3073.50644 14.7
"274" 3981.78374 14.651
"80" 2661.80395 14.722
"83" 2671.71969 14.622
"86" 2677.7447 14.717
"105" 2933.79745 14.712
"273" 3974.87627 14.619
"324" 4367.76639 14.632
"235" 3696.66879 14.657
"296" 4069.66109 14.743
"188" 3306.81264 14.667
"333" 4410.85876 14.742
"366" 4530.54896 14.675
"17" 2251.79054 14.697
"242" 3716.69087 14.691
"301" 4084.74467 14.597
"146" 3043.59746 14.764
"219" 3629.80022 14.706
"314" 4150.5357 14.779
"135" 3018.69846 14.745
"26" 2277.76915 14.794
"112" 2957.77073 14.601
"292" 4053.81898 14.714
"166" 3098.59156 14.63
"57" 2577.83198 14.795
"323" 4364.85391 14.744
"236" 3699.68109 14.602
"349" 4465.66436 14.706
"25" 2275.77438 14.582
"250" 3738.66014 14.61
"156" 3067.63792 14.674
"228" 3671.7925 14.661
"79" 2659.70426 14.767
"212" 3436.57012 14.806
"231" 3687.69186 14.79
"260" 3769.73064 14.675
"321" 4355.88633 14.746
"179" 3273.80523 14.789
"59" 2589.76884 14.632
"265" 3786.55334 14.781
"95" 2884.84841 14.786
"189" 3308.82949 14.772
"6" 2217.77326 14.788
"241" 3713.65742 14.586
"307" 4113.66793 14.675
"214" 3452.53273 14.617
"320" 4350.87874 14.76
"187" 3303.8379 14.597
"344" 4450.75681 14.795
"63" 2620.76593 14.76
"359" 4501.62533 14.595
"177" 3256.85425 14.759
"14" 2240.81903 14.648
"276" 3995.81534 14.671
"154" 3058.55514 14.802
"138" 3024.74889 14.595
"368" 4535.60011 14.784
"114" 2963.8123 14.741
"43" 2354.51852 14.745
"172" 3125.5128 14.786
"266" 3791.54898 14.62
"160" 3078.5213 14.7
"251" 3740.69515 14.786
"1" 2166.83369 14.678
"287" 4040.79841 14.808
