"a" "b"
"164" 3062.5321 15.622
"282" 3804.56175 15.277
"54" 2555.84677 15.276
"208" 3349.68906 15.337
"310" 4067.63758 15.626
"376" 4540.55424 15.446
"229" 3585.90339 15.406
"175" 3098.55401 15.616
"52" 2544.82264 15.294
"326" 4149.63381 15.512
"217" 3396.58862 15.259
"209" 3352.65584 15.386
"150" 3035.6506 15.282
"137" 3004.63787 15.681
"252" 3707.71133 15.355
"67" 2623.67403 15.559
"216" 3394.70917 15.47
"221" 3409.53176 15.649
"10" 2226.73461 15.536
"146" 3026.68155 15.671
"12" 2230.69122 15.574
"177" 3105.53125 15.367
"204" 3325.72934 15.547
"210" 3355.67709 15.446
"241" 3665.78991 15.274
"360" 4471.64308 15.526
"358" 4464.64396 15.422
"32" 2283.75557 15.245
"65" 2617.76006 15.496
"280" 3790.58547 15.244
"112" 2946.76552 15.376
"357" 4459.64578 15.34
"300" 4040.76299 15.367
"110" 2939.76695 15.52
"333" 4361.81149 15.602
"45" 2337.5684 15.514
"4" 2189.80277 15.349
"359" 4467.65432 15.236
"132" 2994.77465 15.402
"117" 2961.71708 15.463
"315" 4084.70881 15.239
"98" 2870.89976 15.592
"373" 4530.51307 15.642
"247" 3692.67993 15.673
"173" 3089.56656 15.521
"201" 3310.82553 15.343
"293" 4009.89026 15.263
"235" 3638.76224 15.452
"180" 3114.4789 15.482
"40" 2303.64073 15.37
"214" 3381.77409 15.651
"270" 3754.64788 15.291
"27" 2273.78773 15.527
"148" 3030.72238 15.374
"331" 4350.83055 15.485
"24" 2261.60831 15.245
"297" 4028.79636 15.625
"347" 4420.86354 15.365
"320" 4107.72444 15.44
"317" 4092.79152 15.438
"116" 2957.73442 15.545
"123" 2977.7537 15.314
"81" 2661.77008 15.407
"319" 4104.75176 15.405
"192" 3283.86431 15.512
"257" 3722.61856 15.56
"205" 3329.76396 15.318
"294" 4016.84406 15.574
"170" 3081.63664 15.561
"261" 3734.68308 15.592
"203" 3321.66755 15.253
"346" 4416.84661 15.651
"181" 3125.47615 15.478
"7" 2211.81259 15.296
"156" 3048.52953 15.606
"227" 3452.49231 15.374
"225" 3434.59939 15.655
"55" 2559.73447 15.542
"218" 3399.62604 15.328
"37" 2297.68171 15.252
"367" 4494.64121 15.686
"120" 2969.66437 15.37
"144" 3022.76419 15.468
"350" 4435.79579 15.579
"306" 4055.73336 15.58
"309" 4065.69913 15.365
"105" 2915.83145 15.681
"264" 3740.59452 15.221
"138" 3006.68738 15.572
"272" 3758.67319 15.564
"162" 3058.51867 15.394
"222" 3414.5271 15.547
"312" 4072.66281 15.625
"83" 2665.74012 15.632
"334" 4364.79594 15.347
"128" 2986.69599 15.452
"226" 3444.53181 15.464
"34" 2291.68811 15.617
"97" 2733.4882 15.295
"273" 3761.71941 15.594
"58" 2577.79826 15.253
"324" 4126.68907 15.357
"134" 2998.63355 15.61
"26" 2271.6347 15.616
"176" 3102.4921 15.281
"161" 3057.57214 15.63
"49" 2520.87622 15.533
"363" 4481.74008 15.306
"352" 4442.7513 15.267
"191" 3281.76453 15.63
"41" 2317.56442 15.378
"80" 2659.71826 15.553
"284" 3937.91339 15.335
"100" 2888.8804 15.286
"15" 2238.65626 15.693
"271" 3756.74789 15.686
"36" 2295.68357 15.451
"304" 4051.73225 15.339
"248" 3694.86329 15.562
"296" 4025.8872 15.694
"96" 2712.51862 15.568
"31" 2281.7273 15.444
"85" 2671.65579 15.705
"341" 4388.75319 15.586
"46" 2349.52811 15.659
"122" 2975.76582 15.5
"141" 3016.67243 15.333
"109" 2933.76112 15.415
"283" 3818.51094 15.298
"269" 3752.60975 15.462
"355" 4453.6969 15.258
"238" 3653.7987 15.663
"51" 2542.77898 15.478
"93" 2695.52789 15.516
"348" 4425.70318 15.529
"332" 4355.85072 15.665
"356" 4457.66648 15.51
"246" 3689.75949 15.634
"9" 2223.75943 15.501
"19" 2249.70955 15.687
"48" 2397.49866 15.238
"313" 4077.69511 15.559
"239" 3656.85453 15.675
"94" 2699.58019 15.644
"189" 3273.76878 15.682
"103" 2905.80569 15.365
"251" 3705.73526 15.537
"211" 3359.68224 15.672
"99" 2883.89933 15.436
"168" 3075.56191 15.485
"311" 4069.62553 15.576
"154" 3044.53658 15.376
"74" 2642.67748 15.483
"265" 3743.59188 15.295
"184" 3246.92347 15.317
"38" 2299.67447 15.68
"119" 2966.71557 15.338
"23" 2258.81604 15.247
"323" 4124.61941 15.503
"340" 4383.81348 15.687
"342" 4392.77833 15.242
"262" 3736.67111 15.598
"354" 4450.72038 15.509
"17" 2242.7865 15.409
"152" 3040.6595 15.67
"118" 2963.77616 15.296
"151" 3038.6342 15.259
"215" 3389.66361 15.571
"298" 4030.87364 15.604
"2" 2183.8565 15.235
"89" 2679.7015 15.658
"131" 2992.67965 15.552
"39" 2301.64389 15.537
"219" 3402.62438 15.396
"374" 4533.5348 15.688
"372" 4523.51762 15.359
"53" 2551.82271 15.593
"163" 3060.53836 15.398
"75" 2644.6758 15.285
"16" 2240.78463 15.562
"133" 2996.65066 15.475
"232" 3617.851 15.672
"220" 3404.55254 15.504
"196" 3298.81193 15.685
"135" 3000.65031 15.477
"166" 3069.56006 15.372
"194" 3294.77563 15.487
"339" 4379.80837 15.475
"245" 3686.84163 15.602
"190" 3276.81442 15.587
"224" 3428.59882 15.588
"197" 3300.86783 15.574
"84" 2667.75498 15.507
"318" 4100.84792 15.661
"351" 4439.68372 15.413
"104" 2910.83556 15.236
"127" 2983.71335 15.412
"143" 3020.69899 15.58
"35" 2293.66404 15.59
"206" 3334.65926 15.663
"21" 2253.69693 15.368
"121" 2973.83031 15.637
"66" 2620.69946 15.526
"314" 4080.67891 15.577
"302" 4046.65317 15.45
"290" 3999.81198 15.514
"92" 2690.59016 15.606
"64" 2613.66945 15.52
"61" 2594.74621 15.295
"327" 4153.57452 15.688
"165" 3067.57497 15.546
"199" 3306.77644 15.633
"29" 2277.72913 15.671
"72" 2637.66721 15.58
"278" 3778.63312 15.654
"301" 4042.77839 15.524
"76" 2650.65622 15.406
"25" 2265.65825 15.555
"349" 4431.76151 15.295
"101" 2894.81547 15.39
"362" 4478.71094 15.242
"160" 3056.52574 15.556
"182" 3134.47653 15.585
"316" 4087.73573 15.316
"102" 2899.81637 15.237
"3" 2184.85846 15.496
"338" 4376.8028 15.433
"57" 2571.86114 15.674
"78" 2655.63169 15.25
"56" 2563.80583 15.401
"250" 3702.82843 15.502
"345" 4410.82314 15.566
"200" 3308.79314 15.515
"344" 4402.86424 15.618
"254" 3715.63253 15.231
"243" 3675.77089 15.611
"171" 3084.54465 15.604
"125" 2979.80571 15.655
"30" 2279.73508 15.588
"155" 3046.55239 15.532
"371" 4509.61224 15.341
"8" 2217.73949 15.388
"129" 2988.6632 15.245
"1" 2171.89705 15.661
"337" 4373.76365 15.36
"288" 3987.87224 15.329
"126" 2981.8127 15.577
"291" 4004.80042 15.389
"231" 3592.90276 15.679
"305" 4053.78362 15.624
"174" 3092.55191 15.54
"42" 2322.60972 15.235
"70" 2631.62043 15.506
"303" 4048.74168 15.255
"253" 3712.81485 15.231
"107" 2925.84448 15.506
"43" 2326.5191 15.512
"63" 2607.74482 15.685
"258" 3725.71543 15.618
"115" 2955.80675 15.382
"136" 3002.63606 15.277
"149" 3033.64446 15.41
"62" 2599.78221 15.539
"244" 3683.79394 15.565
"111" 2942.74505 15.555
"60" 2588.86924 15.283
